identifier,guide_identifier,status,current_blocking_status,founder_decision_requirement
CGP006-CLF-0001,ES-CG-10,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0002,ES-CG-00,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0002,ES-CG-01,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0002,ES-CG-13,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0002,ES-CG-10,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0003,ES-CG-00,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0003,ES-CG-01,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0003,ES-CG-13,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0003,ES-CG-10,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0004,ES-CG-00,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0004,ES-CG-01,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0004,ES-CG-13,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0004,ES-CG-10,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0005,ES-CG-00,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0005,ES-CG-01,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0005,ES-CG-13,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
CGP006-CLF-0005,ES-CG-10,RETAINED_NON_BLOCKING_WARNING,NON_BLOCKING_FOR_CANDIDATE_DRAFTING,REQUIRED_BEFORE_ADOPTION_OR_ACTIVATION
