context_record_id,source_or_document_id,source_id,repository_path,title,guide_family_allocation,primary_classification,candidate_use,mandatory_authority,source_promotion_status
CGP006-CTX-0001,CGP006-CONTEXT-0001,CGP006-CONTEXT-0001,governance/implementation/code-guides/PROGRAM_STATUS.md,PROGRAM_STATUS.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0002,CGP006-CONTEXT-0002,CGP006-CONTEXT-0002,governance/implementation/code-guides/initiation/CGP-006/CGP_006_AUTHORITY_BOUNDARY.md,CGP_006_AUTHORITY_BOUNDARY.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0003,CGP006-CONTEXT-0003,CGP006-CONTEXT-0003,governance/implementation/code-guides/initiation/CGP-006/CGP_006_FOUNDER_DECISION_REGISTER.md,CGP_006_FOUNDER_DECISION_REGISTER.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0004,CGP006-CONTEXT-0004,CGP006-CONTEXT-0004,governance/implementation/code-guides/initiation/CGP-006/CGP_006_INITIATION_ASSESSMENT.md,CGP_006_INITIATION_ASSESSMENT.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0005,CGP006-CONTEXT-0005,CGP006-CONTEXT-0005,governance/implementation/code-guides/initiation/CGP-006/CGP_006_INPUT_REGISTER.md,CGP_006_INPUT_REGISTER.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0006,CGP006-CONTEXT-0006,CGP006-CONTEXT-0006,governance/implementation/code-guides/initiation/CGP-006/CGP_006_OUTPUT_REGISTER.md,CGP_006_OUTPUT_REGISTER.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0007,CGP006-CONTEXT-0007,CGP006-CONTEXT-0007,governance/implementation/code-guides/initiation/CGP-006/CGP_006_PACKAGE_MANIFEST.json,CGP_006_PACKAGE_MANIFEST.json,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0008,CGP006-CONTEXT-0008,CGP006-CONTEXT-0008,governance/implementation/code-guides/initiation/CGP-006/CGP_006_PR23_CONFLICT_ASSESSMENT.md,CGP_006_PR23_CONFLICT_ASSESSMENT.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0009,CGP006-CONTEXT-0009,CGP006-CONTEXT-0009,governance/implementation/code-guides/initiation/CGP-006/CGP_006_REPOSITORY_LIFECYCLE_PLAN.md,CGP_006_REPOSITORY_LIFECYCLE_PLAN.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0010,CGP006-CONTEXT-0010,CGP006-CONTEXT-0010,governance/implementation/code-guides/initiation/CGP-006/CGP_006_RISK_FINDING_DEVIATION_REGISTER.csv,CGP_006_RISK_FINDING_DEVIATION_REGISTER.csv,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0011,CGP006-CONTEXT-0011,CGP006-CONTEXT-0011,governance/implementation/code-guides/initiation/CGP-006/CGP_006_SCOPE_AND_BOUNDARY.md,CGP_006_SCOPE_AND_BOUNDARY.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0012,CGP006-CONTEXT-0012,CGP006-CONTEXT-0012,governance/implementation/code-guides/initiation/CGP-006/CGP_006_VALIDATION_PLAN.md,CGP_006_VALIDATION_PLAN.md,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0013,CGP006-CONTEXT-0013,CGP006-CONTEXT-0013,governance/implementation/code-guides/registers/CODE_GUIDE_FINDING_REGISTER.csv,CODE_GUIDE_FINDING_REGISTER.csv,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
CGP006-CTX-0014,CGP006-CONTEXT-0014,CGP006-CONTEXT-0014,governance/implementation/code-guides/registers/CODE_GUIDE_OPEN_DECISION_REGISTER.csv,CODE_GUIDE_OPEN_DECISION_REGISTER.csv,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,INTERPRETIVE_CONTEXT_ONLY_NOT_NORMATIVE,PROHIBITED,NOT_PROMOTED
