field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
decision_id,decision id,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_decision_id,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
issue,issue,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_issue,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
why_founder_authority_is_required,why founder authority is required,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_why_founder_authority_is_required,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
relevant_evidence,relevant evidence,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_relevant_evidence,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
options,options,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_options,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
recommended_option,recommended option,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_recommended_option,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
consequences_of_each_option,consequences of each option,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_consequences_of_each_option,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
authority_granted_by_approval,authority granted by approval,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_authority_granted_by_approval,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
authority_not_granted,authority not granted,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_authority_not_granted,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
implementation_effect,implementation effect,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_implementation_effect,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
activation_effect,activation effect,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_activation_effect,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
unresolved_risks,unresolved risks,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,FOUNDER_DECISION_PACKET.csv,required column present; non-empty unless explicitly allowed,example_unresolved_risks,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
