"redline_id","finding_ids","severity","target","proposed_redline_or_action","independent_support","owner_action_required","candidate_artifacts","review_approval_status","successor_status","fresh_review_required"
"CMT08-PR-001","CMT08-P0-001","P0","WORKFLOW_REGISTER.csv;GOLDEN_PATHS.md;IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md","Replace optional or ordinarily-separate minor-account language with: Every minor retains a separate canonical identity account credentials attribution and age/jurisdiction-aware capability state distinct from each guardian. Any non-minor protected-participant exception requires separately approved scope.","CMT02-PC-001;CMT05-F-003;CMT04-CD-004;CMT-08 frozen-clause check","Founder exact-text ratification after Protected Participant/Safeguarding owner concurrence","candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md;candidate_contracts/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
"CMT08-PR-002","CMT08-P0-002","P0","IDENTITY_AUTHORIZATION_CONTRACT.md invariant 3;RecoveryCase control set","Replace invariant 3 with: Recovery restores bounded account access only. A recovered session cannot authorize a high-risk action until fresh step-up required risk checks or controlled manual review is complete under approved versioned policy; recovery never creates authority or restores revoked relationships or grants. Add the matching RecoveryCase actors states evidence segregation and post-recovery envelope.","CMT02-PC-002;CMT05-F-002;CMT07-P1-004;CMT-08 frozen-clause check","Founder exact-text ratification and Authorization owner concurrence","candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md;candidate_contracts/IDENTITY_AUTHORIZATION_CONTRACT.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
"CMT08-PR-003","CMT08-P1-005","P1","ADR-IDENTITY-006_FORMAL.md or a separately reviewed invitation ADR;FORMAL_ADR_REGISTER.csv","Map IDENTITY-FD-005 to an owning ADR and add: Invitations are single-use revocable purpose-bound recipient-bound where feasible and short-lived under approved policy; privileged invitations require stricter assurance and duration. Update the formal register to the actual clause.","CMT02-PC-003;ES-REV-2026-002-F-0401;CMT04-CD-013;CMT06-COV-019;CMT-08 frozen-register check","Founder exact-text ratification","candidate_adrs/identity/ADR-IDENTITY-001_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md;registers/ADR_FOUNDER_DECISION_TRACEABILITY.csv","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
"CMT08-PR-004","CMT08-P1-005","P1","FORMAL_ADR_REGISTER.csv;ADR-IDENTITY-001,004,005,006,007","Rebuild mappings from actual normative clauses: add verified-email and TOTP ownership accurately; remove metadata-only mappings unless their approved semantics are added; carry complete minor support closure merge-reversal downstream-effects and onboarding-completion terms in the owning ADRs.","CMT02-PC-004;ES-REV-2026-002-F-0401;CMT04 independent matrix;CMT-08 frozen-register check","Founder exact-text ratification","candidate_adrs/identity/ADR-IDENTITY-001_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md;registers/ADR_FOUNDER_DECISION_TRACEABILITY.csv","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
"CMT08-PR-005","CMT08-P1-006","P1","ADR-IDENTITY-002_FORMAL.md through ADR-IDENTITY-005_FORMAL.md","For the single RP-domain and attestation defaults ES-AAL taxonomy numeric TOTP/step-up values opaque-session/native-token architecture and exact recovery hierarchy/code count: supply immutable approved recommendation provenance and submit exact text for Founder decision or move each choice to explicitly non-normative open implementation parameters.","CMT02-PC-005..CMT02-PC-008;ES-REV-2026-002-F-0401;CMT-08 frozen-ADR check","Explicit Founder decision required for any retained normative material","candidate_adrs/identity/ADR-IDENTITY-002_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-003_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
"CMT08-PR-006","CMT08-P1-007","P1","ADR-IDENTITY-006_FORMAL.md line 17","Replace the Identity-owned topology default with: Multi-location organization and tenancy topology is determined by approved Business Facility Relationships Authorization Privacy contractual financial and operational rules; Identity does not decide it.","CMT02-PC-009;CMT04-CD-011;CMT-08 frozen-clause check","Owning-domain concurrence and Founder exact-text ratification","candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md;registers/ADR_FOUNDER_DECISION_TRACEABILITY.csv","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
"CMT08-PR-007","CMT08-P1-008","P1","ADR-IDENTITY-007_FORMAL.md Open Implementation Parameters","Replace Maximum paused-case duration with Review escalation and service-level targets; elapsed time alone never completes a paused exception narrows a protective hold or expands authority.","CMT02-PC-010;CMT07-P1-004;CMT-08 frozen-clause check","Founder exact-text ratification and Protected Participant/Safeguarding owner concurrence","candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
"CMT08-PR-008","CMT08-P1-009","P1","STATE_TRANSITION_MATRIX.csv;PIA event catalog","Add governed transitions and attributable events for RecoveryCase SupportAccessSession OrganizationEnrollmentCase ProtectedAccountTransitionCase identity-merge correction/reversal credential/assurance lifecycle and invitation accepted/consumed terminal behavior with version and evidence requirements.","CMT02-PC-014;CMT05-F-002;CMT07-P1-004;CMT-08 matrix check","Identity domain owner and Founder exact-text ratification","registers/IDENTITY_STATE_EVENT_CANDIDATE.csv;registers/PERMISSION_AND_AUDIT_CANDIDATE.csv","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
"CMT08-PR-009","CMT08-P1-009","P1","PERMISSION_MATRIX.csv PERM-001 and PERM-003","Set Audit Required to Yes for self-registration-case creation and invitation acceptance or define an equivalent mandatory attributable event obligation consistently with REQ-044 while prohibiting secret logging.","CMT02-PC-015;CMT04-CD-012;CMT-08 matrix check","Identity and Audit/Evidence owner concurrence","registers/IDENTITY_STATE_EVENT_CANDIDATE.csv;registers/PERMISSION_AND_AUDIT_CANDIDATE.csv","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
"CMT08-PR-010","CMT08-P1-010","P1","IDENTITY_AUTHORIZATION_CONTRACT.md","Require denial when required identity session relationship policy or authority facts are stale missing disputed or version-incompatible. Require decision evidence to preserve authenticated acting represented approving and executing principals as applicable plus tenant session fact policy authority outcome reason and correlation versions.","CMT02-PC-016;CMT04-CD-006;CMT04-CD-012;CMT-08 contract check","Authorization and Audit/Evidence owner concurrence plus Founder exact-text ratification","candidate_contracts/AUTHORIZATION_INTERFACE_PIA_CANDIDATE.md;candidate_contracts/IDENTITY_AUTHORIZATION_CONTRACT.md;registers/PERMISSION_AND_AUDIT_CANDIDATE.csv","PROPOSED_NOT_APPROVED","PROPOSED_NOT_APPROVED","YES"
