requirement_id,guide_id,requirement_title,source_citation,normative_summary,current_state_classification,evidence_classification,repository_evidence_paths,implementation_evidence,verification_evidence,mapped_gap_ids,inference_or_limitation
ES-CG-00-CTRL-0001,ES-CG-00,Candidate Charter Authority Boundary,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/CONTROL_CATALOG.csv::ES-CG-00-CTRL-0001,"For the V1.1 draft adoption-candidate ES-CG-00 text, charter authority boundary must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_VERSION_REGISTER.csv;governance/implementation/code-guides/registers/GUIDE_ACTIVATION_REGISTER.csv,"Documentary governance records preserve authority, lifecycle, custody, and non-authorization boundaries.",Exact profile and guide hashes verified during package preflight; package validator rechecks identities.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-00-CTRL-0002,ES-CG-00,Candidate Program Scope Boundary,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/CONTROL_CATALOG.csv::ES-CG-00-CTRL-0002,"For the V1.1 draft adoption-candidate ES-CG-00 text, program scope boundary must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_VERSION_REGISTER.csv;governance/implementation/code-guides/registers/GUIDE_ACTIVATION_REGISTER.csv,"Documentary governance records preserve authority, lifecycle, custody, and non-authorization boundaries.",Exact profile and guide hashes verified during package preflight; package validator rechecks identities.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-00-CTRL-0003,ES-CG-00,Candidate Lifecycle Separation,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/CONTROL_CATALOG.csv::ES-CG-00-CTRL-0003,"For the V1.1 draft adoption-candidate ES-CG-00 text, lifecycle separation must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_VERSION_REGISTER.csv;governance/implementation/code-guides/registers/GUIDE_ACTIVATION_REGISTER.csv,"Documentary governance records preserve authority, lifecycle, custody, and non-authorization boundaries.",Exact profile and guide hashes verified during package preflight; package validator rechecks identities.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-00-CTRL-0004,ES-CG-00,Candidate Ownership And Custody,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/CONTROL_CATALOG.csv::ES-CG-00-CTRL-0004,"For the V1.1 draft adoption-candidate ES-CG-00 text, ownership and custody must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_VERSION_REGISTER.csv;governance/implementation/code-guides/registers/GUIDE_ACTIVATION_REGISTER.csv,"Documentary governance records preserve authority, lifecycle, custody, and non-authorization boundaries.",Exact profile and guide hashes verified during package preflight; package validator rechecks identities.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-00-CTRL-0005,ES-CG-00,Candidate Non-Authorization Boundary,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/CONTROL_CATALOG.csv::ES-CG-00-CTRL-0005,"For the V1.1 draft adoption-candidate ES-CG-00 text, non-authorization boundary must be applied only within the Code Guide Framework And Charter candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_VERSION_REGISTER.csv;governance/implementation/code-guides/registers/GUIDE_ACTIVATION_REGISTER.csv,"Documentary governance records preserve authority, lifecycle, custody, and non-authorization boundaries.",Exact profile and guide hashes verified during package preflight; package validator rechecks identities.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-01-CTRL-0001,ES-CG-01,Candidate Authority Precedence,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-01/CONTROL_CATALOG.csv::ES-CG-01-CTRL-0001,"For the V1.1 draft adoption-candidate ES-CG-01 text, authority precedence must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_AUTHORITY_REGISTER.csv;governance/implementation/code-guides/founder-determinations/ES-FD-SOLO-FOUNDER-COMPENSATING-ASSURANCE-2026-07-29/AUTHORITY_AND_EFFECT_RECORD.md,Documentary authority precedence and Founder disposition records are present; no product authority granted.,Current package validator verifies non-authorization tokens and active scopes.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-01-CTRL-0002,ES-CG-01,Candidate Founder Disposition,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-01/CONTROL_CATALOG.csv::ES-CG-01-CTRL-0002,"For the V1.1 draft adoption-candidate ES-CG-01 text, founder disposition must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_AUTHORITY_REGISTER.csv;governance/implementation/code-guides/founder-determinations/ES-FD-SOLO-FOUNDER-COMPENSATING-ASSURANCE-2026-07-29/AUTHORITY_AND_EFFECT_RECORD.md,Documentary authority precedence and Founder disposition records are present; no product authority granted.,Current package validator verifies non-authorization tokens and active scopes.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-01-CTRL-0003,ES-CG-01,Candidate Conflict Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-01/CONTROL_CATALOG.csv::ES-CG-01-CTRL-0003,"For the V1.1 draft adoption-candidate ES-CG-01 text, conflict treatment must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_AUTHORITY_REGISTER.csv;governance/implementation/code-guides/founder-determinations/ES-FD-SOLO-FOUNDER-COMPENSATING-ASSURANCE-2026-07-29/AUTHORITY_AND_EFFECT_RECORD.md,Documentary authority precedence and Founder disposition records are present; no product authority granted.,Current package validator verifies non-authorization tokens and active scopes.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-01-CTRL-0004,ES-CG-01,Candidate Supersession Treatment,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-01/CONTROL_CATALOG.csv::ES-CG-01-CTRL-0004,"For the V1.1 draft adoption-candidate ES-CG-01 text, supersession treatment must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_AUTHORITY_REGISTER.csv;governance/implementation/code-guides/founder-determinations/ES-FD-SOLO-FOUNDER-COMPENSATING-ASSURANCE-2026-07-29/AUTHORITY_AND_EFFECT_RECORD.md,Documentary authority precedence and Founder disposition records are present; no product authority granted.,Current package validator verifies non-authorization tokens and active scopes.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
ES-CG-01-CTRL-0005,ES-CG-01,Candidate Exception Boundary,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-01/CONTROL_CATALOG.csv::ES-CG-01-CTRL-0005,"For the V1.1 draft adoption-candidate ES-CG-01 text, exception boundary must be applied only within the Engineering Authority And Precedence candidate scope and only with frozen normative source-row support; context and reference material may inform review but may not independently create, expand, or activate the control.",DOCUMENTARY_CONTROL_ONLY,DOCUMENTARY_GOVERNANCE_EVIDENCE,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/registers/CODE_GUIDE_AUTHORITY_REGISTER.csv;governance/implementation/code-guides/founder-determinations/ES-FD-SOLO-FOUNDER-COMPENSATING-ASSURANCE-2026-07-29/AUTHORITY_AND_EFFECT_RECORD.md,Documentary authority precedence and Founder disposition records are present; no product authority granted.,Current package validator verifies non-authorization tokens and active scopes.,CGP006-MAP-GAP-0001,"No implementation authority; repository evidence is not runtime, staging, pilot, or production evidence."
