scenario_id,classification,authority_effect,change_type,materiality,freeze_effect,required_action,validation_required,drafting_may_continue,implementation_may_continue,approval_required,escalation_required,notes
SCN-001,NORMATIVE_AUTHORITY,DIRECT_NORMATIVE_EFFECT,CONTENT_CHANGED,MATERIAL,CGP_005_AMENDMENT,"Stop affected drafting; verify source authority; amend source freeze; regenerate hashes; rerun validation.",checksum;source_freeze;authority_conflict,NO,NO,Founder approval,YES,"Normative artifact content changed."
SCN-002,NORMATIVE_AUTHORITY,DIRECT_NORMATIVE_EFFECT,VERSION_CHANGED,MATERIAL,CGP_005_AMENDMENT,"Confirm supersession and controlling status; amend freeze if selected source changed.",source_freeze;supersession;checksum,NO,NO,Founder approval,YES,"Normative artifact version changed."
SCN-003,NORMATIVE_AUTHORITY,DIRECT_NORMATIVE_EFFECT,PATH_CHANGED_IDENTICAL_BYTES,NON_MATERIAL_IF_VERIFIED,CUSTODY_REFRESH,"Verify byte identity, references, manifest paths, and duplicate authority; refresh custody only if authority unchanged.",checksum;manifest;duplicate_authority,YES_IF_VERIFIED,NO_UNLESS_ALREADY_AUTHORIZED,Not required if exact-byte verified,NO,"Normative artifact path changed with identical bytes."
SCN-004,NORMATIVE_AUTHORITY,DIRECT_NORMATIVE_EFFECT,PATH_CHANGED_UNKNOWN_BYTES,UNDETERMINED,STOP,"Stop; prove exact-byte identity or treat as normative source change.",checksum;authority_conflict,NO,NO,Founder approval,YES,"Normative artifact path changed with unknown byte identity."
SCN-005,NORMATIVE_AUTHORITY,DIRECT_NORMATIVE_EFFECT,CHECKSUM_CHANGED,MATERIAL,CGP_005_AMENDMENT,"Stop affected drafting; identify byte change; amend freeze or resolve checksum error.",checksum;source_freeze,NO,NO,Founder approval,YES,"Normative artifact checksum changed."
SCN-006,NORMATIVE_AUTHORITY,DIRECT_NORMATIVE_EFFECT,APPROVAL_STATUS_CHANGED,MATERIAL,IMPACT_REVIEW,"Review adoption, controlling status, and implementation effect; amend or append freeze if source authority changed.",approval;adoption;source_freeze,NO_UNTIL_REVIEWED,NO_UNTIL_REVIEWED,Founder approval,YES,"Normative artifact approval status changed."
SCN-007,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,GOVERNANCE_DECISION_ADDED,MATERIAL,CGP_005_APPENDIX,"Add governing constraint appendix or equivalent traceable treatment; refresh CGP-006 inputs.",authority_review;source_freeze_appendix,NO_UNTIL_APPENDIX,NO_UNTIL_AFFECTED_CONSTRAINTS_SATISFIED,Founder approval,YES,"Governance decision added with binding effect."
SCN-008,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,GOVERNANCE_DECISION_REVISED,MATERIAL,IMPACT_REVIEW,"Review affected guide instructions; apply appendix or amendment depending on source-set effect.",authority_review;supersession,NO_UNTIL_REVIEWED,NO_UNTIL_REVIEWED,Founder approval,YES,"Governance decision revised."
SCN-009,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,GOVERNANCE_DECISION_RESCINDED,MATERIAL,IMPACT_REVIEW,"Determine supersession and whether prior governing constraints remain valid.",authority_review;supersession,NO_UNTIL_REVIEWED,NO_UNTIL_REVIEWED,Founder approval,YES,"Governance decision rescinded."
SCN-010,GOVERNANCE_AUTHORITY,GOVERNANCE_WITH_NORMATIVE_EFFECT,FOUNDER_APPROVAL_ADDED,MATERIAL,CGP_006_INPUT_REFRESH,"Review whether approval creates implementation constraints; refresh guide inputs if affected.",approval;authority_review,NO_UNTIL_REFRESH,NO_UNTIL_REVIEWED,Founder approval,YES,"Founder approval added."
