gap_id,feature_id,feature_name,product_domain,has_non_pia_governance_gap,primary_non_pia_gap_type,code_guide_gap,adr_gap,operating_standard_gap,runbook_gap,implementation_verification_gap,source_authority_gap,dependency_gap,conflict_gap,release_planning_gap,gap_severity,risk_severity,risk_score,governance_readiness_score,required_artifact_or_action,recommended_owner,recommended_next_action,founder_decision_required,closure_criteria,source_ids
GAP-ES-FEAT-PLATFORM-001,ES-FEAT-PLATFORM-001,application shell,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,NO,NO,YES,P3,MEDIUM,4,94,NO_NEW_ARTIFACT,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,FDQ-007,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-ROUTE-GUARDIAN-INTAKE;SRC-BACKEND-ROUTE-MANAGER-INTAKE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13C-RIDER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13E-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13F-BARN-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13G-TRAINER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13H-MANAGER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13I-STAFF-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-RF17-FEATURE-SHELL-UX-TRUTH;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-ONBOARDING;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
GAP-ES-FEAT-PLATFORM-002,ES-FEAT-PLATFORM-002,role-aware navigation,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,NO,NO,YES,P3,MEDIUM,4,94,NO_NEW_ARTIFACT,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,FDQ-007,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13A-ROLE-ROUTING;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13B-ROLE-NAVIGATION;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13J-ROLE-FIRST-LOGIN-MATRIX;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13K-ROLE-FLOW-SMOKE;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13L-ROLE-SMOKE-PREP;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13M-ROLE-SMOKE-EVIDENCE;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13N-ROLE-CREDENTIAL-READINESS;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13O-ROLE-SCREENSHOT-PASS;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-DASHBOARDRESOLVER;SRC-FRONTEND-PAGE-ONBOARDING;SRC-FRONTEND-PAGE-ROLEHOME;SRC-FRONTEND-PAGE-ROLEINTAKE;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
GAP-ES-FEAT-PLATFORM-003,ES-FEAT-PLATFORM-003,operating centers,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,YES,NO,YES,P2,MEDIUM,8,74,PIA_SUPPLEMENT,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,FDQ-002,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-ROUTE-TRAINER-OPERATING-CENTER;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13C-RIDER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13E-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13F-BARN-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13G-TRAINER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13H-MANAGER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13I-STAFF-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-RF17-FEATURE-SHELL-UX-TRUTH;SRC-BACKEND-TEST-TEST-RF9-TRAINER-OPERATING-CENTER;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-ONBOARDING;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-TRAINERDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
GAP-ES-FEAT-PLATFORM-004,ES-FEAT-PLATFORM-004,search,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,NO,NO,YES,P3,MEDIUM,4,94,NO_NEW_ARTIFACT,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,FDQ-007,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-ROUTE-OWNER-INTAKE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13C-RIDER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13E-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13F-BARN-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13G-TRAINER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13H-MANAGER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13I-STAFF-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-RF17-FEATURE-SHELL-UX-TRUTH;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ACCEPTINVITE;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-EMERGENCYCONTACTS;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-EQUIPMENT;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
GAP-ES-FEAT-PLATFORM-005,ES-FEAT-PLATFORM-005,context switching,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,YES,NO,YES,P2,MEDIUM,8,74,PIA_SUPPLEMENT,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,FDQ-002,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ACCOUNT-CONTEXT;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-PULSE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13C-RIDER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13E-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13F-BARN-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13G-TRAINER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13H-MANAGER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-3B-ACCOUNT-CONTEXT;SRC-BACKEND-TEST-TEST-BUILD-NEXT-3C-ROUTE-CONTEXT;SRC-BACKEND-TEST-TEST-BUILD-NEXT-3D-TASK-CONTEXT;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ACCEPTINVITE;SRC-FRONTEND-PAGE-DASHBOARDRESOLVER;SRC-FRONTEND-PAGE-PERSONALDASHBOARD;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-TRAINERDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
GAP-ES-FEAT-PLATFORM-006,ES-FEAT-PLATFORM-006,dashboard composition,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,YES,NO,YES,P2,MEDIUM,8,74,PIA_SUPPLEMENT,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,FDQ-002,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-ROUTE-DASHBOARD;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13C-RIDER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13E-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13F-BARN-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13G-TRAINER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13H-MANAGER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13I-STAFF-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-DASHBOARD-INVITES-SCOPING;SRC-BACKEND-TEST-TEST-RF17-FEATURE-SHELL-UX-TRUTH;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-DASHBOARD;SRC-FRONTEND-PAGE-DASHBOARDRESOLVER;SRC-FRONTEND-PAGE-FACILITYDASHBOARD;SRC-FRONTEND-PAGE-GUARDIANDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
GAP-ES-FEAT-PLATFORM-007,ES-FEAT-PLATFORM-007,feature discovery,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,YES,NO,YES,P2,MEDIUM,8,74,PIA_SUPPLEMENT,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,FDQ-002,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13C-RIDER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13E-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13F-BARN-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13G-TRAINER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13H-MANAGER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13I-STAFF-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-RF17-FEATURE-SHELL-UX-TRUTH;SRC-BACKEND-TEST-TEST-RF4-FEATURE-COMPLETION-CERTIFICATION;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-AIAUTOMATION;SRC-FRONTEND-PAGE-COMPETITIONS;SRC-FRONTEND-PAGE-EMERGENCYCONTACTS;SRC-FRONTEND-PAGE-FEATUREWORKSPACE;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
GAP-ES-FEAT-PLATFORM-008,ES-FEAT-PLATFORM-008,global actions,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,YES,NO,YES,P2,MEDIUM,8,74,PIA_SUPPLEMENT,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,FDQ-002,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13C-RIDER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13E-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13F-BARN-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13G-TRAINER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13H-MANAGER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13I-STAFF-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-RF17-FEATURE-SHELL-UX-TRUTH;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-AUDITLOG;SRC-FRONTEND-PAGE-ONBOARDING;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
GAP-ES-FEAT-PLATFORM-009,ES-FEAT-PLATFORM-009,administrative navigation,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,YES,NO,YES,P2,MEDIUM,8,74,PIA_SUPPLEMENT,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,FDQ-002,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13B-ROLE-NAVIGATION;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13C-RIDER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13E-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13F-BARN-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13G-TRAINER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13H-MANAGER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13I-STAFF-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-RF17-FEATURE-SHELL-UX-TRUTH;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINBILLINGDASHBOARD;SRC-FRONTEND-PAGE-ONBOARDING;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
GAP-ES-FEAT-PLATFORM-010,ES-FEAT-PLATFORM-010,multi-facility context,Platform and shell,NO,NO_NON_PIA_GOVERNANCE_GAP,NO,NO,NO,NO,YES,YES,YES,NO,YES,P2,MEDIUM,8,74,PIA_SUPPLEMENT,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,FDQ-002,Founder disposition plus source-register update plus validator pass plus implementation/test/evidence gates where applicable,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ACCOUNT-CONTEXT;SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE;SRC-BACKEND-ROUTE-BARNS;SRC-BACKEND-ROUTE-DASHBOARD;SRC-BACKEND-ROUTE-PULSE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13C-RIDER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13E-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13F-BARN-OWNER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-13G-TRAINER-INTAKE-SHELL;SRC-BACKEND-TEST-TEST-BUILD-NEXT-3-MULTI-BARN-GAP-REPORT;SRC-BACKEND-TEST-TEST-BUILD-NEXT-3B-ACCOUNT-CONTEXT;SRC-BACKEND-TEST-TEST-BUILD-NEXT-3C-ROUTE-CONTEXT;SRC-BACKEND-TEST-TEST-BUILD-NEXT-3D-TASK-CONTEXT;SRC-CANON-PERMISSION-CANON-V1.1;SRC-CANON-PLATFORM-OPS-CANON-V2.0;SRC-CANON-PRODUCT-VISION-CANON;SRC-CANON-SEARCH-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-FACILITYDASHBOARD;SRC-FRONTEND-PAGE-LANDING;SRC-FRONTEND-PAGE-PERSONALDASHBOARD;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-ITEM-05-CUSTODY;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX;SRC-FOUNDER-REVISION-DIRECTIVE-2026-08-01
