item_id,source_finding_id,current_disposition,proposed_individual_disposition,execution_state,bulk_acceptance_state,required_evidence,authority_required,residual_risk,founder_decision_item
C-OR-01,F-02,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
C-OR-02,F-09/F-15,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
C-OR-03,F-16,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
C-OR-04,ownership,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
C-OR-05,F-12,PARTIALLY_REMEDIATED,REQUIRE_REMEDIATION_OR_DEFER_WITH_RECORDED_BASIS,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,External attestation and Founder decisions remain unavailable,FD-T1R2-004
C-OR-06,F-20,DEFERRED_WITH_RECORDED_BASIS,DEFER_WITH_RECORDED_BASIS_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,External attestation and Founder decisions remain unavailable,FD-T1R2-004
C-OR-07,inventory,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
C-OR-08,F-22,PARTIALLY_REMEDIATED,REQUIRE_REMEDIATION_OR_DEFER_WITH_RECORDED_BASIS,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,External attestation and Founder decisions remain unavailable,FD-T1R2-004
C-OR-09,PR #83 hash,SUPERSEDED_BY_LATER_CHANGE,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
C-OR-10,F-05/F-28,DEFERRED_WITH_RECORDED_BASIS,DEFER_WITH_RECORDED_BASIS_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,External attestation and Founder decisions remain unavailable,FD-T1R2-004
C-OR-11,F-01,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
C-OR-12,delta heading,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
C-OR-13,F-28,DEFERRED_WITH_RECORDED_BASIS,DEFER_WITH_RECORDED_BASIS_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,External attestation and Founder decisions remain unavailable,FD-T1R2-004
F-01,F-01,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
F-03,F-03,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
F-04,F-04,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
F-05,F-05,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
F-06,F-06,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
F-07,F-07,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
F-08,F-08,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
F-09,F-09,CONFIRMED_REMEDIATED,CLOSE_WITH_VERIFIED_EVIDENCE_REVIEW_REQUIRED,NOT_EXECUTED_BY_THIS_PACKAGE,NO_BULK_RISK_ACCEPTANCE,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,FOUNDER_OR_PROPERLY_DELEGATED_AUTHORITY,No material residual risk identified for this finding within documentary scope,FD-T1R2-004
