path,purpose,before_sha256,after_sha256,exact_change,reason,reversibility,inside_sealed_package
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/CONNECTOR_ISOLATION_CONFIGURATION.md,Required additive remediation report or machine-readable result.,,67b4d0f37851ee99232d8e8de43f52a4e160273cabc18170d1ac05a3eaefedb5,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/CONNECTOR_ISOLATION_ROOT_CAUSE_ANALYSIS.md,Required additive remediation report or machine-readable result.,,7f743cd8519828ef01f70c762ace53083ac8a5570341d30d1b819fc2cffaa109,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/CUSTOM_AGENT_LOADING_ROOT_CAUSE_ANALYSIS.md,Required additive remediation report or machine-readable result.,,fcead3759111f8021aabb29e26385cb7f3730fd49ffeb29c5c668a714c8487e5,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/NON_AGENT_RUNTIME_PROBE.json,Required additive remediation report or machine-readable result.,,64631ca466b2e63888207731f868cba7f9e8137b0e1a122287620531d5190620,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/NON_AGENT_RUNTIME_PROBE.md,Required additive remediation report or machine-readable result.,,dbcc1a09daac814b1349e241861717f9ce4b8b98c0c5965ecc6dbf43b8372759,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/PRE_CANARY_STATIC_VALIDATION.json,Required additive remediation report or machine-readable result.,,ecc9bf2f5dc2ed8a9d23ada280d5f244d948e5d78c04d77c377d4f6e7f70b517,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/PRE_CANARY_STATIC_VALIDATION.md,Required additive remediation report or machine-readable result.,,485fbb285699cb9c168cf382b4f4e5494fe9ddab82fb1f7890843aa7cbd21450,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/READ_ONLY_CANARY_01_REPORT.md,Required additive remediation report or machine-readable result.,,7a7a896228fd68d324187c7cd3cbd73495e12a764ce402c51c8396e12c4cdc71,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/READ_ONLY_CANARY_01_RESULT.json,Required additive remediation report or machine-readable result.,,0eb7e1e58c6307825de77e4c067abcc1cc789971caeb76a88f24d25ade4560b8,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/REQUALIFICATION_EXECUTION_SUMMARY.json,Required additive remediation report or machine-readable result.,,5b268a2297fcbc7f7e8e2580b203e049f822a355e32b3ba7a35fad75ae118347,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/RUNTIME_REMEDIATION_AUTHORITY.md,Required additive remediation report or machine-readable result.,,f9d0a31d4a9941df19799c4bdb701fcd54f4fc02ee9e13d54b9c2ea49ca28ba9,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/RUNTIME_REMEDIATION_BASELINE.json,Required additive remediation report or machine-readable result.,,3633aa17dd465b1cbb47aa9592f0fe3b1585af01ee58aa8188be7c533561a746,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/RUNTIME_REMEDIATION_BASELINE.md,Required additive remediation report or machine-readable result.,,3eb9e9a82291baa90348ce44281c1d65f6190252aa2f3593e555054ab10d87a3,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/RUNTIME_REMEDIATION_FINAL_REPORT.md,Required additive remediation report or machine-readable result.,,286164c0723045a84bada9e2be999b3316c2e046222f10158cd181b541271497,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/RUNTIME_REMEDIATION_FINAL_RESULT.json,Required additive remediation report or machine-readable result.,,e965e1343044f8959eb6bccc9597e13b6bbc57e86dbc28f9085094cbcce8e62e,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/SEALED_PACKAGE_PRESERVATION_REPORT.md,Required additive remediation report or machine-readable result.,,2130de39207d695f2a1c77402d38928d3c92a04a205fff57dbed30b668229174,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
governance/founder_orchestrated_review/runtime_remediation/requalification/FORA-REMEDIATION-2026-001/attempts/non-agent-probe-attempt-01/NON_AGENT_RUNTIME_PROBE.json,Preserved failed non-agent harness/probe attempt evidence.,,5bd93341012eba1afd99ca39c0d4c42018fdd9e5d4fa5c5b7811e97090a4daa9,Added new file inside the additive FORA-REMEDIATION-2026-001 evidence boundary; no predecessor existed at the starting commit.,Required to remediate or evidence the two authorized runtime blockers and the bounded read-only requalification.,Delete this additive run file to return to the starting commit; no prior evidence or sealed package byte is changed.,False
