domain,legacy_value,v1_1_value,classification,compatibility_treatment,historical_preservation,automatic_migration_allowed
assurance_class,A0_INFORMATIONAL,A0_INFORMATIONAL,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
assurance_class,A1_STANDARD,A1_STANDARD,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
assurance_class,A2_ELEVATED,A2_ELEVATED,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
assurance_class,A3_HIGH,A3_HIGH,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
assurance_class,A4_CRITICAL,A4_CRITICAL,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
assurance_class,A2_IMPORTANT,A2_ELEVATED,CONTEXTUAL_EQUIVALENT,Treat as historical label; convert only during reviewed record migration.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
assurance_class,A1_STANDARD,A1_STANDARD,DIRECT_EQUIVALENT,Safe label equivalent when record scope is unchanged.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
assurance_class,A3_HIGH,A3_HIGH,DIRECT_EQUIVALENT,Safe label equivalent when record scope is unchanged.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
assurance_class,A4_CRITICAL,A4_CRITICAL,DIRECT_EQUIVALENT,Safe label equivalent when record scope is unchanged.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
evidence_grade,E0_ABSENT,E0_ABSENT,DIRECT_EQUIVALENT,Use for new V1.1 records.,PRESERVE_LEGACY_RECORD_BYTES,REVIEW_REQUIRED
