row_id,governance_source_path,artifact_id,feature_scope,gap_type,implementation_evidence_paths,recommended_action,authority_boundary
GAP-00001,docs/BUILD_NEXT_12_ROLE_READINESS_CHECKLIST.md,BUILD_NEXT_12_ROLE_READINESS_CHECKLIST,identity_access_actor,NO_GAP_STATIC_PATH_EVIDENCE_PRESENT,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Use as planning input for bounded implementation package; no mutation authorized,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
GAP-00002,docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md,ES_AND,identity_access_actor,NO_GAP_STATIC_PATH_EVIDENCE_PRESENT,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Use as planning input for bounded implementation package; no mutation authorized,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
GAP-00003,docs/canon/adopted_sources/MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,MASTER_CONFIGURATION_AND_FEATURE_FLAG_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE,identity_access_actor,NO_GAP_STATIC_PATH_EVIDENCE_PRESENT,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Use as planning input for bounded implementation package; no mutation authorized,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
GAP-00004,docs/canon/adopted_sources/MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE.md,MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE,identity_access_actor,NO_GAP_STATIC_PATH_EVIDENCE_PRESENT,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Use as planning input for bounded implementation package; no mutation authorized,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
GAP-00005,docs/canon/adopted_sources/MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0_ADOPTED_SOURCE.md,MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0_ADOPTED_SOURCE,identity_access_actor,NO_GAP_STATIC_PATH_EVIDENCE_PRESENT,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Use as planning input for bounded implementation package; no mutation authorized,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
GAP-00006,docs/canon/adopted_sources/MASTER_VENDOR_SECURITY_AND_SUPPLY_CHAIN_MODEL_V2_0_ADOPTED_SOURCE.md,MASTER_VENDOR_SECURITY_AND_SUPPLY_CHAIN_MODEL_V2_0_ADOPTED_SOURCE,identity_access_actor,NO_GAP_STATIC_PATH_EVIDENCE_PRESENT,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Use as planning input for bounded implementation package; no mutation authorized,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
GAP-00007,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/C0_019_AGREEMENT_CONSENT_AND_AUTHORIZATION_CONSTITUTIONAL_ADOPTION_RECORD.md,C0_019,identity_access_actor,UNASSESSED_BLOCKED_GOVERNANCE_SCOPE,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Keep unassessed until triage blocker is resolved or scoped out,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
GAP-00008,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/C0_019_AGREEMENT_CONSENT_AND_AUTHORIZATION_CONSTITUTIONAL_ADOPTION_RECORD.sha256,C0_019,identity_access_actor,NO_GAP_STATIC_PATH_EVIDENCE_PRESENT,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Use as planning input for bounded implementation package; no mutation authorized,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
GAP-00009,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/history/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_PRE_ADOPTION_FOUNDER_APPROVED.docx,C0_019,identity_access_actor,NO_GAP_STATIC_PATH_EVIDENCE_PRESENT,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Use as planning input for bounded implementation package; no mutation authorized,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
GAP-00010,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/history/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_PRE_ADOPTION_FOUNDER_APPROVED.md,C0_019,identity_access_actor,UNASSESSED_BLOCKED_GOVERNANCE_SCOPE,frontend/src/pages/Login.jsx|frontend/src/pages/RoleHome.jsx|frontend/src/pages/RoleIntake.jsx|frontend/src/pages/admin/AdminLogin.jsx|frontend/src/lib/permissions.js|frontend/src/lib/roleNavigation.js|frontend/src/lib/roleLanding.js|backend/routes/account_context.py|backend/routes/auth.py|frontend/src/context/AuthContext.jsx|backend/auth_security.py|backend/core/account_context.py|backend/core/account_memberships.py|backend/core/provider_access.py|backend/core/login_attempts.py|backend/core/permissions.py|backend/scripts/build_rf2_identity_access_migration_proof.py|backend/scripts/seed_bn12_uat_accounts.py|backend/core/rf5_web_enrollment_account_health.py|backend/scripts/build_rf5_web_enrollment_account_health.py,Keep unassessed until triage blocker is resolved or scoped out,"READ_ONLY_COMPARISON_ONLY; no implementation, mutation, runtime, production, launch, certification, claims, waiver, risk acceptance, or finding closure authority"
