source_id,repository_path,sha256,byte_length,authority_class
FOUNDER_DISPOSITION_SOLO_FOUNDER_PROFILE_AND_LIMITED_STAGE_24_ACTIVATION_2026-07-30.md,governance/implementation/code-guides/drafting/CGP-006/SOLO_FOUNDER_COMPENSATING_ASSURANCE_PROFILE_AND_STAGE_24_READINESS_REBASE_V1/FOUNDER_DISPOSITION_SOLO_FOUNDER_PROFILE_AND_LIMITED_STAGE_24_ACTIVATION_2026-07-30.md,9bb300eb66e30410e1d6f56f1d337532310e9544e1c3e39eb7f0d848c3692d8f,11122,FOUNDER_APPROVED_STAGE24_SOURCE
FOUNDER_RESIDUAL_RISK_ACCEPTANCE_RECORD_STAGE_24_2026-07-30.md,governance/implementation/code-guides/drafting/CGP-006/SOLO_FOUNDER_COMPENSATING_ASSURANCE_PROFILE_AND_STAGE_24_READINESS_REBASE_V1/FOUNDER_RESIDUAL_RISK_ACCEPTANCE_RECORD_STAGE_24_2026-07-30.md,d8aa1f45d493bb7be5acb65e68b1eb5cc9af2517bc9423c3cbaa06ee7e2374e9,4214,FOUNDER_APPROVED_STAGE24_SOURCE
FOUNDER_STAGE_24_ACTIVATION_SCOPE_RECORD_2026-07-30.md,governance/implementation/code-guides/drafting/CGP-006/SOLO_FOUNDER_COMPENSATING_ASSURANCE_PROFILE_AND_STAGE_24_READINESS_REBASE_V1/FOUNDER_STAGE_24_ACTIVATION_SCOPE_RECORD_2026-07-30.md,c5a4c05f25635ce5bec8ff805af7c3c0be3fdb8a8fbf8daa3b5199697ba41142,1869,FOUNDER_APPROVED_STAGE24_SOURCE
FOUNDER_APPROVAL_RECORD_CGP_006_STAGE_24_DISPOSITION_2026-07-30.md,governance/implementation/code-guides/drafting/CGP-006/SOLO_FOUNDER_COMPENSATING_ASSURANCE_PROFILE_AND_STAGE_24_READINESS_REBASE_V1/FOUNDER_APPROVAL_RECORD_CGP_006_STAGE_24_DISPOSITION_2026-07-30.md,7f228f1d81cf09801d0da951b7494c2639dd5ee317d11e1db6bd3832c005ad24,1254,FOUNDER_APPROVED_STAGE24_SOURCE
GUIDE_ACTIVATION_REGISTER.csv,governance/implementation/code-guides/registers/GUIDE_ACTIVATION_REGISTER.csv,d2941d9d02c63dd9bd4f561ff91e36a13a0e9505b735bb9e10d32c1fb0e9381f,3553,STAGE24_CUSTODY_RECORD
CODE_GUIDE_AUTHORITY_REGISTER.csv,governance/implementation/code-guides/registers/CODE_GUIDE_AUTHORITY_REGISTER.csv,62f97a4cbd445b95621bdbb9de32d5699baf2141de28b0b209ea7bb803086461,4383,STAGE24_CUSTODY_RECORD
IMPLEMENTATION_PROFILE_REGISTER.csv,governance/implementation/code-guides/registers/IMPLEMENTATION_PROFILE_REGISTER.csv,d3b5dd3e2ad5597434245f7a43b834e732ca1aa8090dca66f86e343d72587586,3213,STAGE24_CUSTODY_RECORD
PROGRAM_STATUS.md,governance/implementation/code-guides/PROGRAM_STATUS.md,991a540609b92dba5e1f3f809b718c765ba028ee85053e1436b0649b11f10bfa,20112,STAGE24_CUSTODY_RECORD
ES-CODE-GUIDE-SOLO-FOUNDER-COMPENSATING-ASSURANCE-PROFILE-V1.0.0.md,governance/implementation/code-guides/profiles/ES-CODE-GUIDE-SOLO-FOUNDER-COMPENSATING-ASSURANCE-PROFILE-V1.0.0.md,ef82faf0af5f33182014b75b35a59fbee25596f4ea1a5da52378de3ed54d2c2b,9681,STAGE24_CUSTODY_RECORD
CGP_006_STAGE_24_PROFILE_ACTIVATION_CUSTODY_RECEIPT.md,governance/implementation/code-guides/receipts/CGP_006_STAGE_24_PROFILE_ACTIVATION_CUSTODY_RECEIPT.md,98e17d857538bd52eecabec2d8b5cbe3832f4769d501972e6ba0f9163f779088,1889,STAGE24_CUSTODY_RECORD
