artifact_path,line,matched_text,classification,treatment
governance/implementation/code-guides/PROGRAM_STATUS.md,25,- Accession status after PR #45 merge: `CODE_GUIDE_PROGRAM_PLAN_V1_1_PROTECTEDLY_MERGED_PENDING_CUSTODY`,HISTORICAL_ASSERTION_PRESERVE,Preserved as dated prior accession/reconciliation status within current program history.
governance/implementation/code-guides/PROGRAM_STATUS.md,39,- Reconciliation status after PR #47 merge: `CODE_GUIDE_PROGRAM_V1_1_RECONCILIATION_PROTECTEDLY_MERGED_PENDING_CUSTODY`,HISTORICAL_ASSERTION_PRESERVE,Preserved as dated prior accession/reconciliation status within current program history.
governance/implementation/code-guides/PROGRAM_STATUS.md,56,- Integration status after PR #49 merge: `CODE_GUIDE_PROGRAM_V1_1_REVISION_AND_PR_44_SUCCESSOR_PROTECTEDLY_MERGED_PENDING_CUSTODY`,CURRENT_STATUS_STALE_REQUIRES_UPDATE,Updated PROGRAM_STATUS.md to custody-complete and PR_44_CLOSED_SUPERSEDED_NOT_MERGED current status.
governance/implementation/code-guides/PROGRAM_STATUS.md,59,- PR #44 treatment until successor custody completion: `PR_44_REMAINS_OPEN_DRAFT_UNMERGED_UNTIL_SUCCESSOR_CUSTODY_COMPLETE`,CURRENT_STATUS_STALE_REQUIRES_UPDATE,Updated PROGRAM_STATUS.md to custody-complete and PR_44_CLOSED_SUPERSEDED_NOT_MERGED current status.
governance/implementation/code-guides/drafting/CGP-006/CODE_GUIDE_PROGRAM_V1_1_REVISION_AND_PR_44_SUCCESSOR_PREPARATION/AUTHORITY_BOUNDARY_REPORT.md,5,`PROGRAM_REVISION_APPROVED_PENDING_PROTECTED_INTEGRATION_AND_CUSTODY`,PR_EVIDENCE_PRESERVE,Preserved as PR #49 package evidence; no substantive PR #49 package rewrite authorized.
governance/implementation/code-guides/drafting/CGP-006/CODE_GUIDE_PROGRAM_V1_1_REVISION_AND_PR_44_SUCCESSOR_PREPARATION/AUTHORITY_BOUNDARY_REPORT.md,7,`PR_44_REMAINS_OPEN_DRAFT_UNMERGED_UNTIL_SUCCESSOR_CUSTODY_COMPLETE`,PR_EVIDENCE_PRESERVE,Preserved as PR #49 package evidence; no substantive PR #49 package rewrite authorized.
governance/implementation/code-guides/drafting/CGP-006/CODE_GUIDE_PROGRAM_V1_1_REVISION_AND_PR_44_SUCCESSOR_PREPARATION/FOUNDER_DISPOSITION_OF_PR_49.md,58,`PROGRAM_REVISION_APPROVED_PENDING_PROTECTED_INTEGRATION_AND_CUSTODY`,FOUNDER_DISPOSITION_PRESERVE,Preserved as Founder disposition text from its original temporal context.
governance/implementation/code-guides/drafting/CGP-006/CODE_GUIDE_PROGRAM_V1_1_REVISION_AND_PR_44_SUCCESSOR_PREPARATION/FOUNDER_DISPOSITION_OF_PR_49.md,60,`PR_44_REMAINS_OPEN_DRAFT_UNMERGED_UNTIL_SUCCESSOR_CUSTODY_COMPLETE`,FOUNDER_DISPOSITION_PRESERVE,Preserved as Founder disposition text from its original temporal context.
governance/implementation/code-guides/drafting/CGP-006/CODE_GUIDE_PROGRAM_V1_1_REVISION_AND_PR_44_SUCCESSOR_PREPARATION/FOUNDER_REVIEW_SUMMARY.md,17,`PROGRAM_REVISION_APPROVED_PENDING_PROTECTED_INTEGRATION_AND_CUSTODY`,PR_EVIDENCE_PRESERVE,Preserved as PR #49 package evidence; no substantive PR #49 package rewrite authorized.
governance/implementation/code-guides/drafting/CGP-006/CODE_GUIDE_PROGRAM_V1_1_REVISION_AND_PR_44_SUCCESSOR_PREPARATION/FOUNDER_REVIEW_SUMMARY.md,19,`PR_44_REMAINS_OPEN_DRAFT_UNMERGED_UNTIL_SUCCESSOR_CUSTODY_COMPLETE`,PR_EVIDENCE_PRESERVE,Preserved as PR #49 package evidence; no substantive PR #49 package rewrite authorized.
