provider_id,provider,boundary_id,source_path,source_symbol,source_evidence_id,configuration_names,configured,integration_state,state,attempt_count,attempted_count,succeeded_count,failed_count,skipped_count,timed_out_count,unavailable_count,event_sequence,event_sha256,guard_session_id,measurement_basis,global_unapproved_attempt_count
analytics,Analytics,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,analytics_absence_attestation,S2A-SRC-6F3614BBAA5B,['ANALYTICS_WRITE_KEY'],False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,11,3774229e4f584a7714ff30fd611fb74877c78e8926e2341c4dc5aba3009eb937,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
cloudflare_api,Cloudflare API,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,cloudflare_api_absence_attestation,S2A-SRC-6F3614BBAA5B,['CLOUDFLARE_API_TOKEN'],False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,5,7bd38bb9a524acc540d9afb5255366b7d52ce36f2cd8006ab368d175bf643149,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
docusign,DocuSign,DOCUSIGN_READINESS,backend/core/document_signing.py,provider_readiness,S2A-SRC-C3171954381B,"['DOCUSIGN_ACCOUNT_ID', 'DOCUSIGN_INTEGRATION_KEY', 'DOCUSIGN_PRIVATE_KEY', 'DOCUSIGN_PRIVATE_KEY_PATH', 'DOCUSIGN_USER_ID']",False,PRESENT,SKIPPED_NOT_CONFIGURED,0,0,0,0,1,0,0,3,832be8bf74199c1f65d50f5bcb94a1f47afb8c46ffd553529101cca7603f1464,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
external_ai,External AI,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,external_ai_absence_attestation,S2A-SRC-6F3614BBAA5B,"['EMERGENT_LLM_KEY', 'GEMINI_API_KEY', 'GOOGLE_API_KEY', 'OPENAI_API_KEY']",False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,10,e99ba76b409621545c1a50c1e033d3f49819f5f72d3caec231f86e01c4b47fe3,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
object_storage,Object storage,OBJECT_STORAGE_PROVIDER_SELECTION,backend/storage.py,get_provider,S2A-SRC-F233586AA1C3,"['STORAGE_ACCESS_KEY_ID', 'STORAGE_BUCKET', 'STORAGE_ENDPOINT_URL', 'STORAGE_PROVIDER', 'STORAGE_PUBLIC_BASE_URL', 'STORAGE_SECRET_ACCESS_KEY']",False,PRESENT,SKIPPED_LOCAL_STUB_SELECTED,0,0,0,0,1,0,0,4,6f19e1418ac7491abba2539aafc020798fe77799c0ea7ce55605811094d173d2,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
render,Render,NO_APPLICATION_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,render_out_of_process_attestation,S2A-SRC-6F3614BBAA5B,['RENDER_API_KEY'],False,OUT_OF_PROCESS_DEPLOYMENT_CONTROL,UNAVAILABLE_OUT_OF_PROCESS_CONTROL,0,0,0,0,0,0,1,6,8e33c20f1d375c48e7557b14f0b67a8e967dc9f09122b2e81952e54f0c4f3c71,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
resend,Resend,RESEND_SEND,backend/mailer.py,send,S2A-SRC-47C839F00DCC,['RESEND_API_KEY'],False,PRESENT,SKIPPED_NOT_CONFIGURED,0,0,0,0,1,0,0,2,4bb6fb0ab54fde97370dc90fd5741f76b4d120a997d07b893b3bc431228c593c,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
sendgrid,SendGrid,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,sendgrid_absence_attestation,S2A-SRC-6F3614BBAA5B,['SENDGRID_API_KEY'],False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,8,5e0f5ef3ffe5c04d350d6f5c96feba09964c4af281b6502f770ff3d21b56504b,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
stripe,Stripe,STRIPE_STARTUP_CATALOG,backend/core/billing_provisioning.py,ensure_stripe_catalog,S2A-SRC-D56B75262B02,['STRIPE_API_KEY'],False,PRESENT,SKIPPED_CONTROLLED_STAGE2A_OVERRIDE,0,0,0,0,1,0,0,1,3fa2e883be1ad9ada584c7a94f5dd2be96b9d024f3d0f201cf0047a2c6d7f19a,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
twilio,Twilio,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,twilio_absence_attestation,S2A-SRC-6F3614BBAA5B,['TWILIO_AUTH_TOKEN'],False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,9,1260cf8855dec2198d7e1beaf9e7f7324e8663d2552ba7c5925c0e4ed8c01aff,9a545fc415554dab98a6c1537ad0a621,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
