invariant_identifier,guide_identifier,review_classification,stable_identifier,clear_invariant_statement,true_invariant,scope_review,normative_source_support_count,related_controls,related_controls_valid,prohibited_state_or_outcome,validation_method,warning_gap_linkage,founder_decision_required,implementation_status,revision_made,final_recommendation
ES-CG-00-INV-0001,ES-CG-00,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,29,ES-CG-00-CTRL-0001,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-00-INV-0002,ES-CG-00,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,29,ES-CG-00-CTRL-0002,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-00-INV-0003,ES-CG-00,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,29,ES-CG-00-CTRL-0003,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-00-INV-0004,ES-CG-00,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,29,ES-CG-00-CTRL-0004,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-00-INV-0005,ES-CG-00,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,29,ES-CG-00-CTRL-0005,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-INV-0001,ES-CG-01,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,34,ES-CG-01-CTRL-0001,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-INV-0002,ES-CG-01,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,34,ES-CG-01-CTRL-0002,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-INV-0003,ES-CG-01,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,34,ES-CG-01-CTRL-0003,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-INV-0004,ES-CG-01,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,34,ES-CG-01-CTRL-0004,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-01-INV-0005,ES-CG-01,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,34,ES-CG-01-CTRL-0005,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-INV-0001,ES-CG-13,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,45,ES-CG-13-CTRL-0001,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-INV-0002,ES-CG-13,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,45,ES-CG-13-CTRL-0002,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-INV-0003,ES-CG-13,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,45,ES-CG-13-CTRL-0003,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-INV-0004,ES-CG-13,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,45,ES-CG-13-CTRL-0004,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-INV-0005,ES-CG-13,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,45,ES-CG-13-CTRL-0005,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-13-INV-0006,ES-CG-13,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,45,ES-CG-13-CTRL-0006,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-10-INV-0001,ES-CG-10,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,31,ES-CG-10-CTRL-0001,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-10-INV-0002,ES-CG-10,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,31,ES-CG-10-CTRL-0002,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-10-INV-0003,ES-CG-10,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,31,ES-CG-10-CTRL-0003,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-10-INV-0004,ES-CG-10,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,31,ES-CG-10-CTRL-0004,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-10-INV-0005,ES-CG-10,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,31,ES-CG-10-CTRL-0005,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
ES-CG-10-INV-0006,ES-CG-10,ACCEPTABLE_CANDIDATE_INVARIANT,YES,YES,YES,ACCEPTABLE,31,ES-CG-10-CTRL-0006,YES,"Candidate guide material treated as adopted, active, implemented, merged, production-authorizing, CGP-007-authorizing, or source-promoting.",validate_cgp006_wave1_candidate_drafting.invariant_support,PRESENT,NO,NOT_AUTHORIZED,NO,ACCEPT_FOR_APPROVAL_CONSIDERATION_WITH_RETAINED_NON_BLOCKING_WARNINGS
