field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
requirement_id,requirement id,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_requirement_id,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
requirement_text,requirement text,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_requirement_text,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
controlling_source,controlling source,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_controlling_source,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
source_path,source path,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_source_path,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
source_locator,source locator,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_source_locator,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
source_version,source version,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_source_version,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
authority_state,authority state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_authority_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
requirement_type,requirement type,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_requirement_type,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
product_domain,product domain,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_product_domain,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
affected_actors,affected actors,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_affected_actors,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
affected_data,affected data,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_affected_data,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
safeguarding_relevance,safeguarding relevance,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_safeguarding_relevance,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
financial_relevance,financial relevance,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_financial_relevance,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
privacy_relevance,privacy relevance,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_privacy_relevance,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
health_or_welfare_relevance,health or welfare relevance,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_health_or_welfare_relevance,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
implementation_path,implementation path,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_implementation_path,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
symbol_class_function_endpoint_component_migration_job_event_policy_identifier,symbol class function endpoint component migration job event policy identifier,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_symbol_class_function_endpoint_component_migration_job_event_policy_identifier,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
implementation_summary,implementation summary,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_implementation_summary,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
path_verification_state,path verification state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_path_verification_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
verification_method,verification method,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_verification_method,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
verification_commit,verification commit,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_verification_commit,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
reviewer,reviewer,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_reviewer,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
review_date,review date,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_review_date,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
requirement_satisfaction_analysis,requirement satisfaction analysis,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_requirement_satisfaction_analysis,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
known_divergence,known divergence,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_known_divergence,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
test_id,test id,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_test_id,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
test_type,test type,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_test_type,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
test_path,test path,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_test_path,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
exact_test_or_assertion_locator,exact test or assertion locator,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_exact_test_or_assertion_locator,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
execution_command,execution command,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_execution_command,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
execution_environment,execution environment,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_execution_environment,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
execution_date,execution date,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_execution_date,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
execution_commit,execution commit,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_execution_commit,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
result,result,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_result,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
runtime_evidence,runtime evidence,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_runtime_evidence,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
evidence_artifact,evidence artifact,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_evidence_artifact,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
confidence,confidence,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_confidence,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
gap_state,gap state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_gap_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
owner,owner,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_owner,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
next_action,next action,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_next_action,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
