pr44_path,successor_treatment,content_reused,v1_1_revalidation,notes
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/ACTIVATION_BLOCKER_REGISTER.csv,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/ACTIVATION_DEFINITION_REGISTER.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/ACTIVATION_MODEL_ANALYSIS.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/ACTIVATION_PREREQUISITE_REGISTER.csv,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/ACTIVATION_READINESS_REVIEW.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/AUTHORITY_BOUNDARY_REPORT.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/CHECKSUM_MANIFEST.sha256,HISTORICAL_ONLY,NO,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/CONTROL_INVARIANT_EVIDENCE_OBLIGATION_CROSSWALK.csv,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/EVIDENCE_REQUIREMENTS_REGISTER.csv,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/EVIDENCE_TAXONOMY.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/FOUNDER_DECISION_REGISTER.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/FOUNDER_REVIEW_SUMMARY.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/GAP_0004_EVIDENCE_PLAN.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/GOVERNANCE_LINEAGE_REPORT.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/PACKAGE_MANIFEST.json,HISTORICAL_ONLY,NO,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/README.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/REVIEW_DISPOSITION.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/RISK_FINDING_DEVIATION_REGISTER.csv,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING/SOURCE_RECONCILIATION_REPORT.md,REVALIDATED_CONCEPTUAL_INPUT,SUMMARY_ONLY,REQUIRED_AND_RECORDED,No conclusion copied merely because it appeared in PR #44.
