"contract_id","provider_domain","consumer_domain","contract_requirement","documentary_conformance","source_authority_status","gap_or_observation","severity","lifecycle","claim_classification","evidence_sufficiency","confidence","identity_evidence_link","relationship_evidence_link","limitations","generated_at_utc","thread_provenance","control_label_1","control_label_2","output_hash_reference"
"CMT04-CD-001","Identity","Relationships","Canonical identity/account/actor/principal and assurance facts remain owned by Identity; relationship/delegation truth remains owned by Relationships.","CONSISTENT","DRAFT_CANDIDATE","The two Identity-to-Relationships contracts have identical substantive text; only their status lines differ.","","OPEN","DETERMINISTICALLY_VERIFIED","E4","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_RELATIONSHIPS_CONTRACT.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/IDENTITY_RELATIONSHIPS_CONTRACT.md","Contract text is proposed and not implementation authorized.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-CD-002","Identity","Authorization","Authentication success is not authorization; Identity supplies contextual facts and Authorization makes final allow/deny/projection/step-up decisions.","CONSISTENT_BUT_UNCLOSED","MISSING_REQUIRED_SOURCE","Identity contract and all ADR boundary sections agree, but the Authorization PIA and approved contract are absent.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_AUTHORIZATION_CONTRACT.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/CROSS_DOMAIN_CONTRACT_ALIGNMENT_REGISTER.csv","Documentary compatibility is not approved cross-domain closure.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-CD-003","Identity","Relationships","Identity merge or supersession must not automatically merge relationship records; provenance and conflicts survive.","CONSISTENT_BUT_IDENTITY_ADR_INCOMPLETE","DRAFT_CANDIDATE","Contract and ADR-REL-007 agree, but ADR-IDENTITY-006 omits reversible mappings and downstream relationship effects from IDENTITY-FD-007.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-006_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/ADR-REL-007_FORMAL.md","No merge implementation or reversal procedure was tested.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-CD-004","Identity","Protected Participant and Relationships","Guardian authority is relationship-derived and protective controls may narrow effects; minors retain distinct identity/account/credentials.","PARTIAL","MISSING_REQUIRED_SOURCE","Contracts and PIAs are directionally consistent, but the Protected Participant PIA/source lifecycle is not closed and ADR-IDENTITY-007 omits the separate-minor identity/account/credentials/attribution rule.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/CROSS_DOMAIN_CONTRACT_ALIGNMENT_REGISTER.csv","Jurisdictional and safeguarding sources were not independently available beyond the registers.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-CD-005","Identity","Relationships","Public signup creates provisional organization/facility/owner/manager/trainer claims and no authority before required checks.","INCOMPLETE","FOUNDER_DECISION","ADR-IDENTITY-006 carries a provisional OrganizationEnrollmentCase, but REL-FD-012's relationship-claim rule is absent from all seven Relationships formal ADRs.","P1_BLOCKING","OPEN","DETERMINISTICALLY_VERIFIED","E4","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/ADR-IDENTITY-006_FORMAL.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Controlled_Sequence_V1_0_0/FOUNDER_DECISION_APPROVAL_INGESTION.csv","Absence conclusion is limited to the frozen formal ADR set; the Relationships PIA may retain policy outside the ADRs.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-CD-006","Identity","Support and Relationships","Support representation preserves the human actor, represented principal, case, purpose, scope, attribution, and bounded termination.","PARTIAL","FOUNDER_DECISION","Contract text preserves actor/represented principal and ADR-IDENTITY-004 requires bounded attributed sessions, but the formal ADR set omits several IDENTITY-FD-009 controls.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/IDENTITY_RELATIONSHIPS_CONTRACT.md","No support workflow was executed.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-CD-007","Identity","Relationships, Agreement, Audit, Safeguarding and Record Stewardship","Account closure ends authentication/future access while preserving required historical categories.","PARTIAL","FOUNDER_DECISION","The contract says relationship history survives and ADR-IDENTITY-004 triggers session invalidation, but no Identity ADR carries the complete preservation list in IDENTITY-FD-011.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/IDENTITY_RELATIONSHIPS_CONTRACT.md","Agreement, Audit, Safeguarding and Privacy source closure remains incomplete.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-CD-008","Relationships","Authorization","Authorization consumes current versioned relationship/delegation facts and revocation watermark; it may not rewrite relationship truth.","CONSISTENT_BUT_UNCLOSED","MISSING_REQUIRED_SOURCE","ADR-REL-003 and the proposed contract align, but both directions of the Authorization contract remain blocked by an absent Authorization PIA.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","HIGH","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/IDENTITY_AUTHORIZATION_CONTRACT.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/RELATIONSHIPS_AUTHORIZATION_CONTRACT.md","No policy engine, cache invalidation, or watermark was executed.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-CD-009","Relationships","Claims","A dispute creates a Claims reference and temporary restriction without overwriting prior relationship truth.","CONSISTENT_BUT_PARTIAL","CONTROLLING_CONSTITUTIONAL_AUTHORITY","ADR-REL-004 is semantically consistent; source register records exact Claims bytes but inherited lifecycle and contract status remains PARTIALLY_ALIGNED.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","MODERATE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/PIA_IDENTITY_ACCOUNT_ACTOR_ENROLLMENT_ONBOARDING_V1_1_0.md","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/ADR-REL-004_FORMAL.md","Current lock-ledger status was not independently available in the frozen set.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-CD-010","Agreement and Consent","Identity and Relationships","Agreement owns signer capacity, execution, consent, withdrawal, documentary authority, and delegate acceptance references.","CONSISTENT_BUT_UNCLOSED","MISSING_REQUIRED_SOURCE","All ADR boundary sections assign ownership consistently, but active Agreement source path/lifecycle and formal contract are unresolved.","P1_BLOCKING","OPEN","SUPPORTED_BY_MULTIPLE_SOURCES","E3","MODERATE","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/SOURCE_RECONCILIATION_REGISTER.csv","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Pre_Ratification_Completion_V1_0_0/SOURCE_RECONCILIATION_REGISTER.csv","No active Agreement PIA/contract bytes were present.","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
