field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
domain,domain,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_domain,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
total_canonical_requirements,total canonical requirements,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_total_canonical_requirements,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
mapped_requirements,mapped requirements,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_mapped_requirements,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
implementation_candidates_identified,implementation candidates identified,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_implementation_candidates_identified,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
implementations_verified,implementations verified,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_implementations_verified,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
tests_specified,tests specified,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_tests_specified,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
tests_located,tests located,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_tests_located,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
tests_executed,tests executed,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_tests_executed,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
tests_passed,tests passed,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_tests_passed,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
negative_tests_present,negative tests present,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_negative_tests_present,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
runtime_evidence_present,runtime evidence present,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_runtime_evidence_present,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
requirements_with_open_gaps,requirements with open gaps,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_requirements_with_open_gaps,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
requirements_with_no_owner,requirements with no owner,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_requirements_with_no_owner,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
coverage_percentage_for_implementation_candidates,coverage percentage for implementation candidates,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_coverage_percentage_for_implementation_candidates,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
coverage_percentage_for_executed_tests,coverage percentage for executed tests,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,03_IMPLEMENTATION_TRACEABILITY/COVERAGE_METRICS_BY_DOMAIN.csv,required column present; non-empty unless explicitly allowed,example_coverage_percentage_for_executed_tests,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
