"label_1","label_2","lane_id","thread_id","observed_start_utc","generated_utc","correction_id","finding_ids","target","classification","severity","proposed_correction","founder_or_owner_action_required","proposal_approval_status","evidence_links","limitations","self_audit"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-001","CMT02-F-001","WORKFLOW_REGISTER.csv;GOLDEN_PATHS.md;IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md","CONTROL_WEAKENING","P0","Replace optional/ordinary minor-account language with: Every minor retains a separate canonical identity, account, credentials, attribution, and age/jurisdiction-aware capability state distinct from each guardian. Non-minor protected-participant exceptions, if any, require separately approved scope.","Founder confirms exact correction; Protected Participant/Relationships/Safeguarding owners concur.","PROPOSED_NOT_APPROVED_BY_CMT02","FOUNDER_DECISION_REGISTER.csv:L5;REQUIREMENT_REGISTER.csv:L18;WORKFLOW_REGISTER.csv:L5;GOLDEN_PATHS.md:L55-L59;IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md:L5","Proposal only; no self-approval or legal adjudication.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-002","CMT02-F-002","IDENTITY_AUTHORIZATION_CONTRACT.md invariant 3","CONTROL_WEAKENING","P0","Replace with: Recovery restores bounded account access only. A recovered session cannot authorize a high-risk action until fresh step-up, required risk checks, or controlled manual review is complete under approved versioned policy; recovery never creates authority or restores revoked relationships or grants.","Founder exact-text ratification and Authorization owner concurrence.","PROPOSED_NOT_APPROVED_BY_CMT02","FOUNDER_DECISION_REGISTER.csv:L7;IDENTITY_AUTHORIZATION_CONTRACT.md:L27;ADR-IDENTITY-005_FORMAL.md:L17","Proposal only; Authorization PIA remains pending.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-003","CMT02-F-003","ADR-IDENTITY-006_FORMAL.md;FORMAL_ADR_REGISTER.csv","MISSING_TRACEABILITY","P1","Map FD-005 to ADR-IDENTITY-006 or a separate reviewed ADR and add: Invitations are single-use, revocable, purpose-bound, recipient-bound where feasible, short-lived under approved policy, stored only in protected form, and subject to stricter assurance and duration for privileged invitations.","Founder exact-text ratification; Communication/Security owners concur.","PROPOSED_NOT_APPROVED_BY_CMT02","FOUNDER_DECISION_REGISTER.csv:L6;FORMAL_ADR_REGISTER.csv:L2-L8;REQUIREMENT_REGISTER.csv:L10-L11","Proposal only; implementation parameters remain unselected.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-004","CMT02-F-004","FORMAL_ADR_REGISTER.csv;ADR-IDENTITY-001,004,005,006,007","MISSING_TRACEABILITY","P1","Rebuild the mapping from actual clauses: add FD-002 to the TOTP-owning ADR; remove FD-008 from ADR-001 unless direct text is added; remove unsupported FD-007/009/011 mappings from ADR-005 or add exact relevant clauses; add full FD-004, FD-009, FD-011, and FD-012 semantics to their owning ADRs.","Founder approves exact mapping and text after independent re-review.","PROPOSED_NOT_APPROVED_BY_CMT02","FOUNDER_DECISION_REGISTER.csv:L3,L5,L8-L10,L12-L13;FORMAL_ADR_REGISTER.csv:L2-L8","Proposal describes mapping repair; it does not approve redlines.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-005","CMT02-F-005","ADR-IDENTITY-002_FORMAL.md","MATERIAL_ADDITION_REQUIRING_FOUNDER_DECISION","P1","Either identify the exact approved recommendation/source for the single RP-domain and attestation defaults, submit them as explicit new Founder decisions in exact-text ratification, or move them to Open Implementation Parameters without normative force.","Founder decision required; Security/Privacy architecture concurrence where applicable.","PROPOSED_NOT_APPROVED_BY_CMT02","ADR-IDENTITY-002_FORMAL.md:L15-L17,L44-L49;FOUNDER_DECISION_REGISTER.csv:L3-L4","No implementation architecture selected by this lane.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-006","CMT02-F-006","ADR-IDENTITY-003_FORMAL.md","MATERIAL_ADDITION_REQUIRING_FOUNDER_DECISION","P1","Keep mandatory privileged MFA, passkey preference, TOTP compatibility, and fresh step-up. Separately ratify ES-AAL taxonomy and numeric TOTP/step-up policy, or mark them non-normative proposed parameters subject to security analysis and benchmark approval.","Founder decision required; Security and Authorization owners concur.","PROPOSED_NOT_APPROVED_BY_CMT02","ADR-IDENTITY-003_FORMAL.md:L15-L17,L44-L49;FOUNDER_DECISION_REGISTER.csv:L4,L7","No assurance implementation evaluated.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-007","CMT02-F-007","ADR-IDENTITY-004_FORMAL.md","MATERIAL_ADDITION_REQUIRING_FOUNDER_DECISION","P1","Relabel opaque web sessions and native token/refresh architecture as material choices proposed for exact-text Founder ratification with source support, or move them to open architecture parameters pending a dedicated Security/Identity ADR.","Founder decision required; Security architecture concurrence.","PROPOSED_NOT_APPROVED_BY_CMT02","ADR-IDENTITY-004_FORMAL.md:L15-L17,L45-L50;FOUNDER_DECISION_REGISTER.csv:L4,L7,L10,L12","No client/session implementation evaluated.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-008","CMT02-F-008","ADR-IDENTITY-005_FORMAL.md","MATERIAL_ADDITION_REQUIRING_FOUNDER_DECISION","P1","Preserve bounded recovery and no-authority-creation rules. Move the ordered hierarchy and ten-code count to open parameters pending threat analysis, or submit them as explicit new Founder decisions with exact source rationale.","Founder decision required; Security/Privacy/Support owner concurrence.","PROPOSED_NOT_APPROVED_BY_CMT02","ADR-IDENTITY-005_FORMAL.md:L15-L17,L45-L50;FOUNDER_DECISION_REGISTER.csv:L7","No recovery mechanism tested.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-009","CMT02-F-009","ADR-IDENTITY-006_FORMAL.md line 17","CROSS_DOMAIN_CONFLICT","P1","Replace the multi-location tenancy default with: Multi-location organization and tenancy topology is determined by approved Business, Facility, Relationships, Authorization, Privacy, contractual, financial, and operational rules; Identity does not decide it.","Founder and owning-domain concurrence.","PROPOSED_NOT_APPROVED_BY_CMT02","ADR-IDENTITY-006_FORMAL.md:L17,L27-L34;PIA:L185-L212","No Facility/Business PIA drafted or adjudicated.","PASS"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-PC-010","CMT02-F-010","ADR-IDENTITY-007_FORMAL.md open parameter","AMBIGUOUS_REQUIRES_REMEDIATION","P1","Replace Maximum paused-case duration with Review escalation and service-level targets; a paused case never auto-completes or expands authority solely because time elapsed.","Founder exact-text ratification; Protected Participant/Safeguarding/Relationships concurrence.","PROPOSED_NOT_APPROVED_BY_CMT02","ADR-IDENTITY-007_FORMAL.md:L17,L45-L50;FOUNDER_DECISION_REGISTER.csv:L11","No jurisdictional timing rule selected.","PASS"
