cluster_id,source_path,preferred_canonical_representation,exact_byte_identity,counterpart_or_derivative,content_differs,controlling_version,archive_treatment,other_copies_usable
T1R2-SRC-CLUSTER-001,docs/canon/MASTER_BARN_LIFECYCLE.md,docs/canon/MASTER_BARN_LIFECYCLE.md,YES,exact duplicate,NO,VERSION_NOT_DECLARED,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-001,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_015/current_repository_source/MASTER_BARN_LIFECYCLE.md,docs/canon/MASTER_BARN_LIFECYCLE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-002,docs/canon/MASTER_BUSINESS_LIFECYCLE.md,docs/canon/MASTER_BUSINESS_LIFECYCLE.md,YES,exact duplicate,NO,VERSION_NOT_DECLARED,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-002,docs/canon/reviews/foundational_canon_source_certification_v1_0/source_event/MASTER_BUSINESS_LIFECYCLE_V2_0_FOUNDER_CERTIFIED_CURRENT_SOURCE.md,docs/canon/MASTER_BUSINESS_LIFECYCLE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-002,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_016/current_repository_source/MASTER_BUSINESS_LIFECYCLE.md,docs/canon/MASTER_BUSINESS_LIFECYCLE.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-003,docs/canon/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0.md,docs/canon/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-003,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_028/current_repository_source/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0.md,docs/canon/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-004,docs/canon/MASTER_ECOSYSTEM_MODEL.md,docs/canon/MASTER_ECOSYSTEM_MODEL.md,YES,exact duplicate,NO,VERSION_NOT_DECLARED,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-004,docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_005/current_repository_source/MASTER_ECOSYSTEM_MODEL.md,docs/canon/MASTER_ECOSYSTEM_MODEL.md,YES,exact duplicate,NO,V1.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
T1R2-SRC-CLUSTER-005,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md,YES,exact duplicate,NO,V2.0,retain duplicate unless Founder source-control hierarchy directs cleanup,usable only with duplicate context
