finding_id,severity,review_lane,finding,affected_documents,required_change,disposition,traceability
FAC-FIND-P1-001,P1,DOMAIN_OPERATIONAL,The first draft did not state strongly enough that Barn is neither Tenant nor durable Facility identity.,PIA_FACILITY_TENANT_ORGANIZATION_V1_0_0.md;DATA_DICTIONARY.md,Add the BarnOperationalContext definition and explicit anti-equivalence rules.,RESOLVED_IN_REVISION,FAC-FD-001;FAC-REQ-001
FAC-FIND-P1-002,P1,CROSS_DOMAIN,Association workflows could be misread as granting authority.,WORKFLOW_REGISTER.md;PERMISSION_AND_AUTHORIZATION_BOUNDARY_MATRIX.csv,"State non-authorizing effect at creation, update and consumption points.",RESOLVED_IN_REVISION,FAC-FD-012;FAC-REQ-004
FAC-FIND-P1-003,P1,SECURITY_PRIVACY,"Suspension coverage was not enumerated across jobs, search, exports, webhooks and integrations.",PIA_FACILITY_TENANT_ORGANIZATION_V1_0_0.md;STATE_TRANSITION_MATRIX.csv,Add all-surface denial and an explicit narrow safety-evidence exception candidate.,RESOLVED_IN_REVISION,FAC-FD-020;FAC-REQ-019
FAC-FIND-P1-004,P1,ADVERSARIAL,Transfer/merge language needed a complete non-cascade list.,GOLDEN_PATHS.md;ADVERSARIAL_SCENARIOS.md,"Enumerate people, horses, permissions, agreements, billing, private records and evidence.",RESOLVED_IN_REVISION,FAC-FD-008;FAC-REQ-010
FAC-FIND-P2-001,P2,SECURITY_PRIVACY,Offline behavior did not separate observation capture from consequential topology mutation.,API_EVENT_JOB_CONTRACTS.md;PIA_FACILITY_TENANT_ORGANIZATION_V1_0_0.md,Prohibit consequential offline mutation and require online revalidation.,RESOLVED_IN_REVISION,FAC-FD-019;FAC-REQ-020
FAC-FIND-P2-002,P2,SECURITY_PRIVACY,Public discovery fields lacked a minimum candidate set and sensitive denylist.,DATA_DICTIONARY.md;GOLDEN_PATHS.md,Add a separate revocable projection and exact-layout/occupant exclusions.,RESOLVED_IN_REVISION,FAC-FD-016;FAC-REQ-014
FAC-FIND-P2-003,P2,DOMAIN_OPERATIONAL,Canonical source bodies retain candidate-status wording while separate adoption records control lifecycle.,SOURCE_REGISTER.md,Record content/lifecycle separation and exact adoption evidence.,RESOLVED_IN_REVISION,FAC-SRC-008;FAC-SRC-010;FAC-SRC-012
FAC-FIND-P2-004,P2,CROSS_DOMAIN,Organization verification could be mistaken for authorization.,DATA_DICTIONARY.md;INHERITANCE_AND_SHARED_CONTROL_REGISTER.md,Add verification assertion entity and no-authority effect.,RESOLVED_IN_REVISION,FAC-FD-012;FAC-REQ-026
FAC-FIND-P2-005,P2,MACHINE_TRACEABILITY,Retention has no supported numeric default.,FOUNDER_DECISION_REGISTER.md;RISK_FINDING_DEVIATION_REGISTER.csv,Keep threshold unresolved and route to Founder/legal/operational method.,OPEN_FOUNDER_DECISION,FAC-FD-022;FAC-RISK-008
FAC-FIND-P2-006,P2,AS_BUILT,Current implementation uses default/primary fallbacks and partial facility-account mirrors.,AS_BUILT_RECONCILIATION.md,Classify as legacy nonconformance; require separately authorized reconciliation.,OPEN_IMPLEMENTATION_GAP,FAC-RISK-001;FAC-RISK-010
FAC-FIND-P3-001,P3,DOCUMENTARY,First-user seed wording omitted an explicit unassigned Area.,GOLDEN_PATHS.md;FOUNDER_DECISION_BRIEF.md,Add candidate minimum topology and state that it creates no authority.,RESOLVED_IN_REVISION,FAC-FD-017;FAC-REQ-031
FAC-FIND-P3-002,P3,MACHINE_TRACEABILITY,Some narrative contracts did not expose stable identifiers.,API_EVENT_JOB_CONTRACTS.md,"Add FAC-API, FAC-EVT and FAC-JOB identifiers.",RESOLVED_IN_REVISION,FAC-REQ-036
FAC-FIND-P3-003,P3,DOCUMENTARY,Recommendations needed repeated candidate-only wording in Founder-facing outputs.,FOUNDER_REVIEW_PACKET.md;FOUNDER_DECISION_BRIEF.md,Repeat recommendation notice and unresolved status.,RESOLVED_IN_REVISION,FAC-FD-028
