duplicate_group_id,sha256,copy_count,paths,determination
T1D08-DUP-0004,002980d613979a615ed49b8660946a0f182acf2aee6a86b9e2eb896d723ad252,2,docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/render_evidence/final_locked_v1/page-4.png;docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/render_evidence/phase_a_v2/page-4.png,VERIFIED_EXACT_DUPLICATE
T1D08-DUP-0007,002f5d7517fa11659fd14d4add2ca6351f9a14112d797e020b0881d1e1e7e7e5,2,docs/canon/candidates/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_0.md;docs/canon/history/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_0_CANDIDATE.md,VERIFIED_EXACT_DUPLICATE
T1D08-DUP-0033,023d2a67cda305e0488b0782b86f1402d48c6df95eef7bae90a34857a1c05952,3,docs/canon/adoptions/c0_023_c0_035_adoption/render_evidence/privacy/page-10.png;docs/canon/locks/privacy_v2_0/render_evidence/final_locked/page-10.png;docs/canon/reviews/privacy_reporting_format_counterpart_completion_v1_0/render_evidence/privacy/page-10.png,VERIFIED_EXACT_DUPLICATE
T1D08-DUP-0051,038eb6c7a066dd17310d87e0669eb858697fdfd62518600e6f992c958dd17d8c,2,docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/render_evidence/final_locked_v1/page-9.png;docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/render_evidence/phase_a_v2/page-9.png,VERIFIED_EXACT_DUPLICATE
T1D08-DUP-0064,048fa16790821eb25f251bae89ee223050d0f72fc794b4816b8cc41f457de145,2,docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/render_evidence/final_locked_v1/page-20.png;docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/render_evidence/phase_a_v2/page-20.png,VERIFIED_EXACT_DUPLICATE
T1D08-DUP-0085,063339ec8b8aab20908742675013692de2dbb56f018939bac71371b8366d2466,3,docs/canon/MASTER_BUSINESS_LIFECYCLE.md;docs/canon/reviews/foundational_canon_source_certification_v1_0/source_event/MASTER_BUSINESS_LIFECYCLE_V2_0_FOUNDER_CERTIFIED_CURRENT_SOURCE.md;docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_016/current_repository_source/MASTER_BUSINESS_LIFECYCLE.md,VERIFIED_EXACT_DUPLICATE
T1D08-DUP-0089,0670576e74ebd68adaeacd7dbce0384c47983570af7b129aa6cf13a7e95bb936,2,docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/render_evidence/final_locked_v2/page-20.png;docs/canon/reviews/c0_019_agreement_consent_authorization_lifecycle_completion/render_evidence/phase_a_v1/page-20.png,VERIFIED_EXACT_DUPLICATE
T1D08-DUP-0136,0944f850e96a042beb26ac234519627dfe8ee16bd96b094923b2a611bc26de47,2,docs/canon/adoptions/c0_023_c0_035_adoption/render_evidence/reporting/page-13.png;docs/canon/reviews/privacy_reporting_format_counterpart_completion_v1_0/render_evidence/reporting/page-13.png,VERIFIED_EXACT_DUPLICATE
T1D08-DUP-0150,0a5302bba0240ba6acd9871b7453916ff212f91ce2f1622b9a4e236701f52604,2,docs/canon/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1.md;docs/canon/history/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1_FOUNDER_APPROVED_SOURCE.md,VERIFIED_EXACT_DUPLICATE
T1D08-DUP-0167,0bb1ceda81e67e12058a21bb91be3c44ee95ece1f1cdb30bbcef7c58e8ba1a5c,2,docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/render_evidence/final_locked_v1/page-23.png;docs/canon/reviews/c0_004_master_product_vision_lifecycle_completion/render_evidence/phase_a_v2/page-23.png,VERIFIED_EXACT_DUPLICATE
