t1c_id,source_review_ids,evidence_artifact,evidence_locator,validation_or_review_required,closure_assertion,remaining_open_item
T1C-001,CLAUDE-V2-01;CLAUDE-V2-02;PPLX-N-01;PPLX-N-03,V3 package file set and validation outputs,"V3 regenerates per-directory manifests, MANIFEST_OF_MANIFESTS.csv, root PACKAGE_MANIFEST.json, root CHECKSUMS.sha256, and final detached ZIP checksum after content stabilization.",OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-002,CLAUDE-V2-04;PPLX-FD-001,V3 package file set and validation outputs,V3 replaces operative incorrect state-count wording with thirteen-state wording and preserves no-disposition/no-authority decision posture.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-003,CLAUDE-V2-04;PPLX-P-03,V3 package file set and validation outputs,V3 records no Founder disposition and retains residual-risk closure for Founder or authorized reviewer action.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-004,CLAUDE-V2-05;PPLX-N-06;PPLX-P-04,V3 package file set and validation outputs,V3 adds a conservative template evidence table and does not close the finding by reviewer disagreement.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-005,CLAUDE-V2-04;PPLX-P-06,V3 package file set and validation outputs,V3 scopes the label to source-contained Founder approval evidence and does not treat it as adoption of this package.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-006,CLAUDE-V2-04;PPLX-P-01,V3 package file set and validation outputs,V3 removes verified-fact hedging but retains source-text candidate limitations.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-007,CLAUDE-V2-03;CLAUDE-V2-07;PPLX-N-04;PPLX-N-05,V3 package file set and validation outputs,V3 populates actual source-review identifiers and makes the closure evidence register a distinct evidence register.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-008,CLAUDE-V2-01;CLAUDE-V2-02;CLAUDE-V2-08;PPLX-N-01;PPLX-N-02;PPLX-N-03,V3 package file set and validation outputs,"V3 validator includes integrity checks, refuses PASS on fixture failures, and executes negative fixtures.",OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-009,CLAUDE-V2-09;PPLX-P-02,V3 package file set and validation outputs,V3 preserves NO_DISPOSITION_SELECTED and NONE_BY_THIS_PACKAGE authority state.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
T1C-010,PPLX-P-09,V3 package file set and validation outputs,V3 retains no-production-use and no-implementation boundary.,OUTSIDE_REVIEWER_REREVIEW_REQUIRED,NOT_CLOSED_BY_THIS_PACKAGE,Retained open unless current_target_disposition is remediated and reviewer accepts evidence.
