certification_class_id,class_name,required_fields,status_values,non_waivable_core_binding
FCR-01,Historical Evidence Certification,"[""unavailable_historical_source"",""efforts_to_locate_source"",""substituted_evidence"",""limitations"",""affected_claims"",""review_trigger"",""expires_at"",""historical_fact_not_rewritten_statement""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
FCR-02,Current-State Certification,"[""exact_current_baseline"",""inspected_repository_state"",""evidence_examined"",""exclusions"",""unresolved_uncertainty"",""affected_claims"",""scope_limitations""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
FCR-03,Test Waiver,"[""exact_waived_test"",""reason"",""risk"",""duration"",""compensating_controls"",""expires_at"",""reopening_trigger"",""prohibited_claims""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
FCR-04,Test Deferral,"[""deferred_test"",""due_date"",""interim_controls"",""owner"",""blocking_consequences"",""expires_at"",""mandatory_completion_trigger""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
FCR-05,Alternative Evidence Acceptance,"[""original_evidence_requirement"",""alternative_evidence"",""equivalence_analysis"",""known_limitations"",""residual_risk"",""expires_at_or_review_trigger"",""affected_claims""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
FCR-06,Pilot Evidence Substitution,"[""environment"",""exact_build_or_commit"",""cohort"",""duration"",""feature_scope"",""data_scope"",""provenance"",""lawful_basis_or_consent"",""participant_notice"",""privacy_minimization"",""retention_period"",""limitations"",""anomalies"",""substituted_requirement"",""stop_conditions"",""incident_treatment"",""dpia_or_not_required_determination""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
FCR-07,Soundness Certification,"[""reviewed_scope"",""evidence_relied_upon"",""technical_basis"",""documentary_basis"",""operational_basis"",""unresolved_defects"",""reviewer_identity"",""prohibited_inferences"",""expires_at_or_reopening_trigger""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
FCR-08,Residual-Risk Acceptance,"[""risk_statement"",""likelihood"",""impact"",""affected_scope"",""compensating_controls"",""owner"",""review_date"",""trigger_for_reconsideration"",""hiring_or_maturity_trigger"",""consequences_if_risk_materializes""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
FCR-09,Procedural Override,"[""exact_gate_overridden"",""harm_or_burden_caused_by_gate"",""proportionality_analysis"",""external_obligation_check"",""compensating_control"",""duration"",""scope"",""second_review"",""non_waivable_core_confirmation"",""revocation_trigger""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
FCR-10,Production Authorization,"[""release_identity"",""environment"",""feature_scope"",""data_scope"",""user_scope"",""evidence_relied_upon"",""unresolved_risk_statement"",""exception_attestation"",""stop_conditions"",""rollback_conditions"",""effective_date"",""expires_at_or_review_trigger"",""second_review"",""release_scope_only_statement""]","[""ACTIVE"",""EXPIRED"",""REVOKED"",""SUSPENDED"",""SUPERSEDED"",""NARROWED"",""SATISFIED_BY_EVIDENCE""]","This class lacks authority to waive, substitute, defer, override, or nullify any non-waivable-core requirement."
