exclusion_record_id,source_or_document_id,source_id,repository_path,title,primary_classification,exclusion_basis,blocks_drafting,blocks_adoption_or_activation,required_later_action,notes
CGP006-EXCL-0001,CGP005-RC-0604,CGSRC-BLOCK-0001,docs/canon/reviews/drafting_equine_health_welfare_medical_v1_0,Canon review package: drafting_equine_health_welfare_medical_v1_0,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0002,CGP005-RC-0605,CGSRC-BLOCK-0002,docs/canon/reviews/drafting_minor_guardianship_safeguarding_v1_0,Canon review package: drafting_minor_guardianship_safeguarding_v1_0,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0003,CGP005-RC-0606,CGSRC-BLOCK-0003,docs/canon/reviews/foundational_gap_closure,Canon review package: foundational_gap_closure,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0004,CGP005-RC-0607,CGSRC-BLOCK-0004,docs/canon/reviews/stage0_c0_classification_correction,Canon review package: stage0_c0_classification_correction,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0005,CGP005-RC-1533,CGSRC-PROP-0001,docs/canon/MASTER_RELATIONSHIP_MODEL_PROPOSED_CORRECTIONS.md,Master Relationship Model Proposed Corrections,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0006,CGP005-RC-1534,CGSRC-PROP-0002,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_CANON_INDEX_PROPOSAL.md,Master Relationship Model v2.0 Canon Index Proposal,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0007,CGP005-RC-1535,CGSRC-PROP-0003,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_DEPENDENCY_PROPOSALS.md,Master Relationship Model v2.0 Dependency Proposals,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0008,CGP005-RC-1536,CGSRC-PROP-0004,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_FINAL_CANDIDATE.md,MASTER RELATIONSHIP MODEL - VERSION 2.0 FINAL CANDIDATE,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0009,CGP005-RC-1537,CGSRC-PROP-0005,docs/canon/candidates/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_0.md,"MASTER AGREEMENT, CONSENT, AND AUTHORIZATION MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0010,CGP005-RC-1538,CGSRC-PROP-0006,docs/canon/candidates/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_FOUNDER_APPROVED.md,MASTER AUDIT EVENT AND EVIDENCE MODEL,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0011,CGP005-RC-1539,CGSRC-PROP-0007,docs/canon/candidates/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_FOUNDER_APPROVED.md,"MASTER COMMUNICATION, NOTIFICATION, AND NOTICE MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0012,CGP005-RC-1540,CGSRC-PROP-0008,docs/canon/candidates/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0.md,"MASTER DATA PROTECTION, ENCRYPTION, AND KEY MANAGEMENT MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0013,CGP005-RC-1541,CGSRC-PROP-0009,docs/canon/candidates/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_1_RECONCILED_ADOPTION_CANDIDATE.md,"Master Equine Health, Welfare, Medical Record, and Clinical Support Model V1.1",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0014,CGP005-RC-1542,CGSRC-PROP-0010,docs/canon/candidates/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md,MASTER EXTERNAL ARCHITECTURE AND ADAPTER MODEL,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0015,CGP005-RC-1543,CGSRC-PROP-0011,docs/canon/candidates/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_0.md,Master Financial Truth and Responsibility Model,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0016,CGP005-RC-1544,CGSRC-PROP-0012,docs/canon/candidates/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md,"MASTER IDENTITY, ACCOUNT, AND ACTOR MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0017,CGP005-RC-1545,CGSRC-PROP-0013,docs/canon/candidates/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V1_0.md,"MASTER MEDIA, FILES, AND DIGITAL ASSET GOVERNANCE MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0018,CGP005-RC-1546,CGSRC-PROP-0014,docs/canon/candidates/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V1_1.md,"MASTER MEDIA, FILES, AND DIGITAL ASSET GOVERNANCE MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0019,CGP005-RC-1547,CGSRC-PROP-0015,docs/canon/candidates/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V1_2.md,"MASTER MEDIA, FILES, AND DIGITAL ASSET GOVERNANCE MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0020,CGP005-RC-1548,CGSRC-PROP-0016,docs/canon/candidates/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_RECONCILED_ADOPTION_CANDIDATE.md,"title: ""MASTER MINOR, GUARDIANSHIP, SAFEGUARDING, AND PROTECTED PARTICIPANT MODEL V1.2""",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0021,CGP005-RC-1549,CGSRC-PROP-0017,docs/canon/candidates/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0.md,"MASTER PLATFORM OPERATIONS, RELIABILITY, AND RELEASE MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0022,CGP005-RC-1550,CGSRC-PROP-0018,docs/canon/candidates/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0.md,"MASTER PLATFORM RESILIENCE, BACKUP, AND RECOVERY OPERATIONAL MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0023,CGP005-RC-1551,CGSRC-PROP-0019,docs/canon/candidates/MASTER_SECURITY_INCIDENT_RESPONSE_AND_DISCLOSURE_MODEL_V1_0.md,MASTER SECURITY INCIDENT RESPONSE AND DISCLOSURE MODEL,EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-EXCL-0024,CGP005-RC-1552,CGSRC-PROP-0020,docs/canon/candidates/MASTER_SECURITY_PRIVACY_AND_TRUST_MODEL_V1_0.md,"MASTER SECURITY, PRIVACY, AND TRUST MODEL",EXCLUDED_FROM_DRAFTING,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,NO,YES,"Requires separate adoption, unblocking, or guide-specific authority before drafting use.","The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
