requirement_id,template_name,required_evidence
T1R2-REVIEW-REQ-01,INTERNAL_DOCUMENTARY_REVIEW_PLAN,"INTERNAL_DOCUMENTARY_REVIEW_PLAN must collect: plan_id, package_root, review_scope, reviewer_role, source_population, sampling_strategy, exclusion_basis, planned_outputs. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-02,SCOPE_AND_EXCLUSIONS_SCHEDULE,"SCOPE_AND_EXCLUSIONS_SCHEDULE must collect: scope_item_id, included_surface, excluded_surface, exclusion_reason, affected_t1c_id, evidence_locator, reviewer_confirmation. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-03,SOURCE_MANIFEST,"SOURCE_MANIFEST must collect: source_id, repository_path, source_title, sha256, byte_length, git_blob, controlling_version, custody_state. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-04,EVIDENCE_INDEX,"EVIDENCE_INDEX must collect: evidence_id, linked_register, linked_row_id, source_path, sha256, byte_length, reviewed_by, limitation. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-05,SAMPLING_RECORD,"SAMPLING_RECORD must collect: sample_id, population_definition, sample_size, selection_method, selected_row_ids, exceptions_found, reviewer_result, residual_limitation. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-06,REVIEWER_INDEPENDENCE_DISCLOSURE,"REVIEWER_INDEPENDENCE_DISCLOSURE must collect: reviewer_id, reviewer_role, relationship_to_founder, financial_interest, prior_authoring_role, conflict_statement, independence_limitation. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-07,CONFLICT_DISCLOSURE,"CONFLICT_DISCLOSURE must collect: conflict_id, person_or_system, conflict_type, affected_decision, mitigation, unresolved_effect, disclosure_date. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-08,FINDING_SCHEDULE,"FINDING_SCHEDULE must collect: finding_id, source_review_id, severity, observed_fact, affected_document, required_remediation, closure_evidence, closure_status. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-09,RESIDUAL_RISK_SCHEDULE,"RESIDUAL_RISK_SCHEDULE must collect: risk_id, source_finding_id, risk_statement, impact, owner, proposed_treatment, founder_decision_required, accepted_by. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-10,FOUNDER_ATTESTATION_SCHEDULE,"FOUNDER_ATTESTATION_SCHEDULE must collect: attestation_id, question_presented, evidence_considered, option_selected, authority_granted, authority_not_granted, unresolved_items, signature_status. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-11,CLOSING_EXHIBITS_INDEX,"CLOSING_EXHIBITS_INDEX must collect: exhibit_id, exhibit_name, source_path, sha256, byte_length, related_t1c_id, inclusion_reason, exclusion_note. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
T1R2-REVIEW-REQ-12,FOUNDER_DOCUMENTARY_ACKNOWLEDGEMENT,"FOUNDER_DOCUMENTARY_ACKNOWLEDGEMENT must collect: acknowledgement_id, founder_name, package_version, acknowledgement_scope, non_authorized_effects, open_items, date, signature_status. Evidence must cite row IDs, source paths, SHA-256, byte lengths, reviewer scope, limitation, and affected T1C item."
