state_id,dimension,terminal,definition,rule_ids
DRAFTING,artifact_lifecycle,FALSE,Artifact lifecycle state DRAFTING.,"[""ES-GPS-CLASS-001""]"
REVIEW_PENDING,artifact_lifecycle,FALSE,Artifact lifecycle state REVIEW_PENDING.,"[""ES-GPS-CLASS-001""]"
REVIEWED,artifact_lifecycle,FALSE,Artifact lifecycle state REVIEWED.,"[""ES-GPS-CLASS-001""]"
APPROVED,artifact_lifecycle,FALSE,Artifact lifecycle state APPROVED.,"[""ES-GPS-CLASS-001""]"
ADOPTED,artifact_lifecycle,FALSE,Artifact lifecycle state ADOPTED.,"[""ES-GPS-CLASS-001""]"
LOCKED,artifact_lifecycle,FALSE,Artifact lifecycle state LOCKED.,"[""ES-GPS-CLASS-001""]"
ACCESSION_PENDING,artifact_lifecycle,FALSE,Artifact lifecycle state ACCESSION_PENDING.,"[""ES-GPS-CLASS-001""]"
REPOSITORY_ACCESSIONED,artifact_lifecycle,FALSE,Artifact lifecycle state REPOSITORY_ACCESSIONED.,"[""ES-GPS-CLASS-001""]"
CUSTODY_COMPLETE,artifact_lifecycle,FALSE,Artifact lifecycle state CUSTODY_COMPLETE.,"[""ES-GPS-CLASS-001""]"
ACTIVE,artifact_lifecycle,FALSE,Artifact lifecycle state ACTIVE.,"[""ES-GPS-CLASS-001""]"
SUSPENDED,artifact_lifecycle,FALSE,Artifact lifecycle state SUSPENDED.,"[""ES-GPS-CLASS-001""]"
REOPENED,artifact_lifecycle,FALSE,Artifact lifecycle state REOPENED.,"[""ES-GPS-CLASS-001""]"
RECLOSED,artifact_lifecycle,FALSE,Artifact lifecycle state RECLOSED.,"[""ES-GPS-CLASS-001""]"
SUPERSEDED,artifact_lifecycle,TRUE,Artifact lifecycle state SUPERSEDED.,"[""ES-GPS-CLASS-001""]"
RETIRED,artifact_lifecycle,TRUE,Artifact lifecycle state RETIRED.,"[""ES-GPS-CLASS-001""]"
REJECTED,artifact_lifecycle,TRUE,Artifact lifecycle state REJECTED.,"[""ES-GPS-CLASS-001""]"
