source_id,exact_title,artifact_class,version,repository_path,git_blob,source_commit,sha256,byte_length,lifecycle_state,authority_state,relevant_section,predecessor,successor,current_or_historical_status,unresolved_conflict
SRC-0001,Canon Historical Provenance Exception Ledger,CONSTITUTIONAL_GOVERNANCE_SOURCE,UNSPECIFIED_VERSION,docs/canon/CANON_HISTORICAL_PROVENANCE_EXCEPTION_LEDGER.md,41126311af79f4e01ec7e0858a6e5bc2823f698e,1eb384d80daa700ba2e71ee42872cc9bba926332,4e4c1cbc42539b4e721675f6f7c39f9ed1483389f2c38fa61e647836d7a686e0,6516,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0036,MASTER_PRODUCT_VISION,CONSTITUTIONAL_GOVERNANCE_SOURCE,UNSPECIFIED_VERSION,docs/canon/MASTER_PRODUCT_VISION.md,4d95b6c0cf08a9f035fc5e027d65d83ffbf1a3d5,1eb384d80daa700ba2e71ee42872cc9bba926332,ba2bdedfbbd89889af02035656d2f738175dcbde3869084c5e0c92062644c469,56480,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0037,MASTER_PRODUCT_VISION,CONSTITUTIONAL_GOVERNANCE_SOURCE,UNSPECIFIED_VERSION,docs/canon/MASTER_PRODUCT_VISION.pdf,f9bb598eba4aad7e244a610c3ae1dbe11bde0416,1eb384d80daa700ba2e71ee42872cc9bba926332,a640800847bb762c3ca0daf9a1d128698232878b7976292a1ec29ee637e54192,195731,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0042,Master Relationship Model Proposed Corrections,CONSTITUTIONAL_GOVERNANCE_SOURCE,UNSPECIFIED_VERSION,docs/canon/MASTER_RELATIONSHIP_MODEL_PROPOSED_CORRECTIONS.md,4d377624e9fbaa97bbcf3d86c1c29780c87e5a4d,1eb384d80daa700ba2e71ee42872cc9bba926332,46275055841cf4ed3cc81c8298951c02a3ecce21b74de0783ad3d57d3685d32a,9927,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0044,Master Relationship Model v2.0 Canon Index Proposal,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_CANON_INDEX_PROPOSAL.md,97e8366d3d3b7983e1aeda5f53db9f8d55f16a47,1eb384d80daa700ba2e71ee42872cc9bba926332,64c8c880cbb2be228b277781c35548e5dce63312c30663168a43fffee6f82425,1694,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0047,Master Relationship Model v2.0 Dependency Proposals,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_DEPENDENCY_PROPOSALS.md,980ea4b3c4489ea10093a5bccc6ec5e63b6e6a54,1eb384d80daa700ba2e71ee42872cc9bba926332,1361e9ade454ac2d8e1a2351db77440d84483287d2e9f3d980092b82ddd37a83,2243,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0054,Master Relationship Model v2.0 Preservation Matrix,CONSTITUTIONAL_GOVERNANCE_SOURCE,V2.0,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_PRESERVATION_MATRIX.md,47ef38fb269cf535eb441f99e10c35daa3f1a28f,1eb384d80daa700ba2e71ee42872cc9bba926332,8868fc1d58aa78176852f21a69b09a96c8e618c81663c94315419cb860997622,7450,PROTECTED_CURRENT,DOCUMENTARY_CONTEXT_ONLY,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0055,MASTER AUDIT EVENT AND EVIDENCE MODEL,ADOPTION_RECORD_OR_ADOPTED_SOURCE,V2.0,docs/canon/adopted_sources/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE.md,973670e46a524d6dff583e6c07f909717c55ef8e,1eb384d80daa700ba2e71ee42872cc9bba926332,321aefaeee9f04ad927c01d96e4b05549713c118f9868b7fccf7a8e9b53d8ea2,71607,ADOPTED,ADOPTION_EVIDENCE_PRESENT,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0064,"MASTER DATA PROTECTION, ENCRYPTION, AND KEY MANAGEMENT MODEL",ADOPTION_RECORD_OR_ADOPTED_SOURCE,V1.0,docs/canon/adopted_sources/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0_ADOPTED_SOURCE.md,b839d71a25340de75f68ba63ca24a1fb7a16603c,1eb384d80daa700ba2e71ee42872cc9bba926332,0fa543e25a2cffe75e9d07b68ccf0adefb8ae31e10c05afd5f1b84ee452a23ba,15185,ADOPTED,ADOPTION_EVIDENCE_PRESENT,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
SRC-0075,**FOUNDER-CONFIRMED RECONCILED CONSTITUTIONAL CANDIDATE**,ADOPTION_RECORD_OR_ADOPTED_SOURCE,V1.2,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,3d19d650ea51c93680cea5301df57e7b24c2c66f,1eb384d80daa700ba2e71ee42872cc9bba926332,83ed4cae3d88e8f9921f8bed971ac9e4c49007c5f847aa704ce4eecae814bdbd,89345,ADOPTED,ADOPTION_EVIDENCE_PRESENT,FULL_ARTIFACT_OR_REGISTER_ROW_LEVEL_REVIEW_REQUIRED,NOT_DETERMINED_BY_THIS_ROW,NOT_DETERMINED_BY_THIS_ROW,CURRENT_PROTECTED_REPOSITORY_BYTES,NONE_RECORDED_IN_THIS_ROW
