decision_id,guide_id,question,why_existing_authority_is_insufficient,affected_controls,affected_atlas_tasks,options,recommendation,required_authority,status,decision,decision_date,decision_record_path,founder_disposition,affected_guides,required_later_action,disposition_notes
CGP003-D-0001,ES-CG-07;ES-CG-09,Which accessibility/privacy/safeguarding external standards must be binding Code Guide requirements?,CGP-003 may identify existing references but cannot adopt or update external standards.,,,Keep references supporting only; adopt specific standards later; defer until guide drafting.,Defer until guide-specific drafting with Founder/legal/product authority.,Founder or designated legal/product authority,CLOSED_WITH_DEFERRED_GUIDE_SPECIFIC_ADOPTION,"Existing references to external standards, frameworks, platforms, and providers remain SUPPORTING unless and until a specific standard and version are separately adopted through authorized guide-drafting, legal, product, privacy, security, safeguarding, or Founder disposition. Repository reference alone does not make an external standard binding.",2026-07-26,governance/implementation/code-guides/receipts/CGP_003_FOUNDER_DECISION_RECONCILIATION.md,CLOSED_WITH_DEFERRED_GUIDE_SPECIFIC_ADOPTION,ES-CG-07;ES-CG-09,"Guide-specific drafting may propose standard adoption, but may not silently elevate a referenced standard into controlling authority.",Founder disposition recorded during CGP-003 pre-merge reconciliation; original decision request retained for history.
CGP003-D-0002,ES-CG-03;ES-CG-08;ES-CG-13,Which exact PIA package bytes control each guide source freeze?,"Repository contains PIA packages, manifests, and receipts, but CGP-003 did not rerun every nested package parity check.",,,Use current repository directories; freeze ZIP/package bytes; request item-by-item parity rerun.,Use item-by-item exact-byte source freeze before guide adoption.,Founder/Codex CGP-005 source-freeze authority,CLOSED_WITH_MANDATORY_GUIDE_SPECIFIC_SOURCE_FREEZE,Every Code Guide must complete an exact-byte source freeze before advancing from CHARTERED to DRAFTING. The CGP-003 master inventory supports planning and CGP-004 assessment but does not replace guide-specific source freeze.,2026-07-26,governance/implementation/code-guides/receipts/CGP_003_FOUNDER_DECISION_RECONCILIATION.md,CLOSED_WITH_MANDATORY_GUIDE_SPECIFIC_SOURCE_FREEZE,ES-CG-03;ES-CG-08;ES-CG-13,"Each guide source freeze must identify controlling source IDs, paths, versions, approvals, checksums, verification, custody, conflicts, retained historical sources, and superseded/non-controlling sources before DRAFTING.",Founder disposition recorded during CGP-003 pre-merge reconciliation; original decision request retained for history.
CGP003-D-0003,ES-CG-02;ES-CG-10;ES-CG-12,How should current application behavior be treated when it conflicts with adopted documentary authority?,CGP-003 classifies code as evidence only and cannot choose policy from behavior.,,,Treat code as defect; treat source as stale; request Founder decision; defer implementation mapping.,Reserve to CGP-004 current-state assessment and later guide reviews.,Founder or later implementation-assessment prompt,CLOSED_DOCUMENTARY_AUTHORITY_CONTROLS,"When code, tests, migrations, CI, or runtime behavior conflicts with adopted documentary authority, documentary authority controls and code remains implementation evidence. Conflicts must be recorded as divergence, defect, stale-document candidate, or decision request.",2026-07-26,governance/implementation/code-guides/receipts/CGP_003_FOUNDER_DECISION_RECONCILIATION.md,CLOSED_DOCUMENTARY_AUTHORITY_CONTROLS,ES-CG-02;ES-CG-10;ES-CG-12,CGP-004 and later implementation-authorized work must classify conflicts without copying code behavior into guides merely because it exists.,Founder disposition recorded during CGP-003 pre-merge reconciliation; original decision request retained for history.
CGP003-D-0004,ES-CG-01;ES-CG-13,"What is the exact precedence rule among global governance lock, artifact-specific lock records, PIA receipts, and implementation atlas material?","Current sources state boundaries, but Code Guides need an explicit precedence control later without drafting it in CGP-003.",,,Global governance first; artifact-specific lifecycle first; PIA first by domain; mixed hierarchy.,Draft explicit precedence in ES-CG-01 only under later guide-drafting authority.,Founder/Codex guide drafting authority,CLOSED_WITH_INTERIM_PRECEDENCE_RULE,Interim precedence: latest explicit Founder disposition; adopted global/artifact governance; Founder-approved PIAs; approved architecture/implementation standards; approved implementation atlases; repository evidence; proposed/candidate/blocked/historical/superseded context. Specific sources control only within scope and cannot silently weaken global prohibitions or activation boundaries.,2026-07-26,governance/implementation/code-guides/receipts/CGP_003_FOUNDER_DECISION_RECONCILIATION.md,CLOSED_WITH_INTERIM_PRECEDENCE_RULE,ES-CG-01;ES-CG-13,ES-CG-01 must later express this interim Founder-approved program rule as stable controls under authorized guide drafting.,Founder disposition recorded during CGP-003 pre-merge reconciliation; original decision request retained for history.
CGP003-D-0005,ES-CG-12,"When, if ever, may Code Guides become merge/release/production controls?",CGP-003 and prior prompts preserve all guides as planned/not adopted/not active.,,,Never; advisory only; merge gate after adoption; release gate after assurance.,Defer to later adoption/activation prompt; keep all activation false now.,Founder activation authority,CLOSED_SEPARATE_ACTIVATION_DISPOSITION_REQUIRED,"Code Guide adoption alone does not activate implementation, PR, merge, release, deployment, pilot, or production gates. Any active engineering gate requires a separate activation disposition after guide approval, accession, validation, reviews, mappings, ownership, enforcement behavior, rollback/disablement treatment, and authority confirmation.",2026-07-26,governance/implementation/code-guides/receipts/CGP_003_FOUNDER_DECISION_RECONCILIATION.md,CLOSED_SEPARATE_ACTIVATION_DISPOSITION_REQUIRED,ES-CG-12,Keep every Code Guide documentary and advisory until a separate activation disposition authorizes a specific control or guide gate.,Founder disposition recorded during CGP-003 pre-merge reconciliation; original decision request retained for history.
CGP004-D-0001,ES-CG-06;ES-CG-08;ES-CG-09;ES-CG-13,"What exact offline stale-authorization, revocation, conflict, device-loss, and local-draft behavior is authorized?",Current code and architecture evidence show partial offline readiness but do not establish final policy or control behavior.,,,Block offline writes when auth is stale; allow limited queued writes with server revalidation; restrict to drafts only; disable offline mutation until controls exist.,Defer to guide-specific source freeze and Founder-authorized offline guide disposition.,Founder or later authorized Code Guide drafting authority,CLOSED_WITH_DEFERRED_GUIDE_SPECIFIC_OFFLINE_AUTHORIZATION,"Current offline/local-draft/token/mobile-readiness evidence remains implementation evidence only; exact stale authorization, revocation, queued-write, conflict, device-loss, and local-draft behavior is deferred to guide-specific source freeze and later authorized guide drafting.",2026-07-26,governance/implementation/code-guides/receipts/CGP_004_FOUNDER_DECISION_RECONCILIATION.md,CLOSED_WITH_DEFERRED_GUIDE_SPECIFIC_OFFLINE_AUTHORIZATION,ES-CG-06;ES-CG-08;ES-CG-09;ES-CG-13,"Resolve exact offline authorization and local-state behavior before affected guide adoption or activation, and before DRAFTING where central to guide scope.",Founder disposition recorded during CGP-004 pre-merge reconciliation; original decision request retained for history; downstream work remains retained; CGP-005 not begun.
CGP004-D-0002,ES-CG-02;ES-CG-08;ES-CG-10;ES-CG-12;ES-CG-13,"How should current broad feature shells be treated before guide drafting: supported surfaces, readiness-only surfaces, hidden surfaces, migration candidates, or retirement candidates?","The repository exposes broad backend/frontend surfaces, but current implementation evidence cannot silently create product policy or guide adoption authority.",,,Govern as supported; retain readiness-only; hide; migrate; retire; decide per component.,Defer per guide/component with repository-to-control mapping before adoption or activation.,"Founder, product, and later authorized Code Guide drafting authority",CLOSED_WITH_DEFERRED_COMPONENT_SPECIFIC_FEATURE_DISPOSITION,"Current broad backend/frontend feature surfaces remain implementation evidence and planning material; later guide-specific work must classify each affected surface as supported, readiness-only, hidden, migrated, retired, or otherwise governed.",2026-07-26,governance/implementation/code-guides/receipts/CGP_004_FOUNDER_DECISION_RECONCILIATION.md,CLOSED_WITH_DEFERRED_COMPONENT_SPECIFIC_FEATURE_DISPOSITION,ES-CG-02;ES-CG-08;ES-CG-10;ES-CG-12;ES-CG-13,Complete component-specific repository-to-guide and repository-to-control mapping before treating feature surfaces as adopted guide content or active gates.,Founder disposition recorded during CGP-004 pre-merge reconciliation; original decision request retained for history; downstream work remains retained; CGP-005 not begun.
CGP004-D-0003,ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,"What operational ownership, alerting, backup/restore, provider outage, rollback, support/admin review, and gate-evidence model is required before activation?","Startup loops, provider adapters, CI, and background jobs exist, but operational ownership and enforcement behavior are not controlled by an adopted guide.",,,Documentary only; staged operational owner model; activation-specific gate model; provider-by-provider treatment.,"Keep documentary-only until later activation disposition defines ownership, enforcement, rollback, and evidence.",Founder and later activation authority,CLOSED_SEPARATE_OPERATIONS_AND_ACTIVATION_DISPOSITION_REQUIRED,"Current operations, provider, support/admin, CI, background job, and reliability behavior remains implementation evidence only; any operational or engineering gate requires a separate activation disposition.",2026-07-26,governance/implementation/code-guides/receipts/CGP_004_FOUNDER_DECISION_RECONCILIATION.md,CLOSED_SEPARATE_OPERATIONS_AND_ACTIVATION_DISPOSITION_REQUIRED,ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,"Define operational ownership, alerting, backup/restore, provider outage, rollback, support/admin access review, and gate-evidence treatment before guide adoption or activation.",Founder disposition recorded during CGP-004 pre-merge reconciliation; original decision request retained for history; downstream work remains retained; CGP-005 not begun.
CGP006-D-0001,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,May CGP-006 proceed from initiation package to bounded Wave 1 candidate guide drafting?,"CGP-005 completed source-freeze readiness, but did not authorize candidate drafting, adoption, activation, implementation, or gates.",,,Authorize bounded candidate drafting; require another scope prompt; keep initiation only.,Authorize bounded Wave 1 candidate drafting only after classification gate passes; preserve NOT_ADOPTED and NOT_ACTIVE.,Founder CGP-006 approval directive,FOUNDER_APPROVED,Bounded Wave 1 candidate drafting is approved only after mandatory document sorting and classification; no guide is adopted or active and no implementation or gate authority is created.,2026-07-26,governance/implementation/code-guides/initiation/CGP-006/CGP_006_FOUNDER_DECISION_REGISTER.md,APPROVED_FOR_BOUNDED_WAVE_1_CANDIDATE_DRAFTING_ONLY; NOT_ADOPTED; NOT_ACTIVE; NO_IMPLEMENTATION_OR_GATE_AUTHORITY,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,"Complete document classification validation before candidate guide drafting; retain all adoption, activation, implementation, production, and gate prohibitions.",Recorded from Founder approval directive; documentary scope only; adoption effect NONE; activation effect NONE; implementation effect NONE; production effect NONE.
CGP006-D-0002,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,Should Wave 1 candidate drafting proceed sequentially or in parallel?,"The dependency order existed, but CGP-006 needed Founder approval for single-package drafting treatment.",,,Single package with dependency checkpoints; four separate prompts; ES-CG-00 only.,Single package with internal dependency order.,Founder CGP-006 approval directive,FOUNDER_APPROVED,"Wave 1 candidate drafting may be prepared as a single package with dependency order ES-CG-00, ES-CG-01, ES-CG-13, ES-CG-10.",2026-07-26,governance/implementation/code-guides/initiation/CGP-006/CGP_006_FOUNDER_DECISION_REGISTER.md,APPROVED_SINGLE_PACKAGE_WITH_INTERNAL_DEPENDENCY_ORDER_ES_CG_00_ES_CG_01_ES_CG_13_ES_CG_10,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,Verify dependency checkpoints before each guide and stop if a dependency or classification checkpoint fails.,"Drafting order only; no adoption, activation, implementation, production, or gate effect."
