control_id,control_type,trigger,precedence,affected_scope,required_action,propagation,evidence,requirement_ids,status
RAP-RRV-001,EXPLICIT_DENY,"Current controlling policy denies",HIGHEST,"Request projection","DENY","Immediate trusted evaluation","Policy/version; request; reason","RAP-REQ-010;RAP-REQ-011",DOCUMENTED
RAP-RRV-002,PROTECTIVE_RESTRICTION,"Safeguarding or protective source narrows access",HIGHEST,"Subject/action/fields/purpose/time","DENY_OR_NARROW","Advance watermark and invalidate affected projections","Source; actor; scope; versions; notice","RAP-REQ-005;RAP-REQ-011",PREDECESSOR_QUALIFIED
RAP-RRV-003,RELATIONSHIP_DISPUTE,"Relationship source enters disputed state",HIGH,"Dependent grants and actions","DENY_OR_STEP_UP","Invalidate or suspend affected projections","Claim; relationship; restriction; decision","RAP-REQ-002;RAP-REQ-016",DOCUMENTED
RAP-RRV-004,REPRESENTATION_REVOKED,"Representation source ends or is revoked",HIGH,"Actions for represented principal","DENY","Advance watermark; revoke dependent delegations","Source; revoker; affected chain; time","RAP-REQ-004;RAP-REQ-013",DOCUMENTED
RAP-RRV-005,DELEGATION_REVOKED,"Authorized revocation received",HIGH,"Grant scope and descendants","DENY","Advance watermark; invalidate cache/offline proposals","Grant; revoker; reason; descendants","RAP-REQ-006;RAP-REQ-013",DOCUMENTED
RAP-RRV-006,DELEGATION_EXPIRED,"Trusted expiry reached",HIGH,"Grant scope","DENY","Expire projections and pending proposals","Grant; expiry; trusted time","RAP-REQ-006;RAP-REQ-013",DOCUMENTED
RAP-RRV-007,SOURCE_INVALIDATED,"Canonical source version invalidated or superseded",HIGH,"All dependent decisions/projections","REAUTHORIZE_OR_DENY","Advance watermark; queue reconciliation","Source versions; invalidation; affected refs","RAP-REQ-009;RAP-REQ-013",DOCUMENTED
RAP-RRV-008,TENANT_CONTEXT_CHANGED,"Tenant/facility/organization context changes",HIGH,"Tenant-scoped actions","REAUTHORIZE_OR_DENY","Invalidate incompatible projections","Prior/new context; actor; decision","RAP-REQ-020",DOCUMENTED
RAP-RRV-009,GUARDIAN_BASIS_CHANGED,"Guardian/minor basis or safeguarding state changes",HIGHEST,"Protected-participant actions","DENY_OR_NARROW","Immediate invalidation and safe notice","Basis; restriction; participant; actor","RAP-REQ-005;RAP-REQ-013",PREDECESSOR_QUALIFIED
RAP-RRV-010,PROVIDER_RELATIONSHIP_ENDED,"Provider relationship representation or delegation ends",HIGH,"Provider actions and portal projections","DENY","Invalidate Item 07/10 projections; preserve Item 09 history","Provider chain; source; scope; watermark","RAP-REQ-017;RAP-REQ-019",DOCUMENTED_GFD_003
RAP-RRV-011,OFFLINE_STALE_WATERMARK,"Proposal watermark differs from current",HIGH,"Queued proposal","DENY_OR_CONFLICT","Reconcile under current state","Proposal/current watermark; result","RAP-REQ-015",DOCUMENTED
RAP-RRV-012,CORRECTION_SUPERSESSION,"Source is corrected without deletion",SOURCE_ORDER,"Dependent records and future decisions","REAUTHORIZE_FUTURE_ACTIONS","Link prior and successor; retain prior decisions","Original/successor; actor; reason; digests","RAP-REQ-014",DOCUMENTED
RAP-RRV-013,FINANCIAL_STATE,"Payment obligation or payout state changes",NONE_AS_AUTHORITY,"Financial workflow only","NO_AUTHORITY_CREATION","Owning policy may separately restrict only if approved","Financial version; policy; separate decision","RAP-REQ-018;RAP-REQ-025",DOCUMENTED_GFD_003
RAP-RRV-014,PORTAL_OR_API_STATE,"Portal visibility or API credential changes",NONE_AS_AUTHORITY,"Surface/connection only","NO_AUTHORITY_CREATION","Re-evaluate any separately sourced projection","Surface/credential state; authority decision","RAP-REQ-018;RAP-REQ-026",DOCUMENTED_GFD_003
