validator_id,validator_path,version,state,owner,inputs,limitations
CGP-V11-VAL-0001,governance/implementation/code-guides/validation/validate_code_guide_v1_1_program_revision.py,1.0.0,SHADOW_VALIDATION,Codex,Controlled values; schemas; registers; profiles; templates; primary package; successor package,Not a mandatory CI gate; does not authorize activation.
CGP-V11-VAL-0002,governance/implementation/code-guides/drafting/CGP-006/CODE_GUIDE_PROGRAM_V1_1_REVISION_AND_PR_44_SUCCESSOR_PREPARATION/validators/validate_revision_package.py,1.0.0,SHADOW_VALIDATION,Codex,Primary revision package,Package-local validation only.
CGP-V11-VAL-0003,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ACTIVATION_AND_EVIDENCE_PLANNING_V1_1_SUCCESSOR/validators/validate_wave1_successor_package.py,1.0.0,SHADOW_VALIDATION,Codex,Wave 1 successor package,Package-local validation only.
LEGACY-validate_code_guide_structure.py,governance/implementation/code-guides/validation/validate_code_guide_structure.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_control_registry.py,governance/implementation/code-guides/validation/validate_control_registry.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_invariant_registry.py,governance/implementation/code-guides/validation/validate_invariant_registry.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_guide_questions.py,governance/implementation/code-guides/validation/validate_guide_questions.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_guide_dependencies.py,governance/implementation/code-guides/validation/validate_guide_dependencies.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_atlas_traceability.py,governance/implementation/code-guides/validation/validate_atlas_traceability.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_repository_mapping.py,governance/implementation/code-guides/validation/validate_repository_mapping.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_control_verification.py,governance/implementation/code-guides/validation/validate_control_verification.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_implementation_profiles.py,governance/implementation/code-guides/validation/validate_implementation_profiles.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_evidence_records.py,governance/implementation/code-guides/validation/validate_evidence_records.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_exceptions.py,governance/implementation/code-guides/validation/validate_exceptions.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_supersession.py,governance/implementation/code-guides/validation/validate_supersession.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_package_integrity.py,governance/implementation/code-guides/validation/validate_package_integrity.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
LEGACY-validate_portfolio_consistency.py,governance/implementation/code-guides/validation/validate_portfolio_consistency.py,PRE_V1_1,RELIABILITY_REVIEW_REQUIRED,Codex,Legacy program machinery,Requires V1.1 reliability review before future gate consideration.
CGP-V11-VAL-0004,governance/implementation/code-guides/validation/validate_activation_records.py,1.0.0,SHADOW_VALIDATION,Codex,GUIDE_ACTIVATION_REGISTER.csv,Not a mandatory CI gate; verifies no guide activation is granted.
