field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
decision_id,decision id,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,decision_id_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
question_presented,question presented,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,question_presented_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
exact_decision_text,exact decision text,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,exact_decision_text_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
options_considered,options considered,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,options_considered_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
selected_disposition,selected disposition,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,selected_disposition_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
modifications,modifications,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,modifications_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
scope,scope,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,scope_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
exclusions,exclusions,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,exclusions_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
conditions_precedent,conditions precedent,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,conditions_precedent_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
retained_findings,retained findings,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv,required column present; enum and relationship checks where implemented,retained_findings_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
