field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
total_source_rows,total source rows,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_total_source_rows,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
unique_source_identities,unique source identities,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_unique_source_identities,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
authoritative_current_sources,authoritative current sources,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_authoritative_current_sources,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
historical_sources,historical sources,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_historical_sources,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
exact_duplicates,exact duplicates,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_exact_duplicates,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
semantic_duplicates,semantic duplicates,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_semantic_duplicates,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
format_counterparts,format counterparts,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_format_counterparts,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
unresolved_identity_collisions,unresolved identity collisions,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_unresolved_identity_collisions,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
missing_sources,missing sources,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_missing_sources,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
broken_references,broken references,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,08_SOURCE_RECONCILIATION/SOURCE_DISPOSITION_DASHBOARD.csv,required column present; non-empty unless explicitly allowed,example_broken_references,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
