permitted_starting_state,permitted_next_state,permitted,required_authority,required_evidence,prohibited_transitions,reversal_rules,suspension_rules,supersession_rules,reactivation_rules,archival_rules
CANDIDATE,CANDIDATE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_CANDIDATE,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
CANDIDATE,FOUNDER_REVIEW_READY,YES,Founder or expressly delegated lifecycle authority,"Exact approval, lock, accession, activation, suspension, supersession, or archival evidence as applicable",,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
CANDIDATE,ADOPTED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_ADOPTED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
CANDIDATE,LOCKED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_LOCKED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
CANDIDATE,ACCESSIONED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_ACCESSIONED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
CANDIDATE,ACTIVE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_ACTIVE,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
CANDIDATE,SUSPENDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_SUSPENDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
CANDIDATE,SUPERSEDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_SUPERSEDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
CANDIDATE,HISTORICAL_RETAINED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,CANDIDATE_TO_HISTORICAL_RETAINED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
FOUNDER_REVIEW_READY,CANDIDATE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,FOUNDER_REVIEW_READY_TO_CANDIDATE,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
FOUNDER_REVIEW_READY,FOUNDER_REVIEW_READY,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,FOUNDER_REVIEW_READY_TO_FOUNDER_REVIEW_READY,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
FOUNDER_REVIEW_READY,ADOPTED,YES,Founder or expressly delegated lifecycle authority,"Exact approval, lock, accession, activation, suspension, supersession, or archival evidence as applicable",,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
FOUNDER_REVIEW_READY,LOCKED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,FOUNDER_REVIEW_READY_TO_LOCKED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
FOUNDER_REVIEW_READY,ACCESSIONED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,FOUNDER_REVIEW_READY_TO_ACCESSIONED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
FOUNDER_REVIEW_READY,ACTIVE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,FOUNDER_REVIEW_READY_TO_ACTIVE,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
FOUNDER_REVIEW_READY,SUSPENDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,FOUNDER_REVIEW_READY_TO_SUSPENDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
FOUNDER_REVIEW_READY,SUPERSEDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,FOUNDER_REVIEW_READY_TO_SUPERSEDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
FOUNDER_REVIEW_READY,HISTORICAL_RETAINED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,FOUNDER_REVIEW_READY_TO_HISTORICAL_RETAINED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ADOPTED,CANDIDATE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ADOPTED_TO_CANDIDATE,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ADOPTED,FOUNDER_REVIEW_READY,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ADOPTED_TO_FOUNDER_REVIEW_READY,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ADOPTED,ADOPTED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ADOPTED_TO_ADOPTED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ADOPTED,LOCKED,YES,Founder or expressly delegated lifecycle authority,"Exact approval, lock, accession, activation, suspension, supersession, or archival evidence as applicable",,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ADOPTED,ACCESSIONED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ADOPTED_TO_ACCESSIONED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ADOPTED,ACTIVE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ADOPTED_TO_ACTIVE,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ADOPTED,SUSPENDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ADOPTED_TO_SUSPENDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ADOPTED,SUPERSEDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ADOPTED_TO_SUPERSEDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ADOPTED,HISTORICAL_RETAINED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ADOPTED_TO_HISTORICAL_RETAINED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
LOCKED,CANDIDATE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,LOCKED_TO_CANDIDATE,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
LOCKED,FOUNDER_REVIEW_READY,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,LOCKED_TO_FOUNDER_REVIEW_READY,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
LOCKED,ADOPTED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,LOCKED_TO_ADOPTED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
LOCKED,LOCKED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,LOCKED_TO_LOCKED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
LOCKED,ACCESSIONED,YES,Founder or expressly delegated lifecycle authority,"Exact approval, lock, accession, activation, suspension, supersession, or archival evidence as applicable",,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
LOCKED,ACTIVE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,LOCKED_TO_ACTIVE,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
LOCKED,SUSPENDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,LOCKED_TO_SUSPENDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
LOCKED,SUPERSEDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,LOCKED_TO_SUPERSEDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
LOCKED,HISTORICAL_RETAINED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,LOCKED_TO_HISTORICAL_RETAINED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ACCESSIONED,CANDIDATE,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ACCESSIONED_TO_CANDIDATE,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ACCESSIONED,FOUNDER_REVIEW_READY,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ACCESSIONED_TO_FOUNDER_REVIEW_READY,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ACCESSIONED,ADOPTED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ACCESSIONED_TO_ADOPTED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ACCESSIONED,LOCKED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ACCESSIONED_TO_LOCKED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ACCESSIONED,ACCESSIONED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ACCESSIONED_TO_ACCESSIONED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ACCESSIONED,ACTIVE,YES,Founder or expressly delegated lifecycle authority,"Exact approval, lock, accession, activation, suspension, supersession, or archival evidence as applicable",,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ACCESSIONED,SUSPENDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ACCESSIONED_TO_SUSPENDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
ACCESSIONED,SUPERSEDED,NO,NOT_APPLICABLE,PROHIBITED_TRANSITION,ACCESSIONED_TO_SUPERSEDED,Reversal requires explicit rescission or supersession evidence,Suspension restricts active effect until reactivation evidence exists,Supersession requires successor or documented basis,Reactivation requires authority and evidence,Historical retention must preserve prior truth without present-tense control claims
