outcome_id,guide_id,outcome_statement,prohibited_outcome,invariant_id,invariant_statement,invariant_type,related_controls,evidence_expectation,evidence_grade,verification_method,cross_guide_reference,current_status
ES-CG-00-OUT-0001,ES-CG-00,"Code Guide Charter preserves Candidate Charter Authority Boundary as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0001,"Charter Authority Boundary remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-00-CTRL-0001,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-00-INV-0001,ES-CG-01;ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-00-OUT-0002,ES-CG-00,"Code Guide Charter preserves Candidate Program Scope Boundary as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0002,"Program Scope Boundary remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-00-CTRL-0002,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-00-INV-0002,ES-CG-01;ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-00-OUT-0003,ES-CG-00,"Code Guide Charter preserves Candidate Lifecycle Separation as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0003,"Lifecycle Separation remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-00-CTRL-0003,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-00-INV-0003,ES-CG-01;ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-00-OUT-0004,ES-CG-00,"Code Guide Charter preserves Candidate Ownership And Custody as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0004,"Ownership And Custody remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-00-CTRL-0004,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-00-INV-0004,ES-CG-01;ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-00-OUT-0005,ES-CG-00,"Code Guide Charter preserves Candidate Non-Authorization Boundary as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-00-INV-0005,"Non-Authorization Boundary remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-00-CTRL-0005,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-00-INV-0005,ES-CG-01;ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-01-OUT-0001,ES-CG-01,"Engineering Authority and Precedence preserves Candidate Authority Precedence as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0001,"Authority Precedence remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-01-CTRL-0001,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-01-INV-0001,ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-01-OUT-0002,ES-CG-01,"Engineering Authority and Precedence preserves Candidate Founder Disposition as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0002,"Founder Disposition remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-01-CTRL-0002,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-01-INV-0002,ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-01-OUT-0003,ES-CG-01,"Engineering Authority and Precedence preserves Candidate Conflict Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0003,"Conflict Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-01-CTRL-0003,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-01-INV-0003,ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-01-OUT-0004,ES-CG-01,"Engineering Authority and Precedence preserves Candidate Supersession Treatment as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0004,"Supersession Treatment remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-01-CTRL-0004,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-01-INV-0004,ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
ES-CG-01-OUT-0005,ES-CG-01,"Engineering Authority and Precedence preserves Candidate Exception Boundary as documentary, source-traceable guidance for future review.","Treating this draft control as adopted, active, implemented, runtime-verified, or repository-specific implementation mapping authority.",ES-CG-01-INV-0005,"Exception Boundary remains candidate-only, traceable to frozen normative rows, and separated from adoption, activation, merge, implementation, production, and source-promotion authority.",DOCUMENTARY_AUTHORITY_AND_EVIDENCE_INVARIANT,ES-CG-01-CTRL-0005,E2 documented source and review evidence now; implementation and runtime evidence require separate authority.,E2 DOCUMENTED,W1-V11-VER-ES-CG-01-INV-0005,ES-CG-13;ES-CG-10,CURRENT_AND_REUSABLE_WITH_V1_1_RECLASSIFICATION
