field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
review_id,review id,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,review_id_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
review_type,review type,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,review_type_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
responsible_owner,responsible owner,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,responsible_owner_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
review_frequency,review frequency,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,review_frequency_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
next_review_date,next review date,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,next_review_date_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
triggering_events,triggering events,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,triggering_events_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
required_evidence,required evidence,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,required_evidence_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
completion_criteria,completion criteria,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,completion_criteria_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
escalation_deadline,escalation deadline,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,escalation_deadline_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
overdue_state,overdue state,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,overdue_state_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
completion_record,completion record,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/REVIEW_CALENDAR.csv,required column present; enum and relationship checks where implemented,completion_record_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
