source_id,repository_path,document_or_record_id,authority_class,source_status,conflict_or_supersession_treatment,continuing_statements
SFCA-SRC-0001,governance/implementation/code-guides/program-plan/ES-CODE-GUIDE-CREATION-REVIEW-ASSURANCE-PLAN-V1.1/ES-CODE-GUIDE-CREATION-REVIEW-ASSURANCE-PLAN-V1.1.md,ES-CODE-GUIDE-CREATION-REVIEW-ASSURANCE-PLAN-V1.1,CONTROLLING,controlling,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
SFCA-SRC-0002,governance/implementation/code-guides/founder-determinations/ES-FD-SOLO-FOUNDER-COMPENSATING-ASSURANCE-2026-07-29/FOUNDER_DETERMINATION_SOLO_FOUNDER_COMPENSATING_ASSURANCE_MODEL_2026-07-29.md,ES-FD-SOLO-FOUNDER-COMPENSATING-ASSURANCE-2026-07-29,CONTROLLING,controlling,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
SFCA-SRC-0003,governance/implementation/code-guides/founder-determinations/ES-FD-SOLO-FOUNDER-COMPENSATING-ASSURANCE-2026-07-29/FOUNDER_APPROVAL_RECORD.md,FOUNDER_APPROVAL_RECORD,SUPPORTING,supporting,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
SFCA-SRC-0004,governance/implementation/code-guides/receipts/ES_FD_SOLO_FOUNDER_COMPENSATING_ASSURANCE_2026_07_29_CUSTODY_RECEIPT.md,ES_FD_SOLO_FOUNDER_COMPENSATING_ASSURANCE_2026_07_29_CUSTODY_RECEIPT,CONTROLLING,controlling,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
SFCA-SRC-0005,governance/implementation/code-guides/PROGRAM_STATUS.md,PROGRAM_STATUS,CURRENT_STATUS,supporting,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
SFCA-SRC-0006,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/ADOPTION_CANDIDATE_BYTE_FREEZE.json,CGP006-W1-V11-ADOPTION-CANDIDATE-BYTE-FREEZE-0001,CONTROLLING,controlling,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
SFCA-SRC-0007,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/STAGE_22_ADOPTION_RECORD.csv,CGP006-W1-V11-STAGE22-ADOPT-0001,CONTROLLING,controlling,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
SFCA-SRC-0008,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/OPEN_FINDING_REGISTER.csv,W1-V11-FINDINGS,CONTROLLING,controlling,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
SFCA-SRC-0009,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/RETAINED_CONDITION_WARNING_GAP_REGISTER.csv,RETAINED-CONDITION-WARNING-GAP-REGISTER,CONTROLLING,controlling,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
SFCA-SRC-0010,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/TECHNICAL_PEER_REVIEW_REPORT.md,TECHNICAL_PEER_REVIEW_REPORT,SUPPORTING,supporting,CURRENT_CONTROLLING_OR_SUPPORTING_AS_CLASSIFIED; historical records preserved and not rewritten.,PROGRAM_PLAN_V1_1_CONTROLLING;SOLO_FOUNDER_COMPENSATING_ASSURANCE_DETERMINATION_CONTROLLING;FOUNDER_SOLO_COMPENSATING_ASSURANCE_MODEL_APPLIES;EQUINESYNC_IS_A_SOLO_FOUNDER_PROJECT;FOUNDER_DOMAIN_OWNER_REVIEW_IS_NOT_INDEPENDENT;FOUNDER_TECHNICAL_GOVERNANCE_REVIEW_IS_NOT_INDEPENDENT;MACHINE_ASSISTED_REVIEW_IS_NOT_INDEPENDENT_HUMAN_REVIEW;NO_INDEPENDENT_HUMAN_TECHNICAL_REVIEW_PERFORMED;NO_THIRD_PARTY_TECHNICAL_CERTIFICATION_CLAIMED;NO_THIRD_PARTY_DOMAIN_CERTIFICATION_CLAIMED;OBJECTIVE_TEST_AND_EVIDENCE_GATES_REQUIRED;FOUNDER_RESIDUAL_RISK_ACCEPTANCE_REQUIRED;GAP_0004_REMAINS_OPEN;NO_SILENT_FINDING_CLOSURE;NO_SILENT_WARNING_CLOSURE;NO_SILENT_CONDITION_CLOSURE;STAGE_24_GUIDE_ACTIVATION_NOT_AUTHORIZED;ES_CG_00_REMAINS_NOT_ACTIVE;ES_CG_01_REMAINS_NOT_ACTIVE;ES_CG_10_REMAINS_NOT_ACTIVE;ES_CG_13_REMAINS_NOT_ACTIVE;NO_ACTIVATION_EFFECTIVE_DATE_ESTABLISHED;REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED;IMPLEMENTATION_NOT_AUTHORIZED;DEPLOYMENT_NOT_AUTHORIZED;PILOT_NOT_AUTHORIZED;PRODUCTION_NOT_AUTHORIZED;WAVE_2_NOT_AUTHORIZED;CGP_007_NOT_AUTHORIZED;DRAFT_PR_OPEN_UNMERGED_PENDING_FOUNDER_STAGE_24_DISPOSITION
