profile_id,profile_file,profile_name,status,authority_boundary,repository_specific_mapping_allowed
CGP-V11-PROFILE-01,CORE_BACKEND_PROFILE.yaml,Core backend,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-02,WEB_FEATURE_PROFILE.yaml,Web feature,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-03,IOS_FEATURE_PROFILE.yaml,iOS feature,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-04,ANDROID_FEATURE_PROFILE.yaml,Android feature,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-05,OFFLINE_WORKFLOW_PROFILE.yaml,Offline workflow,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-06,FACILITY_SCOPED_WORKFLOW_PROFILE.yaml,Facility scoped workflow,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-07,MINOR_PROTECTED_WORKFLOW_PROFILE.yaml,Minor protected workflow,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-08,FINANCIAL_WORKFLOW_PROFILE.yaml,Financial workflow,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-09,EQUINE_HEALTH_WORKFLOW_PROFILE.yaml,Equine health workflow,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-10,AI_ASSISTED_WORKFLOW_PROFILE.yaml,AI assisted workflow,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-11,EXTERNAL_INTEGRATION_PROFILE.yaml,External integration,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-12,BACKGROUND_JOB_PROFILE.yaml,Background job,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-13,REPORTING_AND_EXPORT_PROFILE.yaml,Reporting and export,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-14,ADMINISTRATIVE_FEATURE_PROFILE.yaml,Administrative feature,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-15,DATA_MIGRATION_PROFILE.yaml,Data migration,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-16,PRIVILEGED_ACCESS_PROFILE.yaml,Privileged access,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-17,NOTIFICATION_AND_CALENDAR_PROFILE.yaml,Notification and calendar,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-18,EVIDENCE_AND_AUDIT_PROFILE.yaml,Evidence and audit,GENERIC_DOCUMENTARY_PROFILE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
CGP-V11-PROFILE-19,ES-CODE-GUIDE-SOLO-FOUNDER-COMPENSATING-ASSURANCE-PROFILE-V1.0.0.md,Solo-Founder Compensating Assurance,SOLO_FOUNDER_COMPENSATING_ASSURANCE_PROFILE_V1_0_0_ADOPTED_AND_ACTIVE,REPOSITORY_SPECIFIC_IMPLEMENTATION_MAPPING_NOT_AUTHORIZED,NO
