requirement_id,requirement,source_ids,decision_ids,section_refs,priority,status,unresolved_id
HOR-REQ-001,One real-world horse should converge to one durable canonical identity within the Founder-approved identity-scope model.,"HOR-SRC-002, HOR-SRC-003, HOR-SRC-009",HOR-FD-016,29;40;41,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-002,"The horse subject must remain representable without an account, facility, organization, invoice, provider, or public profile.",HOR-SRC-001,HOR-FD-003,29;40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-003,"Canonical Horse ID must remain stable through changes in name, relationship, facility, trainer, rider, provider, account, location, work, retirement, death, and archive.",HOR-SRC-001,NONE,40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-004,A canonical Horse ID must not be presented as legal title or registry title.,HOR-SRC-001,NONE,40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-005,"Planned, expected, pregnancy-loss, stillbirth, live-born, first-known, deceased, and erroneous existence states must remain distinct.",HOR-SRC-001,HOR-FD-013,29;40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-006,A planned or expected foal must not silently become an active live-horse identity.,HOR-SRC-001,HOR-FD-013,40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-007,A live-born or first-known horse identity must be independently durable and linked to predecessor planning or intake records.,HOR-SRC-001,HOR-FD-013,40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-008,"The system must support exact, partial, approximate, conflicting, and unknown identity facts.",HOR-SRC-001,NONE,29;40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-009,"Every material horse fact must identify source, owner, version, effective time, verification state, confidence basis, and correction state.",HOR-SRC-001,NONE,29;40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-010,Imported data must remain a claim until governed reconciliation establishes its status.,HOR-SRC-001,HOR-FD-007,29;40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-011,Estimated or asserted values must not display as verified exact facts.,HOR-SRC-001,NONE,40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-012,"Current truth, historical snapshots, source-owned references, and derived projections must remain distinguishable.",HOR-SRC-001,NONE,29;40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-013,A copied label or cached value must not become editable canonical truth.,HOR-SRC-001,NONE,40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-014,Conflicting material facts must be surfaced and must not use blind last-write-wins.,HOR-SRC-001,NONE,40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-015,Correction must preserve the original record and create an attributable successor.,HOR-SRC-001,NONE,40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
HOR-REQ-016,Historical decisions and exports must retain the exact fact versions they used.,HOR-SRC-001,NONE,40,P0,DOCUMENTED_FOUNDER_APPROVED_DESIGN_ONLY,NONE
