output_directory,path,size_bytes,sha256
ES-RA-02,CODEX_EVENT_STREAM.jsonl,883,4b9076bb319400ffa1518cecc43f8e07d11ea43e9614b5102a23258b265c2762
ES-RA-02,CODEX_STDERR.log,2167,a3ff0c00ad8ff84029db525d29444cd7c9ee6e04444f86917f5a062c5c1def62
ES-RA-02,INVOCATION_RECORD.json,7052,0f3359cf5007e48c291bb99b13b4e9d636c189d0975ffaf6a0f93042df8cb8d0
ES-RA-02,OUTPUT_SEAL.json,818,4a81a7ca989f9847b8d517c2946deeb42e52c663ecacf143e49f04cb24788b12
ES-RA-02,SUBMITTED_PROMPT.txt,34941,79393ec20ce79039c174ccac0477b6706148038f456ae669ccb3966082e613fd
ES-RA-02-RETRY-01,CODEX_EVENT_STREAM.jsonl,32971,2250e735e768baef27dfb1c331d6807e3d7357c7631827649ae55a2bfc1a885f
ES-RA-02-RETRY-01,CODEX_STDERR.log,2167,748a00680031f3352a37c860d1f5af865c7fcd4915c16e846df069ec56ff65e6
ES-RA-02-RETRY-01,INVOCATION_RECORD.json,6848,ff9c592801a3d0d23c5bdc502d9d6069c8002f976f87cd83880ebc58acb19b3a
ES-RA-02-RETRY-01,OUTPUT_SEAL.json,1150,1e626e1cc9c9ca7a8fdec56f4d8eaafeb0b12c7a5c4bfe61caa2fc699861f65d
ES-RA-02-RETRY-01,RAW_ROLE_OUTPUT.json,30489,e7eaf634245044399fcb9bfb5b02ed0ee3997762c2a7f2005cac1aa996e3a9f3
ES-RA-02-RETRY-01,RETRY_PROVENANCE.json,960,dd6df61f7d66c1f791de7e4df9e1064ea86eda438905f45a55847b14d7c2b878
ES-RA-02-RETRY-01,SUBMITTED_PROMPT.txt,35405,d70170c7a5e4144edf1a82192d7c5ace6e17c80efb37bb98fd4d6c442e201dc5
ES-RA-03,CODEX_EVENT_STREAM.jsonl,40324,084ed69caac3e2cbe2a58feb8ba4ce2f814005f40bea1e8ac0a2086401913031
ES-RA-03,CODEX_STDERR.log,2167,235af20309ec0d66489ddf1e96ebb2c67b175ccc826b150c7e0ff0a648c2f5c0
ES-RA-03,INVOCATION_RECORD.json,6783,1ff3ec2ed721aa352d3bf92d0fbfb1c4a79f3fcd970b4259ba8a6585404756e1
ES-RA-03,OUTPUT_SEAL.json,981,fe51c938e23ceaa725d0cb64287d2f97b83eda5d048ed4637513aae9125bfbef
ES-RA-03,RAW_ROLE_OUTPUT.json,37271,1c0c04625b6e3e9d681aeb2d7216aa937a019197a852314dc1a11dcf120b6fcc
ES-RA-03,SUBMITTED_PROMPT.txt,34650,98c5bc3752764d53250651abd6c2bc1f555f2876fbf1f97e841ab348a9f62c3b
ES-RA-04,CODEX_EVENT_STREAM.jsonl,94308,9e90e35e2cb0795885b8166062af455f59dd9bfbc1eda39967ee8ffb90396a17
ES-RA-04,CODEX_STDERR.log,2148,bc39d2ef0b0b0d12ce30c123c64f417ba47ce6dac69dfbe72d1a933cb4c99c95
ES-RA-04,INVOCATION_RECORD.json,6998,ce6a16c0c79c761fba804e105efdcbd3cce3b3fa3ab52da3f998f1b7427290be
ES-RA-04,OUTPUT_SEAL.json,981,aad886c1f7d327f562318b4939932fe0056de5b7d6c5834c61f548c459a46b0f
ES-RA-04,RAW_ROLE_OUTPUT.json,43332,aaf1dc6259dce71858d8f8e6daf7e1963de97e51472e9033a833e7495593ed66
ES-RA-04,SUBMITTED_PROMPT.txt,35576,91717d80d86620aa9dc6ae574666abb7c1fae608727634ade12e6f3f8b621c3b
ES-RA-04-REPLAY-01,CODEX_EVENT_STREAM.jsonl,82020,b1e9a618d5f27f1c611a823a728b9f76d7e1be6bb730e74b0a92bc347f09f953
ES-RA-04-REPLAY-01,CODEX_STDERR.log,2305,3e087709bff7845bb7160af069f1b1700da87aaebb50a06e7a91ae2e60660a54
ES-RA-04-REPLAY-01,INVOCATION_RECORD.json,7071,01071b277bbc24818e4ec16167d6c4c377e658156a1f1ce5cd93a1d58bee270b
ES-RA-04-REPLAY-01,OUTPUT_SEAL.json,991,cb94ce07d7329ce312f6de0404088930e2b6a1b9c50b77d7c63391ee6a9d766e
ES-RA-04-REPLAY-01,RAW_ROLE_OUTPUT.json,37887,8756c96aba2aa8ff2d6215845fc0a607e3ea388e2f31f47dadbd774cfd473178
ES-RA-04-REPLAY-01,SUBMITTED_PROMPT.txt,35829,08610d4abd7338b267f3a589605de74e128083d343cb83c3117ee6fd3df1e69c
ES-RA-05,CODEX_EVENT_STREAM.jsonl,76569,653cb0326f7f2cd201a73fe8ec0e1f63fff0b213fec42bb7530830286d7dfba8
ES-RA-05,CODEX_STDERR.log,2305,1d83a23a52e3ae39a8106451cfaf789fc4cebac7f162754950d868a88c40ed4d
ES-RA-05,INVOCATION_RECORD.json,6998,b78262e5e0da811d81fea039825be5c9ad0ea3f976122252cd4a353b5fbfa669
ES-RA-05,OUTPUT_SEAL.json,981,be7ad0cefd7cfe2847a5c971a1506f9d031139be33c30ece8faff1d1412b5798
ES-RA-05,RAW_ROLE_OUTPUT.json,38429,5ce9cf61c7339021b4aa09e1a18196b0805eaa7bb9ab525338edb7e6855ee53b
ES-RA-05,SUBMITTED_PROMPT.txt,35913,259acaa1de68fe6560bac59fce2e1b7e1b7cdbf79b511947a052cc1e86d05bf4
