canonical_section_number,canonical_heading,successor_draft_section_number,successor_draft_heading,match_status,source_location,notes,remediation_disposition
1,Document Control and Status,1,Document Control and Status,MATCH,V0.2 Section 1: Document Control and Status,Heading already matched; substantive V0.2 content preserved.,NO_CHANGE_REQUIRED
2,Executive Summary,2,Executive Summary,MATCH,V0.2 Section 2: Executive Summary,Heading already matched; substantive V0.2 content preserved.,NO_CHANGE_REQUIRED
3,"Purpose, Outcomes, and Success Measures",3,"Purpose, Outcomes, and Success Measures",MATCH,"V0.2 Section 3: Purpose, Outcomes, and Success Measures",Heading already matched; substantive V0.2 content preserved.,NO_CHANGE_REQUIRED
4,Authoritative Sources and Inheritance,4,Authoritative Sources and Inheritance,MATCH,V0.2 Section 4: Authoritative Sources and Inheritance,Heading already matched; substantive V0.2 content preserved.,NO_CHANGE_REQUIRED
5,"Scope, Boundaries, and Ownership",5,"Scope, Boundaries, and Ownership",MATCH,"V0.2 Section 5: Scope, Boundaries, and Ownership",Heading already matched; substantive V0.2 content preserved.,NO_CHANGE_REQUIRED
6,Definitions and Controlled Vocabulary,6,Definitions and Controlled Vocabulary,MATCH,V0.2 Section 6: Domain Ownership and Cross-PIA Boundaries,Canonical heading restored; V0.2 heading retained as metadata; substantive V0.2 content preserved.,CANONICAL_HEADING_REMEDIATED
7,"Actors, Roles, Relationships, and Authorities",7,"Actors, Roles, Relationships, and Authorities",MATCH,V0.2 Section 7: Controlled Vocabulary,Canonical heading restored; V0.2 heading retained as metadata; substantive V0.2 content preserved.,CANONICAL_HEADING_REMEDIATED
8,Capability Map and Release Classification,8,Capability Map and Release Classification,MATCH,V0.2 Section 8: Capability and Release Classification,Canonical heading restored; V0.2 heading retained as metadata; substantive V0.2 content preserved.,CANONICAL_HEADING_REMEDIATED
9,User and Operational Workflows,9,User and Operational Workflows,MATCH,V0.2 Section 9: User and Operational Workflows,Heading already matched; substantive V0.2 content preserved.,NO_CHANGE_REQUIRED
10,Business Rules and Decision Logic,10,Business Rules and Decision Logic,MATCH,"V0.2 Section 10: Actor, Persona, Relationship, and Authority Model",Canonical heading restored; V0.2 heading retained as metadata; substantive V0.2 content preserved.,CANONICAL_HEADING_REMEDIATED
11,"Data Entities, Relationships, and Provenance",11,"Data Entities, Relationships, and Provenance",MATCH,V0.2 Section 11: Functional Requirements,Canonical heading restored; V0.2 heading retained as metadata; substantive V0.2 content preserved.,CANONICAL_HEADING_REMEDIATED
12,"Record Ownership, Stewardship, Correction, and Retention",12,"Record Ownership, Stewardship, Correction, and Retention",MATCH,V0.2 Section 12: Calendar and Scheduling Model,Canonical heading restored; V0.2 heading retained as metadata; substantive V0.2 content preserved.,CANONICAL_HEADING_REMEDIATED
13,State and Transition Models,13,State and Transition Models,MATCH,V0.2 Section 13: Task Model,Canonical heading restored; V0.2 heading retained as metadata; substantive V0.2 content preserved.,CANONICAL_HEADING_REMEDIATED
