"acceptance_id","finding_id","severity","candidate_assertion","candidate_artifacts","documentary_check","fresh_review_check","current_result"
"ES-REM-AC-001","CMT08-P0-001","P0","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md;candidate_contracts/IDENTITY_PROTECTED_PARTICIPANT_CONTRACT.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-002","CMT08-P0-002","P0","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md;candidate_contracts/IDENTITY_AUTHORIZATION_CONTRACT.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-003","CMT08-P1-001","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/CMT01_DISSENT_DISPOSITION.md;registers/CMT01_DISSENT_DISPOSITION.json","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-004","CMT08-P1-002","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/AUTHORITY_COMMIT_VERIFICATION.json","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-005","CMT08-P1-003","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/SOURCE_AUTHORITY_REGISTER.csv;registers/SOURCE_ID_CROSSWALK.csv;registers/SOURCE_AND_LIFECYCLE_PRECEDENCE.md;registers/PIA_MASTER_STANDARD_V1_1_INGESTION_RECORD.json","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-006","CMT08-P1-004","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","FOUNDER_PIA_SOURCE_SUPPLY_RECORD.md;registers/SOURCE_AND_LIFECYCLE_PRECEDENCE.md;registers/SOURCE_AND_LIFECYCLE_PRECEDENCE.json;registers/PREDECESSOR_AND_REVIEW_PROVENANCE.json;registers/PIA_MASTER_STANDARD_V1_1_INGESTION_RECORD.json","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-007","CMT08-P1-005","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","registers/ADR_FOUNDER_DECISION_TRACEABILITY.csv;candidate_adrs/identity/ADR-IDENTITY-001_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-008","CMT08-P1-006","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_adrs/identity/ADR-IDENTITY-002_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-003_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md;candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-009","CMT08-P1-007","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md;registers/ADR_FOUNDER_DECISION_TRACEABILITY.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
"ES-REM-AC-010","CMT08-P1-008","P1","Listed candidate controls exist and address the finding without approval drift predecessor rewrite or implementation authority","candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md;registers/IDENTITY_STATE_EVENT_CANDIDATE.csv","PATH_EXISTS_AND_STATUS_SCAN","INDEPENDENT_SEMANTIC_RECONCILIATION_REQUIRED","CANDIDATE_CONTROL_PRESENT_PENDING_FRESH_REVIEW"
