scenario_id,scenario,severity,misuse_or_failure,primary_controls,closure_gate,review_status
OPC-TM-001,Cross-tenant projection leakage,Critical,Portal query or cache returns another tenant record,Action-time tenant/facility authorization; source field contract; negative tests,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-002,Cross-facility community discovery,Critical,Search reveals owners outside the active facility,Same-facility eligibility; non-enumerable queries; no roster export,Community activation,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-003,Stale former-owner access,Critical,Former relationship remains cached,Relationship versioning; revocation; each-send revalidation,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-004,Role label treated as authority,High,Displayed role grants action,Authorization decision required; role is non-authoritative context,Implementation authorization,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-005,Payment or invitation treated as ownership,High,Financial or invitation data creates portal access,Explicit prohibition and relationship contract,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-006,Account enumeration,High,Recovery or discovery reveals account/person existence,Generic responses and bounded queries,Security verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-007,Guardian misbinding,Critical,Payer/emergency contact receives guardian access,Effective-dated guardian source; safeguarding check,Safeguarding verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-008,Hidden adult-minor messaging,Critical,Private route bypasses guardian/safeguarding controls,No disappearing/hidden routes; protected channels; age tiers,Safeguarding verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-009,Provider acceptance overstated as delivery,High,Accepted event displayed as delivered,Separate states and evidence semantics,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
OPC-TM-010,Open event overstated as acknowledgment,High,Pixel/open becomes legal or operational acknowledgment,Explicit versioned acknowledgment required,Verification,DOCUMENTARY_CONTROL_DEFINED_EXECUTABLE_EVIDENCE_PENDING
