provider,configuration_names,configured,attempt_count,attempt_count_basis,control
Analytics,['ANALYTICS_WRITE_KEY'],False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
Cloudflare,['CLOUDFLARE_API_TOKEN'],False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
DocuSign,['DOCUSIGN_INTEGRATION_KEY'],False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
External AI,"['EMERGENT_LLM_KEY', 'GEMINI_API_KEY', 'GOOGLE_API_KEY', 'OPENAI_API_KEY']",False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
Object storage,"['AWS_ACCESS_KEY_ID', 'AWS_SECRET_ACCESS_KEY', 'STORAGE_ACCESS_KEY_ID', 'STORAGE_SECRET_ACCESS_KEY']",False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
Render,['RENDER_API_KEY'],False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
Resend,['RESEND_API_KEY'],False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
SendGrid,['SENDGRID_API_KEY'],False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
Stripe,"['STRIPE_API_KEY', 'STRIPE_SECRET_KEY', 'STRIPE_WEBHOOK_SECRET']",False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
Twilio,['TWILIO_AUTH_TOKEN'],False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
Vercel,['VERCEL_TOKEN'],False,0,no provider module is invoked; exact-port sandbox denies every non-approved socket; process socket inventory contains approved loopback endpoints only,credential excluded; exact-port loopback sandbox; deny proxy; process socket inventory
