contract_id,title,source_owner,scope,authority_effect,implementation_status,founder_approval_status
OPC-XPIA-001,Identity and Session Context,Identity,"Person, account, actor, principal, represented principal, tenant/facility context, assurance, session freshness, restriction state",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-002,Facility and Tenant Context,Facility,"Facility identity, tenancy, enablement state, operating context, moderator assignment reference",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-003,Relationship and Authorization,Relationships / Authorization,"Owner, lessee, guardian, staff, delegate, community eligibility, action-time allow/deny and field projection",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-004,Horse Projection,Horse,"Horse identity, display name, image reference, lifecycle state, facility association, authorized owner-visible profile fields",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-005,Scheduling and Notification,TCSN,"Schedule items, cancellations, ride/lesson times, notification classification, preferences and quiet-hours application",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-006,Care Projection and Request Handoff,Care Operations,"Owner-visible care summary, approved update, request handoff status, correction route",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-007,"Training, Rider, and Guardian Projection",LTRG,"Training update, lesson status, rider/guardian authority reference, minor capability restrictions",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-008,Financial Projection and Dispute Handoff,Billing and Financial,"Invoice, balance, receipt, payment status, due date, dispute status, correction route",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-009,"Agreement, Privacy, Claims, Audit, and Safeguarding",Cross-cutting controls,"Agreement/consent status, retention class, legal hold, claim/dispute state, safeguarding restriction and audit references",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-010,Communication and Notice,Communications,"Communication class, frozen notice version, audience criteria, delivery attempts, acknowledgment, preference treatment",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-011,Media and Attachment,Media,"Asset identity, type, size, sensitivity, scan status, metadata treatment, signed access, expiry and revocation",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
OPC-XPIA-012,AI and Platform Operations Controls,AI / Platform Operations,"Approved AI use case, source scope, human review, feature flags, health state, kill switch, incident and recovery controls",DOCUMENTARY_OVERLAY_ONLY_SOURCE_OWNER_REMAINS_AUTHORITATIVE,NOT_AUTHORIZED,PENDING_EXECUTION_IN_THIS_PACKAGE
