requirement_id,directive_section,implementing_artifact,status
PH1-REQ-001,Strengthened three-phase plan,PHASE_1_PROGRAM_CHARTER.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-002,Current authorization,PHASE_1_PROGRAM_CHARTER.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-003,Controlling facts,PHASE_1_MANUAL_PROCEDURALLY_SEGREGATED_REVIEW_STANDARD.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-004,Required terminology,PHASE_1_ROLE_AND_IDENTITY_TERMINOLOGY.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-005,Pre-work controls and authoritative baseline,PHASE_1_AUTHORITATIVE_BASELINE_DETERMINATION.md; PHASE_1_SOURCE_INVENTORY.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-006,Phase 1 objective,PHASE_1_PROGRAM_CHARTER.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-007,Required artifacts,PHASE_1_CHANGE_MANIFEST.txt,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-008,Review Execution Profiles,profiles/*.json,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-009,Role permissions,PHASE_1_TOOL_PERMISSION_MATRIX.csv,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-010,Blind parallel review,PHASE_1_BLIND_REVIEW_AND_RECONCILIATION_MODEL.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-011,Context segregation canaries,PHASE_1_INPUT_SEGREGATION_MATRIX.csv; pilot_a/,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-012,Prompt-injection defense,PHASE_1_PROMPT_INJECTION_DEFENSE_STANDARD.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-013,Deterministic machine validation,scripts/phase1_validate.py,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-014,Evidence custody,PHASE_1_REVIEW_EXECUTION_RUNBOOK.md; evidence/,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-015,Data classification,PHASE_1_DATA_CLASSIFICATION_AND_EXTERNAL_PROCESSING_STANDARD.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-016,Replay and reproducibility,PHASE_1_REPLAY_AND_VARIANCE_STANDARD.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-017,Assurance classification,PHASE_1_ASSURANCE_CLASSIFICATION_STANDARD.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-018,Review state model,PHASE_1_REVIEW_STATE_TRANSITIONS.csv,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-019,Pilot program,PHASE_1_PILOT_A_TEST_PLAN.md; PHASE_1_PILOT_B_FUTURE_REHEARSAL_PLAN.md; PHASE_1_PILOT_C_FUTURE_LIVE_REVIEW_PLAN.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-020,Legacy artifact disposition,PHASE_1_LEGACY_AGENT_ARTIFACT_DISPOSITION_REGISTER.csv,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-021,Future-phase register,FUTURE_PHASE_2_AND_PHASE_3_REQUIREMENTS_REGISTER.csv,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-022,Validation requirements,scripts/phase1_validate.py; evidence/validation/,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-023,Exit criteria,PHASE_1_FOUNDER_REVIEW_PACKAGE.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-024,Final disposition,PHASE_1_FOUNDER_REVIEW_PACKAGE.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-025,Git and delivery,PHASE_1_CHANGE_MANIFEST.txt,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-026,Final response evidence,PHASE_1_FOUNDER_REVIEW_PACKAGE.md,IMPLEMENTED_OR_EVIDENCED
PH1-REQ-027,Execution instruction and stop boundaries,PHASE_1_PROGRAM_CHARTER.md,IMPLEMENTED_OR_EVIDENCED
