provider,configuration_names,configured,attempt_count,attempted_count,succeeded_count,failed_count,skipped_count,timed_out_count,unavailable_count,state,outcome_event,measurement_basis,global_unapproved_attempt_count,control
Analytics,['ANALYTICS_WRITE_KEY'],False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
Cloudflare,['CLOUDFLARE_API_TOKEN'],False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
DocuSign,['DOCUSIGN_INTEGRATION_KEY'],False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
External AI,"['EMERGENT_LLM_KEY', 'GEMINI_API_KEY', 'GOOGLE_API_KEY', 'OPENAI_API_KEY']",False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
Object storage,"['AWS_ACCESS_KEY_ID', 'AWS_SECRET_ACCESS_KEY', 'STORAGE_ACCESS_KEY_ID', 'STORAGE_SECRET_ACCESS_KEY']",False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
Render,['RENDER_API_KEY'],False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
Resend,['RESEND_API_KEY'],False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
SendGrid,['SENDGRID_API_KEY'],False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
Stripe,"['STRIPE_API_KEY', 'STRIPE_SECRET_KEY', 'STRIPE_WEBHOOK_SECRET']",False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
Twilio,['TWILIO_AUTH_TOKEN'],False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
Vercel,['VERCEL_TOKEN'],False,0,0,0,0,1,0,0,SKIPPED_NOT_CONFIGURED,"{'state': 'SKIPPED_NOT_CONFIGURED', 'provider_path_evaluated': True, 'configured_names_present': False}",runtime provider-path prerequisite evaluation bound to an installed zero-attempt application network ledger; nonzero unattributed attempts fail closed,0,credential excluded; exact-port sandbox; instrumented socket guard; deny proxy; process socket inventory
