review_id,severity,area,finding,risk,revision_disposition,status
GMS-RR-001,P0,authority,Original approval is exact-byte locked and cannot apply to revised files,Revised package could falsely appear executable,Mark all revised control documents pending exact-byte Founder reapproval; add reapproval record,RESOLVED_IN_REVISION
GMS-RR-002,P1,repository_identity,Original directive labels pre-reconciliation head as Source Audit Head and omits approved reconciled/custody identities,Execution may anchor to the wrong commit,"Separate original audit head, approved head, merge, custody head/merge, review-time head, and dynamic implementation baseline",RESOLVED_IN_REVISION
GMS-RR-003,P1,workflow_scope,Document signature is governed in text but absent from declared workflow list and tests,Document actions may escape the central guard,Add DOCUMENT_SIGNATURE as the eighth workflow and add route/version/replay tests,RESOLVED_IN_REVISION
GMS-RR-004,P1,messaging,At least one guardian can be interpreted as sufficient for a thread containing multiple minors,One minor may lack guardian coverage,Require qualifying access-capable guardian coverage for each minor,RESOLVED_IN_REVISION
GMS-RR-005,P1,lifecycle,Last-guardian protection can be read to block lawful relationship revocation,Unsafe or disputed authority could be trapped active,Allow authorized revoke/suspend; block future workflows; keep participant-removal protection separate,RESOLVED_IN_REVISION
GMS-RR-006,P1,privacy,Precise relationship reason codes are required but external disclosure rules are not operationally separated,API responses may reveal custody/dispute/minor facts,Separate internal audit codes from disclosure-safe public error codes,RESOLVED_IN_REVISION
GMS-RR-007,P1,concurrency,No explicit TOCTOU/atomicity requirement,Revocation or removal may race an allowed write,Require transaction/conditional version/commit-time revalidation and concurrency tests,RESOLVED_IN_REVISION
GMS-RR-008,P1,consent,Consent model lacks subject/transaction scope and explicit grantor-authority validation,Generic or replayed consent may authorize unrelated actions,"Add scope_reference, version, effective window, grantor authority, supersession, and duplicate protection",RESOLVED_IN_REVISION
GMS-RR-009,P1,guardian_authority,Active same-barn relationship is not enough to represent domain-limited or restricted authority,Guardian may be over-authorized,Add workflow authority scopes and restriction/conflict fail-closed rules,RESOLVED_IN_REVISION
GMS-RR-010,P2,legacy_data,No-backfill rule does not explicitly define missing legacy evidence,Existing records may be silently grandfathered,Define missing authority/consent as unresolved and blocked; no silent conversion,RESOLVED_IN_REVISION
GMS-RR-011,P2,age_lifecycle,Birthday/time-source/cache behavior is unspecified,Off-by-one or stale age classification may persist,"Require decision-time classification, testable date source, birthday tests, and cache boundary",RESOLVED_IN_REVISION
GMS-RR-012,P2,emergency_override,Emergency or operational exceptions are not addressed,Implementer may invent an override,Explicitly prohibit implicit override absent separate approved authority,RESOLVED_IN_REVISION
GMS-RR-013,P2,path_scope,Blanket frontend/src/** path authorization is overbroad,Unrelated UI changes can enter the PR,Replace with known files plus pre-inventoried exact-path additions,RESOLVED_IN_REVISION
GMS-RR-014,P2,payment,Payment exception language depends on an unspecified approved billing model,Minor obligations may be allowed under ambiguous authority,Default deny unless exact existing approved authority is evidenced,RESOLVED_IN_REVISION
GMS-RR-015,P2,audit,Audit contents are addressed but sink/access/telemetry boundary is incomplete,Sensitive facts may be copied to new telemetry,"Require existing audit sink, no new external telemetry, disclosure minimization",RESOLVED_IN_REVISION
GMS-RR-016,P2,cache,Immediate revocation is stated but cache invalidation/versioning is not required,Stale authorization may survive revocation,Require request-scoped or invalidation/version-safe cache and tests,RESOLVED_IN_REVISION
GMS-RR-017,P2,rollback,Mixed-version and partial rollback behavior is not fully bounded,Old route can bypass new guard during rollback,Require no mixed-version bypass; suspend workflow if safe rollback unavailable,RESOLVED_IN_REVISION
