"work_item_id","category","scope_item","denominator","status","procedure","result","claim_classification","evidence_sufficiency","limitations","evidence_links","generated_at_utc","thread_provenance","control_label_1","control_label_2","output_hash_reference"
"CMT04-W-001","Formal ADR","ADR-IDENTITY-001","1/1","COMPLETED_WITH_LIMITATION","Read full text; compared mapped decisions; checked recommendation provenance and authority additions.","Founder direction partial; recommendation provenance unavailable; P1 recorded.","SUPPORTED_BY_MULTIPLE_SOURCES","E3","No standalone approved Identity recommendation source.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-IDENTITY-001","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-002","Formal ADR","ADR-IDENTITY-002","1/1","COMPLETED_WITH_LIMITATION","Read full text; compared mapped decisions; checked recommendation provenance and authority additions.","Founder direction partial; recommendation provenance unavailable; P1 recorded.","SUPPORTED_BY_MULTIPLE_SOURCES","E3","No standalone approved Identity recommendation source.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-IDENTITY-002","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-003","Formal ADR","ADR-IDENTITY-003","1/1","COMPLETED_WITH_LIMITATION","Read full text; compared mapped decisions; checked recommendation provenance and authority additions.","Founder direction substantially present; detailed technical mandates lack standalone recommendation evidence; P1 recorded.","SUPPORTED_BY_MULTIPLE_SOURCES","E3","No standalone approved Identity recommendation source.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-IDENTITY-003","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-004","Formal ADR","ADR-IDENTITY-004","1/1","COMPLETED_WITH_LIMITATION","Read full text; compared mapped decisions and cross-domain session/support/closure boundaries.","Mapped support and closure directions incomplete; P1 recorded.","SUPPORTED_BY_MULTIPLE_SOURCES","E3","No execution or standalone recommendation evidence.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-IDENTITY-004","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-005","Formal ADR","ADR-IDENTITY-005","1/1","COMPLETED_WITH_LIMITATION","Read full text; compared all four mapped decisions and searched for merge/support/closure content.","Three mappings lack substantive decision content; P1 recorded.","DETERMINISTICALLY_VERIFIED","E4","No standalone recommendation evidence.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-IDENTITY-005","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-006","Formal ADR","ADR-IDENTITY-006","1/1","COMPLETED_WITH_LIMITATION","Read full text; compared pilot/signup/merge/onboarding directions and related PIA text.","Public signup controls present; pilot, merge-continuity and onboarding-completion directions incomplete; P1 recorded.","SUPPORTED_BY_MULTIPLE_SOURCES","E3","Policy exists in PIA but is not fully carried by the mapped ADR.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-IDENTITY-006","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-007","Formal ADR","ADR-IDENTITY-007","1/1","COMPLETED_WITH_LIMITATION","Read full text; compared minor, transition and closure directions plus protective contract.","Transition direction strong; minor-separation and closure-history coverage incomplete; P1 recorded.","SUPPORTED_BY_MULTIPLE_SOURCES","E3","Protected Participant source/PIA not closed.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-IDENTITY-007","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-008","Formal ADR","ADR-REL-001","1/1","COMPLETED_WITH_LIMITATION","Read full recommendation and formal text; hash-compared decision/rules; semantically compared mapped Founder decisions.","Exact recommendation preservation; incomplete higher-authority decision coverage; P1 recorded.","DETERMINISTICALLY_VERIFIED","E4","No executable verification; source contracts not closed.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-REL-001","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-009","Formal ADR","ADR-REL-002","1/1","COMPLETED_WITH_LIMITATION","Read full recommendation and formal text; hash-compared decision/rules; semantically compared mapped Founder decisions.","Exact recommendation preservation; generic-barn prohibition absent; P1 recorded.","DETERMINISTICALLY_VERIFIED","E4","No executable verification; source contracts not closed.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-REL-002","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-010","Formal ADR","ADR-REL-003","1/1","COMPLETED_WITH_LIMITATION","Read full recommendation and formal text; hash-compared decision/rules; semantically compared delegation decisions.","Exact recommendation preservation; initial acceptance/default expiry/renewal revalidation incomplete; P1 recorded.","DETERMINISTICALLY_VERIFIED","E4","No executable verification; Authorization contract not closed.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-REL-003","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-011","Formal ADR","ADR-REL-004","1/1","COMPLETED_WITH_LIMITATION","Read full recommendation and formal text; hash-compared decision/rules; semantically compared state/dispute/history decisions.","Exact recommendation preservation; state/concurrency/termination coverage partial; P1 recorded.","DETERMINISTICALLY_VERIFIED","E4","Claims contract/source lifecycle only partially established.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-REL-004","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-012","Formal ADR","ADR-REL-005","1/1","COMPLETED_WITH_LIMITATION","Read full recommendation and formal text; hash-compared decision/rules; searched complete formal set for six mapped controls.","Exact recommendation preservation; material Founder decisions absent; P1 recorded.","DETERMINISTICALLY_VERIFIED","E4","Validation-only mentions were not treated as normative policy.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-REL-005","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-013","Formal ADR","ADR-REL-006","1/1","COMPLETED_WITH_LIMITATION","Read full recommendation and formal text; hash-compared decision/rules; semantically compared offline implications.","Exact recommendation preservation; cannot cure delegation/renewal set-level omissions; P1 recorded.","DETERMINISTICALLY_VERIFIED","E4","Offline behavior NOT_TESTED.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-REL-006","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-014","Formal ADR","ADR-REL-007","1/1","COMPLETED_WITH_LIMITATION","Read full recommendation and formal text; hash-compared decision/rules; semantically compared migration and mapped policy decisions.","Exact recommendation preservation; organization/facility and public-signup decisions absent; P1 recorded.","DETERMINISTICALLY_VERIFIED","E4","Migration behavior NOT_TESTED.","FOURTEEN_ADR_INDEPENDENT_MATRIX.csv#ADR-REL-007","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-015","Founder decision set","IDENTITY-FD-001 through IDENTITY-FD-012","12/12","COMPLETED_WITH_LIMITATION","Read all decision rows; mapped each to all seven formal Identity ADRs and checked semantic presence.","All decisions accounted; one entirely untraced and seven materially partial; P1 recorded.","SUPPORTED_BY_MULTIPLE_SOURCES","E3","No standalone approved recommendation corpus.","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Identity_Account_Actor_Enrollment_Onboarding_PIA_V1_1_0_Controlled_Revision/FOUNDER_DECISION_REGISTER.csv","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
"CMT04-W-016","Founder decision set","REL-FD-001 through REL-FD-016","16/16","COMPLETED_WITH_LIMITATION","Read all approved directions; mapped each across all seven formal Relationships ADRs and checked semantic presence.","All decisions accounted; material omissions/partial coverage found; P1 recorded.","DETERMINISTICALLY_VERIFIED","E4","Decision authenticity beyond frozen approval-ingestion record not independently re-performed.","/Users/rianray/Documents/Codex/2026-07-20/open-start-here-md-then-execute/work/review_materials/EquineSync_Relationships_Controlled_Sequence_V1_0_0/FOUNDER_DECISION_APPROVAL_INGESTION.csv","2026-07-20T19:50:39Z","CMT-04 generic Codex controlled non-agent thread; delegated from 019f8104-9235-7f03-8a3e-c68d4b199e09","NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","OUTPUT_MANIFEST.json"
