field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
analysis_id,analysis id,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_analysis_id,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
tested_population,tested population,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_tested_population,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
method,method,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_method,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
duplicates,duplicates,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_duplicates,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
semantic_overlaps,semantic overlaps,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_semantic_overlaps,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
stale_findings,stale findings,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_stale_findings,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
abandoned_findings,abandoned findings,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_abandoned_findings,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
improperly_closed_findings,improperly closed findings,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_improperly_closed_findings,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
findings_lacking_evidence,findings lacking evidence,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_findings_lacking_evidence,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
conflicting_severity,conflicting severity,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/DUPLICATE_AND_STALENESS_ANALYSIS.csv,required column present; non-empty unless explicitly allowed,example_conflicting_severity,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
