omission_check_id,category,status,evidence,result,limitation,required_next_action
ES-REV-2026-021-OM-001,authorized requirements with no design provision,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-002,document sections with no authority source,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-003,requirements with no owner,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-004,controls with no evidence expectation,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-005,states with no permitted transition,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-006,actors with undefined authority,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-007,exceptions with no approval path,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-008,approvals with no revocation path,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-009,workflows with no failure/recovery path,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-010,records with no correction mechanism,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-011,events with no audit evidence,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-012,findings with no closure criteria,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-013,tests with no observable oracle,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
ES-REV-2026-021-OM-014,evidence claims with no preserved source,PRELIMINARY_CHECK_ONLY_FORMAL_SEGREGATED_REVIEW_BLOCKED,requirements/workflows/tests/traceability artifacts,NO_FORMAL_CONCLUSION,permission gate failed,fresh ES-RA-02 structured coverage pass
