conflict_type,severity,paths,evidence,accession_disposition
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/candidates/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_0.md | docs/canon/history/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_0_CANDIDATE.md,002f5d7517fa11659fd14d4add2ca6351f9a14112d797e020b0881d1e1e7e7e5,byte-identical duplicates preserved and mapped
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/MASTER_BUSINESS_LIFECYCLE.md | docs/canon/reviews/foundational_canon_source_certification_v1_0/source_event/MASTER_BUSINESS_LIFECYCLE_V2_0_FOUNDER_CERTIFIED_CURRENT_SOURCE.md | docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_016/current_repository_source/MASTER_BUSINESS_LIFECYCLE.md,063339ec8b8aab20908742675013692de2dbb56f018939bac71371b8366d2466,byte-identical duplicates preserved and mapped
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1.md | docs/canon/history/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1_FOUNDER_APPROVED_SOURCE.md,0a5302bba0240ba6acd9871b7453916ff212f91ce2f1622b9a4e236701f52604,byte-identical duplicates preserved and mapped
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md | docs/canon/candidates/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0.md,0cdad90cb5929588ee137e9835f6b499c3651159381960fbfad436dfcd0fa18d,byte-identical duplicates preserved and mapped
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/adopted_sources/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0_ADOPTED_SOURCE.md | docs/canon/candidates/MASTER_DATA_PROTECTION_ENCRYPTION_AND_KEY_MANAGEMENT_MODEL_V1_0.md,0fa543e25a2cffe75e9d07b68ccf0adefb8ae31e10c05afd5f1b84ee452a23ba,byte-identical duplicates preserved and mapped
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/candidates/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0.md | docs/canon/reviews/eight_canon_founder_approval_reconciliation_v1_0/predecessors/MASTER_PLATFORM_OPERATIONS_RELIABILITY_AND_RELEASE_MODEL_V2_0.md,16b3cbd473196903fdb1a3586b9e7e827ad8444a91633bf2e982cb821cecdaf7,byte-identical duplicates preserved and mapped
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/companions/GLOBAL_SUPERSESSION_REGISTER.md | docs/canon/reviews/global_companion_reconciliation_v1_0/phase_g8/GLOBAL_SUPERSESSION_REGISTER.md,1765b3b14532ee0d6fe54ccc12b6ba9d28ddef4be6707adc5e2a713d0640e052,byte-identical duplicates preserved and mapped
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/adopted_sources/MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0_ADOPTED_SOURCE.md | docs/canon/founder_approved_sources/MASTER_SEARCH_DISCOVERY_RANKING_AND_RETRIEVAL_MODEL_V2_0_FOUNDER_APPROVED.md,18ce9cde3f1ac8f8b01bfc72ed8dfcf066cd6434a1e1b3f0c40bfe127958ca67,byte-identical duplicates preserved and mapped
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md | docs/canon/candidates/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md,1c79c20a2edd2e7e3907e875679c5871d53c146a226364fb0cc3f956d39f5d0e,byte-identical duplicates preserved and mapped
DUPLICATE_BYTES,INFO_REVIEW,docs/canon/MASTER_PERMISSION_MODEL.md | docs/canon/reviews/governance_v1_0_c0_phase_c_hash_version_recovery/track_c/C0_022/current_repository_source/MASTER_PERMISSION_MODEL.md,2034979a0fe77fd89ba065ecf9d309f5897641b6c38c9bde7c69dc8ac06adeab,byte-identical duplicates preserved and mapped
