permitted_starting_state,permitted_next_state,permitted,required_authority,required_evidence,prohibited_transitions,reversal_rules,suspension_rules,supersession_rules,reactivation_rules,archival_rules
CANDIDATE,CANDIDATE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_CANDIDATE_PROHIBITION_RECORD,CANDIDATE_TO_CANDIDATE,CANDIDATE_TO_CANDIDATE_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_CANDIDATE_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_CANDIDATE_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_CANDIDATE_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_CANDIDATE_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,DRAFT_UNMERGED,YES,documentary drafting authority,CANDIDATE_TO_DRAFT_UNMERGED_AUTHORITY_AND_EVIDENCE_RECORD,NOT_APPLICABLE_FOR_PERMITTED_TRANSITION,CANDIDATE_TO_DRAFT_UNMERGED_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_DRAFT_UNMERGED_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_DRAFT_UNMERGED_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_DRAFT_UNMERGED_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_DRAFT_UNMERGED_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,FOUNDER_REVIEW_READY,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_FOUNDER_REVIEW_READY_PROHIBITION_RECORD,CANDIDATE_TO_FOUNDER_REVIEW_READY,CANDIDATE_TO_FOUNDER_REVIEW_READY_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_FOUNDER_REVIEW_READY_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_FOUNDER_REVIEW_READY_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_FOUNDER_REVIEW_READY_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_FOUNDER_REVIEW_READY_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,REMEDIATION_REQUIRED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_REMEDIATION_REQUIRED_PROHIBITION_RECORD,CANDIDATE_TO_REMEDIATION_REQUIRED,CANDIDATE_TO_REMEDIATION_REQUIRED_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_REMEDIATION_REQUIRED_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_REMEDIATION_REQUIRED_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_REMEDIATION_REQUIRED_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_REMEDIATION_REQUIRED_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,REJECTED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_REJECTED_PROHIBITION_RECORD,CANDIDATE_TO_REJECTED,CANDIDATE_TO_REJECTED_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_REJECTED_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_REJECTED_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_REJECTED_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_REJECTED_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,ADOPTED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_ADOPTED_PROHIBITION_RECORD,CANDIDATE_TO_ADOPTED,CANDIDATE_TO_ADOPTED_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_ADOPTED_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_ADOPTED_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_ADOPTED_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_ADOPTED_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,LOCKED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_LOCKED_PROHIBITION_RECORD,CANDIDATE_TO_LOCKED,CANDIDATE_TO_LOCKED_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_LOCKED_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_LOCKED_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_LOCKED_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_LOCKED_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,ACCESSIONED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_ACCESSIONED_PROHIBITION_RECORD,CANDIDATE_TO_ACCESSIONED,CANDIDATE_TO_ACCESSIONED_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_ACCESSIONED_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_ACCESSIONED_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_ACCESSIONED_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_ACCESSIONED_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,ACTIVE,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_ACTIVE_PROHIBITION_RECORD,CANDIDATE_TO_ACTIVE,CANDIDATE_TO_ACTIVE_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_ACTIVE_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_ACTIVE_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_ACTIVE_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_ACTIVE_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,SUSPENDED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_SUSPENDED_PROHIBITION_RECORD,CANDIDATE_TO_SUSPENDED,CANDIDATE_TO_SUSPENDED_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_SUSPENDED_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_SUSPENDED_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_SUSPENDED_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_SUSPENDED_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,SUPERSEDED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_SUPERSEDED_PROHIBITION_RECORD,CANDIDATE_TO_SUPERSEDED,CANDIDATE_TO_SUPERSEDED_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_SUPERSEDED_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_SUPERSEDED_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_SUPERSEDED_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_SUPERSEDED_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
CANDIDATE,HISTORICAL_RETAINED,NO,NOT_APPLICABLE_PROHIBITED_TRANSITION,CANDIDATE_TO_HISTORICAL_RETAINED_PROHIBITION_RECORD,CANDIDATE_TO_HISTORICAL_RETAINED,CANDIDATE_TO_HISTORICAL_RETAINED_REVERSAL_REQUIRES_EXPLICIT_RESCISSION_OR_REMEDIATION_EVIDENCE,CANDIDATE_TO_HISTORICAL_RETAINED_SUSPENSION_REQUIRES_NON_ACTIVE_EFFECT_AND_REACTIVATION_CONDITION,CANDIDATE_TO_HISTORICAL_RETAINED_SUPERSESSION_REQUIRES_SUCCESSOR_OR_DOCUMENTED_BASIS,CANDIDATE_TO_HISTORICAL_RETAINED_REACTIVATION_REQUIRES_AUTHORITY_AND_EVIDENCE,CANDIDATE_TO_HISTORICAL_RETAINED_ARCHIVAL_PRESERVES_HISTORY_WITHOUT_PRESENT_CONTROL_CLAIM
