evidence_id,checklist_area,check_result,locator,sha256_or_value,observation
FSR-EVID-001,01_FAITHFUL_INCORPORATION_FAC_FD_001_018,PASS,"git:0beee6137183eb4079e7346c8596f6bec552f2f2:governance/pia/ES-PIA-FACILITY-TENANT-ORGANIZATION-V1.0.0/FOUNDER_DECISION_REGISTER.md compared with FOUNDER_DECISION_REGISTER.md","predecessor_sha256=cef4ab7d874d86c833d140ec72db46a7118dd64810ab4beae4b84c2a6ed7a3b3;current_sha256=be253b55e72204a048461d769aaa736e4e747fe3d053739526264af173c1d319","Exact line comparison passed for FAC-FD-001 through FAC-FD-016 and FAC-FD-018 approved answers."
FSR-EVID-002,01_FAITHFUL_INCORPORATION_FAC_FD_001_018,FAIL,"PIA_FACILITY_TENANT_ORGANIZATION_V1_1_0.md:41-43; PIA_FACILITY_TENANT_ORGANIZATION_MACHINE_READABLE.json:62-68","pia_sha256=18eed6064f4b110c5fdcd8b84d47ecc11d219fa9abbc918363d99577a1373390;machine_sha256=c245b05f767419863cce1a347e30a5ae1ee1af261657d078a9f578c02d42db23","Business is absent from the claimed canonical controlled-vocabulary and machine-readable definition surfaces."
FSR-EVID-003,02_FAC_FD_017_REFINEMENT,PASS,"FAC_FD_017_ADAPTIVE_ONBOARDING_REFINEMENT.md:13-29",956e72b1b229ad26faecde37435e0cfa8a5fc76c1c99ec6231e4021dd9ddd67b,"Controlling refinement, isolation interpretation, individual/structured paths, later association, and six proof obligations are explicit."
FSR-EVID-004,02_FAC_FD_017_REFINEMENT,PASS,"REQUIREMENT_REGISTER.csv:FAC-REQ-037..FAC-REQ-042; FAC_FD_017_CROSS_ARTIFACT_REVIEW.csv:17-22","requirements_sha256=0f2ef5ae7342aad8e081b7b1685babb0b75b678c18c8d958daad164f17126fc9","Six dedicated documentary requirements and proof rows cover the directive's six outcomes."
FSR-EVID-005,03_NO_INVENTED_FOUNDER_DOCTRINE,PASS,"FOUNDER_DECISION_GATE_STATUS_REGISTER.csv:20-29",ff75bdaed3f1aa5c349e3be3c0e9004b1881b4852ce12644be67e6be305f00e7,"FAC-FD-019 through FAC-FD-028 remain open and have no decision date or Founder approval."
FSR-EVID-006,03_NO_INVENTED_FOUNDER_DOCTRINE,PASS,"FOUNDER_DECISION_REGISTER.md:211-319",be253b55e72204a048461d769aaa736e4e747fe3d053739526264af173c1d319,"Later decisions are labeled unapproved candidate recommendations and implementation authority false."
FSR-EVID-007,04_TENANT_ISOLATION,PASS,"REQUIREMENT_REGISTER.csv:FAC-REQ-002,FAC-REQ-039",0f2ef5ae7342aad8e081b7b1685babb0b75b678c18c8d958daad164f17126fc9,"Every protected record requires explicit Tenant context or global classification; onboarding isolation fails closed before protected writes."
FSR-EVID-008,04_TENANT_ISOLATION,PASS,"DATA_DICTIONARY.md:15,19-20,30-34",b2a488973aacf81478ba42f89f4e797d7c0c92aeaf5cd960f342a3234c1a37ce,"Tenant is the isolation context; associations are non-authorizing; onboarding creates no unrequired topology."
FSR-EVID-009,05_DISTINCT_FACILITY_TENANT_ORGANIZATION_BARN_BUSINESS,FAIL,"FOUNDER_DECISION_REGISTER.md:13-22; PIA_FACILITY_TENANT_ORGANIZATION_V1_1_0.md:41-43","founder_register_sha256=be253b55e72204a048461d769aaa736e4e747fe3d053739526264af173c1d319;pia_sha256=18eed6064f4b110c5fdcd8b84d47ecc11d219fa9abbc918363d99577a1373390","Approved Business meaning exists in the decision register but is absent from the PIA controlled vocabulary."
FSR-EVID-010,05_DISTINCT_FACILITY_TENANT_ORGANIZATION_BARN_BUSINESS,FAIL,"DATA_DICTIONARY.md:13-30; PIA_FACILITY_TENANT_ORGANIZATION_MACHINE_READABLE.json:62-68","data_sha256=b2a488973aacf81478ba42f89f4e797d7c0c92aeaf5cd960f342a3234c1a37ce;machine_sha256=c245b05f767419863cce1a347e30a5ae1ee1af261657d078a9f578c02d42db23","Neither canonical definition surface supplies a Business meaning/responsibility."
