finding_id,reviewer,reviewer_tool,review_target_head,severity,category,artifact,repository_path,section_or_row,rule_id,finding_summary,exact_evidence,failure_mode,impact,required_correction,acceptance_criterion,blocking_effect,related_finding_ids,reviewer_recommendation,founder_disposition,remediation_status,confirmation_status,notes
CB-001,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,P1,CROSS_FILE_SECTION_MISMATCH,normative_rule_catalog,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0.json,"markdown_section fields at L1150,L1238,L1262,L1270,L1286,L1294,L1302,L1310,L1358,L1398,L1406,L1422,L1430",ES-GPS-CLASS-001; ES-GPS-PILOT-001; ES-GPS-SUP-001; ES-GPS-FIND-001; ES-GPS-CLOSE-001; ES-GPS-REOPEN-001; ES-GPS-AMEND-001; ES-GPS-EMERG-001; ES-GPS-PILOTEVD-001; ES-GPS-OVER-001; ES-GPS-MR-001; ES-GPS-EXTLAW-001; ES-GPS-MAINT-001,Thirteen normative_rule_catalog markdown_section values point to wrong section numbers and/or nonexistent Markdown headings.,"MD headings: 5=Artifact Taxonomy, 16=Closure, 17=Findings, 18=Supersession, 19=Reopening, 20=Machine-Readable, 21=Prohibited Overclaims. Catalog claims include '4. Artifact Taxonomy', '14. Closure With Certified Exceptions', '13. Pilot-Generated Evidence', and '11. Limits Of Founder Exception Authority' (latter two are not headings).",Machine/human crosswalk lands auditors on the wrong section; claimed rule-to-section integrity is false.,Blocks trustworthy clause-level adoption review and invalidates VAL-016 agreement claim for section pointers.,Retarget each markdown_section to the current exact ## N. Title heading (CLASS->5; CLOSE->16; FIND->17; SUP/AMEND/EMERG->18; REOPEN/MAINT->19; MR->20; OVER->21; PILOT/PILOTEVD->13 full title; EXTLAW->11 Founder Reserved... Limits subsection or retitle MD).,"For every catalog rule_id, f'## {markdown_section}' exists verbatim in the standard Markdown.",BLOCK_ADOPTION,CB-002; CB-003; CB-007,ACCEPT_AND_REMEDIATE,,OPEN,NOT_STARTED,Rule statements themselves match MD; only section pointers are stale.
CB-002,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,P1,CROSS_FILE_SECTION_MISMATCH,adversarial_review,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0.json,ADV-002 L18; ADV-007 L78; ADV-009 L102; ADV-012 L138; ADV-013 L150; ADV-021 L246; ADV-022 L258; ADV-024 L282; ADV-025 L294,ES-GPS-PILOTEVD-001; ES-GPS-EXTLAW-001; ES-GPS-CLOSE-001; ES-GPS-MR-001; ES-GPS-REOPEN-001; ES-GPS-MAINT-001,Nine adversarial scenarios record markdown_section values that are not current Markdown headings.,ADV-002/007/013: '13. Pilot-Generated Evidence'; ADV-009/024: '11. Limits Of Founder Exception Authority'; ADV-012: '14. Closure...' (actual 14 is Soundness; Closure is 16); ADV-021: '19. Machine-Readable...' (actual 20); ADV-022/025: '17. Reopening...' (actual 19).,Adversarial mappings claimed as exact section anchors are not resolvable to headings.,Undermines the package claim that every adversarial scenario maps to exact Markdown sections.,Update each ADV markdown_section to the verbatim current heading; optionally add MD subheadings for Pilot-Generated Evidence and Limits Of Founder Exception Authority if those titles must remain.,Every adversarial markdown_section equals an existing ## heading string.,BLOCK_ADOPTION,CB-001; CB-007,ACCEPT_AND_REMEDIATE,,OPEN,NOT_STARTED,
CB-003,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,P1,CSV_CONTRADICTS_MARKDOWN,CONFLICT_AND_OPEN_QUESTION_REGISTER,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/CONFLICT_AND_OPEN_QUESTION_REGISTER.csv,OQ-002 row L3; OQ-003 row L4; OQ-004 row L5; OQ-009 row L10,ES-GPS-LOCK-001; ES-GPS-AMEND-001; ES-GPS-ACT-001; ES-GPS-MAINT-001; ES-GPS-MR-001,Closed OQ implementation file mappings cite stale standard section numbers after section renumbering.,"OQ-002 cites sections 8 and 16 with SUPERSESSION matrix, but section 16 is Closure (supersession is 18). OQ-003 cites 8 and 17 with lifecycle matrix, but 17 is Findings. OQ-004 cites section 17 with REOPENING matrix, but reopening is 19. OQ-009 cites section 19 for machine-readable companions, but that topic is 20.",Disposition traceability points implementers to the wrong normative sections.,"OQ status is correctly CLOSED, but incorporation evidence is mis-addressed.",Rewrite implemented_in_files section numbers: OQ-002->8 and 18; OQ-003->8 and 19 (and/or 6); OQ-004->19; OQ-009->20.,Each OQ implemented_in_files section number resolves to a heading whose topic matches the disposition and cited matrices.,BLOCK_ADOPTION,CB-001,ACCEPT_AND_REMEDIATE,,OPEN,NOT_STARTED,OQ-001..OQ-010 statuses are CLOSED_FOUNDER_DISPOSITION_INCORPORATED; this is not a stale-open-status defect.
CB-004,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,P2,CLOSURE_STATE_INCOMPLETE_REQUIRED_FIELDS,COMPLETION_AND_READINESS_EVIDENCE_MATRIX,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/COMPLETION_AND_READINESS_EVIDENCE_MATRIX.csv,L8-L14 COMPLETE_*/ACCEPTABLE_*/PRODUCTION_AUTHORIZED_* rows; conflicts with ES-GPS-CLOSE-001 and MD §16,ES-GPS-CLOSE-001,Closure/continuation readiness rows omit elements that ES-GPS-CLOSE-001 and MD section 16 require for every closure determination.,"CLOSE-001 requires exact scope, evidence, exclusions, retained findings, exception records, permitted claims, prohibited claims, and reopening triggers. COMPLETE_WITH_FOUNDER_CERTIFIED_HISTORICAL_EVIDENCE_EXCEPTION required_evidence lists FCR-01 recovery/substitute/uncertainty/prohibited claims but not scope, residual risk, or reopening trigger. COMPLETE_WITH_FOUNDER_TEST_WAIVER omits scope and reopening trigger. COMPLETE_WITH_PILOT_EVIDENCE_SUBSTITUTION omits residual risk, prohibited claims, and reopening trigger. ACCEPTABLE_FOR_BOUNDED_PILOT omits scope/risk/prohibited/reopening fields entirely.",A reader could treat matrix required_evidence as the complete closure checklist and omit retained risk or reopening triggers.,Weakens closing-audit usability before first activation/closing audit.,"Expand each COMPLETE_*/ACCEPTABLE_* /PRODUCTION_AUTHORIZED_* required_evidence cell to explicitly require scope, exception/certification IDs, evidence relied upon, permitted claims, prohibited claims, retained risks, and next review/reopening trigger (or an explicit 'inherits all FCR-xx required_fields including reopening_triggers' statement).",Every closure-like readiness row enumerates all CLOSE-001 required elements or fully incorporates the controlling FCR required_fields set by reference.,BLOCK_BEFORE_ACTIVATION_OR_FIRST_CLOSING_AUDIT,,ACCEPT_AND_REMEDIATE,,OPEN,NOT_STARTED,
CB-005,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,P2,SCHEMA_FIELDS_MISSING_FROM_TEMPLATE,FOUNDER_TEST_WAIVER_AND_PILOT_EVIDENCE_SUBSTITUTION_TEMPLATE,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/FOUNDER_TEST_WAIVER_AND_PILOT_EVIDENCE_SUBSTITUTION_TEMPLATE.md,L10-L29 Waiver/Deferral/Replacement Record checklist,ES-GPS-FCR-001; ES-GPS-MR-001; ES-GPS-WAIVE-001,"Waiver/substitution template omits schema-required fields date, certifying_founder, and authority_effect.","FOUNDER_CERTIFICATION_MACHINE_READABLE_SCHEMA.json required includes date, certifying_founder, authority_effect. Template provides Certification or waiver ID, Certification class, Founder disposition, and Expiration or review trigger, but no Certification date, Certifying Founder, or Authority effect fields. Contrast FCR-01 template which includes Certification date and Certifying Founder.",Completed waiver templates can be treated as durable records while failing the machine-readable schema required set.,Operational certification recording gap for FCR-03..08 and FCR-10.,Add checklist fields: Certification date; Certifying Founder; Authority effect. Align labels to schema property names or provide an explicit mapping table.,Every schema.required property has a corresponding template capture field for classes covered by the waiver template.,BLOCK_BEFORE_ACTIVATION_OR_FIRST_CLOSING_AUDIT,CB-006,ACCEPT_AND_REMEDIATE,,OPEN,NOT_STARTED,
CB-006,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,P2,FCR_CLASS_INCOMPLETE_TEMPLATE_COVERAGE,FOUNDER templates,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/FOUNDER_TEST_WAIVER_AND_PILOT_EVIDENCE_SUBSTITUTION_TEMPLATE.md,"Template header L3 lists FCR-03..08,FCR-10 only; no FCR-02 or FCR-09 template file exists in package",ES-GPS-FCR-001; ES-GPS-MR-001,FCR-02 Current-State Certification and FCR-09 Procedural Override have matrix/schema classes but no human template.,"Package templates: FOUNDER_HISTORICAL_EVIDENCE_CERTIFICATION_TEMPLATE.md (FCR-01) and FOUNDER_TEST_WAIVER_AND_PILOT_EVIDENCE_SUBSTITUTION_TEMPLATE.md (FCR-03,04,05,06,07,08,10). FCR matrix requires machine-readable records and repository custody for FCR-02 and FCR-09.",Operators lack a controlled capture form for two authority-bearing certification classes.,Increases risk of incomplete or non-schema-conformant FCR-02/FCR-09 records.,"Add FOUNDER_CURRENT_STATE_CERTIFICATION_TEMPLATE.md and FOUNDER_PROCEDURAL_OVERRIDE_TEMPLATE.md covering each class required_fields plus all schema.required properties, or expressly extend an existing template header to include FCR-02 and FCR-09 with class-specific addenda.",Every FCR-01..FCR-10 class has a template path identified in the package that captures its required_fields and schema.required set.,BLOCK_BEFORE_ACTIVATION_OR_FIRST_CLOSING_AUDIT,CB-005,ACCEPT_AND_REMEDIATE,,OPEN,NOT_STARTED,
CB-007,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,P2,VALIDATION_SELF_SATISFACTION,DOCUMENTARY_VALIDATION_REPORT,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/DOCUMENTARY_VALIDATION_REPORT.json,VAL-016 L398; related VAL-015 L392; VAL-019 L416,ES-GPS-MR-001,VAL-016 passes human/machine agreement by citing common generation rather than independently comparing authoritative Markdown headings to JSON section pointers.,VAL-016 evidence: 'Both are generated from the same rule catalog and matrix model.' Independent comparison finds 13 stale catalog markdown_section values and 9 stale ADV markdown_section values (CB-001/CB-002). VAL-015/019 similarly PASS on rule-ID presence without verifying section-heading resolution.,"Validator self-satisfies from generator provenance instead of authoritative source files, allowing concrete cross-file defects to receive PASS.",False confidence in package readiness; defects escaped the package's own deterministic gate.,Replace VAL-016 (and strengthen VAL-015) with checks that every markdown_section string exists as a Markdown heading and that cited matrix_row_id tokens resolve to CSV/schema identifiers; fail on mismatch.,"Re-running validation fails on current head until CB-001/CB-002 are fixed, then passes by heading/ID resolution against package files.",BLOCK_BEFORE_ACTIVATION_OR_FIRST_CLOSING_AUDIT,CB-001; CB-002,ACCEPT_AND_REMEDIATE,,OPEN,NOT_STARTED,
CB-008,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,P3,PATHS_HASHES_COUNTS_INCONSISTENT_WITH_LIVE_STATE,DOCUMENTARY_VALIDATION_REPORT,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/DOCUMENTARY_VALIDATION_REPORT.json,VAL-030 L482; status PASS_WITH_LIVE_CI_PENDING_UNTIL_PUSH,,Validation report still marks CI as PENDING_LIVE_PR_CHECK while live PR #77 checks have passed and package status claims READY_FOR_REVIEW.,"VAL-030 result PENDING_LIVE_PR_CHECK. Observed live checks on PR #77 all pass (Backend known-failure gate, Backend collectable, Frontend build, Vercel, Vercel Preview Comments). Package/final_revision_status remains READY_FOR_REVIEW with retained warning that live CI is reported after push.",Static validation artifact is stale relative to the exact head's live CI reality.,Minor evidence hygiene issue; not an authority defect.,"Either refresh VAL-030/status to record observed passing check run IDs for head 95672eac..., or downgrade package wording so READY_FOR_REVIEW does not imply completed live-CI closure inside the validation report.","Validation report CI field matches an explicitly cited live check conclusion for the frozen head, or is clearly labeled historical pre-push pending without READY closure implication.",NON_BLOCKING,,ACCEPT_AND_REMEDIATE,,OPEN,NOT_STARTED,
CB-009,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,Observation,TRANSITION_AUTHORITY_SHORTCUT_NOTE,LIFECYCLE_STATE_AND_TRANSITION_MATRIX,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/LIFECYCLE_STATE_AND_TRANSITION_MATRIX.csv,TR-020 L45 DRAFTING -> FOUNDER_CERTIFIED_EXCEPTION,ES-GPS-FCR-001; ES-GPS-LC-001,"Permitted transition allows Founder certification while still in DRAFTING, before UNDER_REVIEW/FOUNDER_APPROVED/ADOPTED.",TR-020 condition: 'Founder certification resolves a bounded process/evidence gate.' Parallel happy-path is TR-002..TR-005 through review and approval.,"Not necessarily defective if certification remains bounded and non-adopting, but it is a shortcut around review sequencing that operators could over-read.",Low if FCR prohibited claims and authority_effect remain enforced; worth clarifying in MD lifecycle text.,"Optionally add explicit MD/matrix note that TR-020 cannot create adoption, lock, activation, implementation, pilot, or production authority and must cite an FCR class with scope limits.",TR-020 row or MD lifecycle section states hard non-implications matching ALACA/PROHIBITED overclaims.,NON_BLOCKING,,DEFER_OR_CLARIFY,,OPEN,NOT_STARTED,No concrete bypass of FCR-10/production rules found.
CB-010,Cursor Cloud Agent (Grok),Cursor Agent Backstop Brief 02,95672eac54ae1be715e8c612c712506661e1df03,Observation,SOURCE_ATTACHMENT_NON_REPO_PATH,SOURCE_AND_AUTHORITY_REGISTER,governance/portfolio/standards/drafting/EQUINESYNC_GOVERNANCE_PORTFOLIO_SCOPE_TAXONOMY_CLOSURE_AND_MAINTENANCE_STANDARD_V1_0/SOURCE_AND_AUTHORITY_REGISTER.csv,SRC-039,ES-GPS-SRC-001,SRC-039 records a local Codex attachment path that is not present in the repository; resolution depends on recorded hash/status only.,source_location_type=CODEX_ATTACHMENT; path=/Users/rianray/.codex/attachments/.../pasted-text.txt; status=RESOLVED_CODEX_ATTACHMENT_EXACT_HASH_RECORDED; sha256 recorded. Path absent at PR head.,Third-party reviewers cannot re-fetch bytes from the recorded path.,Acceptable if hash-backed attachment custody is intentional; otherwise archive the attachment bytes into the package or a custody path.,"Optional: accession the attachment bytes under governance custody with matching sha256, or mark reproduction method explicitly.","Reviewers can obtain SRC-039 bytes from a durable repository or evidence package location, or Founder accepts hash-only attachment residual risk.",NON_BLOCKING,,DEFER_OR_ACCEPT_RISK,,OPEN,NOT_STARTED,
