reviewer,reviewer_finding_id,consolidated_finding_id,mapping_note
Claude,F1,CFG-002,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F2,CFG-005,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F3,CFG-001,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F4,CFG-006,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F5,CFG-009,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F6,CFG-007,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F7,CFG-010,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F8,CFG-004,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F9,CFG-002,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F10,CFG-008,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Claude,F11,CFG-015,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-01,CFG-001,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-02,CFG-002,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-03,CFG-004,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-04,CFG-007,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-05,CFG-003,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-06,CFG-006,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-07,CFG-009,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-08,CFG-005,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-09,CFG-008,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-10,CFG-010,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-11,CFG-006,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-12,CFG-014,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-13,CFG-013,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-14,CFG-011,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-15,CFG-012,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Perplexity,F-16,CFG-012,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-01,CFG-002,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-02,CFG-006,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-03,CFG-009,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-04,CFG-007,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-05,CFG-008,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-06,CFG-005,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-07,CFG-001,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-08,CFG-008,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-09,CFG-004,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-10,CFG-011,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-11,CFG-011,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-12,CFG-012,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-13,CFG-003,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-14,CFG-010,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-15,CFG-013,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
Cursor,F-16,CFG-012,Mapped to consolidated adjudication register; Claude F11 preserved as positive control.
