term,definition,rule_ids
Founder,The named EquineSync Founder or a successor authority designated by durable governing record within the scope of that designation.,"[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
delegated authority,"Written, scoped authority granted by the Founder or competent governing instrument; it cannot expand itself.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
durable record,"Repository-native or otherwise preserved record with date, scope, authority, hash or exact identity where applicable, and retention treatment.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
material,"Capable of changing authority, lifecycle state, evidence sufficiency, risk, privacy, security, safeguarding, financial, production, or implementation effect.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
non-material,"Administrative, editorial, or clarifying change that does not alter authority, evidence, risk, scope, or obligations.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
proportionate,No more governance burden than needed to preserve truthful evidence and control the affected risk class.,"[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
disproportionate,A control burden materially exceeding the risk or authority consequence when a truthful lighter control would suffice.,"[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
sound,"Acceptable for the bounded continuation purpose based on named evidence, known limitations, and retained defects; not a claim of independent verification.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
incident,"Event that may affect security, privacy, safeguarding, financial integrity, availability, evidence integrity, or authority validity.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
competent authority,"Founder, delegated authority, or governing body with written scope covering the decision.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
protected repository state,"Commit, protected branch head, tag, or release reference subject to repository controls and recorded exact identity.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
exact source bytes,The precise byte sequence of a source file or package with SHA-256 and byte length recorded.,"[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
implementation-verified,Checked against running code or implementation artifacts by an executed method recorded with evidence.,"[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
production-observed,"Observed in production or production-equivalent environment with environment, time, scope, and evidence recorded.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
accepted residual risk,"Known risk accepted by competent authority with owner, scope, controls, review date, and consequences.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
temporary waiver,Time-limited authorization to proceed without a required test or control; it cannot be permanent and cannot turn an unexecuted check into PASS.,"[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
exception,"Bounded departure from a default governance requirement recorded with scope, duration, authority, limits, and review trigger.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
substitution,Authorized replacement of required evidence with alternative evidence and limitations.,"[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
override,"Procedural bypass of an internal gate by competent authority, excluding the non-waivable core.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
revocation,"Durable record ending or withdrawing a prior authority, certification, waiver, substitution, or override.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
suspension,Temporary halt or qualification of an authority or claim pending review.,"[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
closure,"Bounded conclusion that specified criteria are satisfied or dispositioned with retained limitations, authority, and reopening triggers recorded.","[""ES-GPS-CLASS-001"",""ES-GPS-OVER-001""]"
