label_1,label_2,review_cycle,lane_id,ledger_id,work_item,exact_command_or_procedure,input_scope,started_utc,completed_utc,status,limitation,evidence_output
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-001,Read controlling lane prompt,"wc -l CMT-06_PROMPT.md && sed -n '1,260p' CMT-06_PROMPT.md",CMT-06 prompt,2026-07-20T19:42:33Z,2026-07-20T19:48:05Z,COMPLETE,None; all 13 lines read,LANE_REPORT.md
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-002,Read controlling directive and plan,"sed -n reads of START_HERE.md; root manifests; context files; directive; CONTROLLED_THREAD_REVIEW_PLAN.md and .json",Frozen handoff and review plan,2026-07-20T19:42:33Z,2026-07-20T19:48:05Z,COMPLETE,Plan branch and commit not independently Git-verified,LANE_REPORT.md
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-003,Capture runtime provenance,"date -u; selected printenv keys; uname -mrs; sw_vers -productVersion; python3 --version; shasum --version; unzip -v",Local runtime,2026-07-20T19:48:05Z,2026-07-20T19:48:05Z,COMPLETE,Exact backend model identifier not exposed,LANE_REPORT.md
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-004,Inventory inputs,"find <root> -type f -print | sort",Frozen handoff and expanded materials,2026-07-20T19:42:33Z,2026-07-20T19:48:05Z,COMPLETE,None,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-005,Verify original handoff ZIP,"hashlib.sha256; zipfile.testzip; entry safety; exact byte comparison",Original ZIP and frozen directory,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,Read-only access only,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-006,Verify root manifest and checksum,"json.loads PACKAGE_MANIFEST.json; recompute bytes and SHA-256; parse SHA256SUMS.txt",Frozen handoff root,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,None,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-007,Verify embedded ZIPs,"For each of 5 ZIPs run zipfile.testzip; path and mode safety; compare 140 entry bytes",Five frozen embedded ZIPs and expanded materials,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,No extraction writes,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-008,Verify embedded manifests and checksums,"Parse 5 PACKAGE_MANIFEST.json files and 5 SHA256SUMS.txt files; compare payload path byte and SHA sets",Five expanded packages,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,Inner sums exclude manifest/checksum by declared package design,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-009,Validate CSVs,"csv.reader(strict=True) plus DictReader; exact headers; width; blank rows; duplicate rows",48 CSV files,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,No published external CSV schema supplied,MACHINE_VALIDATION_RESULTS.csv
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,ES-REV-2026-002,CMT-06,WC-010,Validate JSON,"json.loads with duplicate-key object_pairs_hook; required top-level key and parity checks",15 JSON files,2026-07-20T19:48:05Z,2026-07-20T19:53:23Z,COMPLETE,No published JSON Schema supplied,MACHINE_VALIDATION_RESULTS.csv
