field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
record_id,record id,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_record_id,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
artifact_id,artifact id,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_artifact_id,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
document_lifecycle_state,document lifecycle state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_document_lifecycle_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
authority_state,authority state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_authority_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
adoption_state,adoption state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_adoption_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
accession_state,accession state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_accession_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
activation_state,activation state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_activation_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
implementation_authority,implementation authority,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_implementation_authority,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
production_authority,production authority,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_production_authority,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
evidence_status,evidence status,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_evidence_status,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
uncertainty_status,uncertainty status,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_uncertainty_status,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
suspension_state,suspension state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_suspension_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
supersession_state,supersession state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_supersession_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
custody_state,custody state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_custody_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
effective_date,effective date,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,04_AUTHORITY_LIFECYCLE_REGISTER/AUTHORITY_LIFECYCLE_STATE_REGISTER.csv,required column present; non-empty unless explicitly allowed,example_effective_date,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
