template_id,template_name,path,bounded_complete_allowed,source_register_linkage_required,evidence_register_linkage_required
T1R2-AUDIT-TEMPLATE-01,AUDIT_PLAN,templates/01_AUDIT_PLAN.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-02,SCOPE_AND_EXCLUSIONS_SCHEDULE,templates/02_SCOPE_AND_EXCLUSIONS_SCHEDULE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-03,SOURCE_MANIFEST,templates/03_SOURCE_MANIFEST.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-04,EVIDENCE_INDEX,templates/04_EVIDENCE_INDEX.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-05,SAMPLING_RECORD,templates/05_SAMPLING_RECORD.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-06,REVIEWER_INDEPENDENCE_DISCLOSURE,templates/06_REVIEWER_INDEPENDENCE_DISCLOSURE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-07,CONFLICT_DISCLOSURE,templates/07_CONFLICT_DISCLOSURE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-08,FINDING_SCHEDULE,templates/08_FINDING_SCHEDULE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-09,RESIDUAL_RISK_SCHEDULE,templates/09_RESIDUAL_RISK_SCHEDULE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-10,FOUNDER_CERTIFICATION_SCHEDULE,templates/10_FOUNDER_CERTIFICATION_SCHEDULE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-11,CLOSING_EXHIBITS_INDEX,templates/11_CLOSING_EXHIBITS_INDEX.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-12,FOUNDER_RATIFICATION_INSTRUMENT,templates/12_FOUNDER_RATIFICATION_INSTRUMENT.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-13,ADOPTION_RECORD,templates/13_ADOPTION_RECORD.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-14,ACCESSION_RECEIPT,templates/14_ACCESSION_RECEIPT.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-15,POST_MERGE_CUSTODY_RECEIPT,templates/15_POST_MERGE_CUSTODY_RECEIPT.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-16,FINAL_CLOSING_CERTIFICATE,templates/16_FINAL_CLOSING_CERTIFICATE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-17,BOUNDED_SCOPE_CLOSING_CERTIFICATE,templates/17_BOUNDED_SCOPE_CLOSING_CERTIFICATE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-18,REOPENING_NOTICE,templates/18_REOPENING_NOTICE.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
T1R2-AUDIT-TEMPLATE-19,RECERTIFICATION_RECORD,templates/19_RECERTIFICATION_RECORD.md,NO_IF_EXCLUSIONS_OR_OPEN_ITEMS_REMAIN,YES,YES
