"label_1","label_2","lane_id","thread_id","observed_start_utc","generated_utc","work_item_id","work_item","required","status","evidence_or_output","limitations","self_audit","completion_attestation"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-001","Read complete controlling lane prompt","TRUE","COMPLETE","lane_prompts/CMT-02_PROMPT.md","Generic non-agent identity preserved.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-002","Resolve directive classifications and severities","TRUE","COMPLETE","Directive section 5: eleven exact classifications; P0/P1/P2 definitions","No other lane output read.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-003","Verify authorized package internal checksums","TRUE","COMPLETE","SHA256SUMS.txt: 37/37 OK","Did not perform CMT-01 custody role or fetch repository bytes.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-004","Review Identity PIA V1.1.0 and machine-readable companion","TRUE","COMPLETE","LANE_REPORT.md;IDENTITY_TRACEABILITY.csv","Documentary only; no implementation run.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-005","Review 12 Founder decisions and traceability","TRUE","COMPLETE","IDENTITY_TRACEABILITY.csv","Approval record accepted as supplied; no external verification.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-006","Review ADR-IDENTITY-001 through ADR-IDENTITY-007","TRUE","COMPLETE","IDENTITY_ADR_MATRIX.csv","No redline self-approval.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-007","Review Identity-to-Relationships, Identity-to-Authorization, and Identity-to-Protected-Participant contracts","TRUE","COMPLETE","IDENTITY_CONTRACT_FINDINGS.csv","Owning PIAs outside supplied Identity package not adjudicated.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-008","Review source reconciliation and MIAP terminology","TRUE","COMPLETE","IDENTITY_SOURCE_DELTAS.csv","No repository/network re-verification.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-009","Classify ambiguity, control weakening, authority inflation, and readiness","TRUE","COMPLETE","LANE_REPORT.md: 2 P0; 15 P1; 1 P2; not ratification-ready","No Founder disposition issued.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
"NON_AGENT_CONTROLLED_THREAD_REVIEW","NOT_ES_RA_AGENT_EVIDENCE","CMT-02","019f810e-dcbb-7d03-bfdf-86a83e880a39","2026-07-20T19:48:31Z","2026-07-20T19:50:46Z","CMT02-W-010","Propose bounded corrections without self-approval","TRUE","COMPLETE","PROPOSED_CORRECTIONS.csv","All proposals remain unapproved.","PASS","CMT-02_DOCUMENTARY_REVIEW_COMPLETE_WITH_OPEN_P0_P1_REMEDIATION_REQUIRED"
