section,canonical_heading,primary_sources,status,unresolved_issue_ids
1,Document Control and Status,"RAP-SRC-001;RAP-SRC-006",INITIAL_DRAFT,RAP-ISS-004
2,Executive Summary,"RAP-SRC-002;RAP-SRC-003;RAP-SRC-004",INITIAL_DRAFT,NONE
3,"Purpose, Outcomes, and Success Measures","RAP-SRC-001;RAP-SRC-002;RAP-SRC-003",INITIAL_DRAFT,RAP-ISS-005
4,Authoritative Sources and Inheritance,"RAP-SRC-001 through RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-001
5,"Scope, Boundaries, and Ownership","RAP-SRC-002;RAP-SRC-003;RAP-SRC-004",INITIAL_DRAFT,RAP-ISS-003
6,Definitions and Controlled Vocabulary,"RAP-SRC-002;RAP-SRC-003;RAP-SRC-004",INITIAL_DRAFT,NONE
7,"Actors, Roles, Relationships, and Authorities","RAP-SRC-002;RAP-SRC-003",INITIAL_DRAFT,RAP-ISS-007
8,Capability Map and Release Classification,"RAP-SRC-001;RAP-SRC-003",INITIAL_DRAFT,RAP-ISS-008
9,User and Operational Workflows,"RAP-SRC-002 through RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002;RAP-ISS-003
10,Business Rules and Decision Logic,"RAP-SRC-002;RAP-SRC-003;RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002
11,"Data Entities, Relationships, and Provenance","RAP-SRC-002;RAP-SRC-004;RAP-SRC-006",INITIAL_DRAFT,RAP-ISS-002
12,"Record Ownership, Stewardship, Correction, and Retention","RAP-SRC-002;RAP-SRC-004;RAP-SRC-006",INITIAL_DRAFT,RAP-ISS-002
13,State and Transition Models,"RAP-SRC-002;RAP-SRC-006",INITIAL_DRAFT,RAP-ISS-002
14,Authorization and Permission Matrix,"RAP-SRC-003;RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002;RAP-ISS-006
15,User Interface and Experience Requirements,"RAP-SRC-003;RAP-SRC-004",INITIAL_DRAFT,RAP-ISS-002
16,"API, Event, Job, and Integration Contracts","RAP-SRC-003;RAP-SRC-006;RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002
17,Notifications and Communications,"RAP-SRC-002;RAP-SRC-004",INITIAL_DRAFT,RAP-ISS-002
18,"Files, Media, and Document Handling",RAP-SRC-004,INITIAL_DRAFT,RAP-ISS-007
19,"Search, Reporting, and Analytics",RAP-SRC-003,INITIAL_DRAFT,RAP-ISS-002
20,"Offline, Device, and Synchronization","RAP-SRC-003;RAP-SRC-006;RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002;RAP-ISS-005
21,"Security, Privacy, Consent, Safeguarding, and Abuse Controls","RAP-SRC-003;RAP-SRC-004;RAP-SRC-006",INITIAL_DRAFT,RAP-ISS-006;RAP-ISS-007
22,AI and Automation Controls,"RAP-SRC-003;RAP-SRC-006",INITIAL_DRAFT,RAP-ISS-002
23,"Failure Modes, Recovery, Correction, and Reconciliation","RAP-SRC-002;RAP-SRC-003;RAP-SRC-006;RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002;RAP-ISS-006
24,"Observability, Administration, Support, and Incident Operations","RAP-SRC-003;RAP-SRC-006",INITIAL_DRAFT,RAP-ISS-005;RAP-ISS-008
25,Nonfunctional and Quality Attribute Requirements,"RAP-SRC-001;RAP-SRC-003",INITIAL_DRAFT,RAP-ISS-005
26,"Environment, Configuration, Feature Flags, and Secrets","RAP-SRC-003;RAP-SRC-006",INITIAL_DRAFT,RAP-ISS-008
27,"Migration, Seed Data, and Reconciliation","RAP-SRC-002;RAP-SRC-003",INITIAL_DRAFT,RAP-ISS-008
28,Engineering Work Packages and Implementation Sequence,RAP-SRC-001,DEFERRED_TO_IMPLEMENTATION_ATLAS,RAP-ISS-008
29,Acceptance Criteria,"RAP-SRC-001;RAP-SRC-006;RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002
30,Test and Validation Matrix,"RAP-SRC-001;RAP-SRC-006;RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002;RAP-ISS-008
31,Golden-Path Reproduction Scenarios,"RAP-SRC-001;RAP-SRC-002;RAP-SRC-003",INITIAL_DRAFT,RAP-ISS-002
32,"Adversarial, Negative, and Abuse Scenarios","RAP-SRC-001;RAP-SRC-003;RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002
33,"Evidence Requirements, Coverage, and Manifest","RAP-SRC-001;RAP-SRC-006;RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002
34,"Deployment, Rollout, Rollback, and Release Controls",RAP-SRC-001,DEFERRED_TO_IMPLEMENTATION_ATLAS,RAP-ISS-008
35,Enrollment and Onboarding Readiness,"RAP-SRC-001;RAP-SRC-002;RAP-SRC-003",INITIAL_DRAFT,RAP-ISS-001;RAP-ISS-002;RAP-ISS-003;RAP-ISS-004;RAP-ISS-008
36,Dependencies and Critical Path,"RAP-SRC-001 through RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-001;RAP-ISS-003;RAP-ISS-004
37,"Open Decisions, Assumptions, Findings, Deviations, and Risks","RAP-SRC-001 through RAP-SRC-007",INITIAL_DRAFT,"RAP-ISS-001 through RAP-ISS-008"
38,Implementation Drift and As-Built Reconciliation,RAP-SRC-001,DEFERRED_TO_IMPLEMENTATION_ATLAS,RAP-ISS-008
39,Change-Control History,"RAP-SRC-001;RAP-SRC-006",INITIAL_DRAFT,RAP-ISS-001
40,Requirement Traceability Matrix,"RAP-SRC-001 through RAP-SRC-007",INITIAL_DRAFT,RAP-ISS-002
41,Five Mandatory Readiness Questions,RAP-SRC-001,INITIAL_DRAFT,"RAP-ISS-001 through RAP-ISS-008"
42,"Review, Approval, Authorization, and Disposition","RAP-SRC-001;RAP-SRC-006",REVIEW_BLOCKED,RAP-ISS-004
43,"Maintenance, Supersession, and Decommissioning",RAP-SRC-001,INITIAL_DRAFT,RAP-ISS-008
