field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
base_branch,base branch,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_base_branch,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
base_drift,base drift,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_base_drift,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
base_sha,base sha,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_base_sha,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
changed_paths,changed paths,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_changed_paths,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
ci_result,ci result,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_ci_result,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
custody_requirement,custody requirement,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_custody_requirement,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
deadline,deadline,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_deadline,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
dependency_state,dependency state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_dependency_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
draft_state,draft state,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_draft_state,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
exact_next_action,exact next action,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_exact_next_action,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
founder_decision_required,founder decision required,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_founder_decision_required,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
governance_classification,governance classification,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_governance_classification,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
head_branch,head branch,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_head_branch,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
head_sha,head sha,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_head_sha,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
implementation_effect,implementation effect,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,09_WORKSTREAM_PR_BRANCH_DISPOSITION/WORKSTREAM_PR_BRANCH_DISPOSITION_REGISTER.json,required column present; non-empty unless explicitly allowed,example_implementation_effect,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
